new_name;page;qid;id;layout;filter;group;question_dutch;subquestion_dutch;categories_dutch;question_english;subquestion_english;categories_english;ordered;type;nice_name_english
;9.2;expectedduration;duration2;table;-;Expected Duration of Restrictions;Wanneer, denkt u, zullen de beperkingen die er nu zijn niet meer van kracht zijn, en zullen…;cafés en restaurants weer open zijn;tegen eind juni, tussen juli en, eind augustus ,tussen september ,en het eind van het jaar ,in 2021 ,in 2022 of later;When do you think the restrictions that are now in place will no longer apply, and ...;cafes and restaurants are open again;by the end of June, between July and the end of August, between September and the end of the year, in 2021, in 2022 or later;TRUE;Categorical;
;9.3;expectedduration;duration3;table;-;Expected Duration of Restrictions;Wanneer, denkt u, zullen de beperkingen die er nu zijn niet meer van kracht zijn, en zullen…;we weer op vakantie kunnen gaan in bijna heel Europa;tegen eind juni, tussen juli en, eind augustus ,tussen september ,en het eind van het jaar ,in 2021 ,in 2022 of later;When do you think the restrictions that are now in place will no longer apply, and ...;we can go on holiday again in almost all of Europe;by the end of June, between July and the end of August, between September and the end of the year, in 2021, in 2022 or later;TRUE;Categorical;
;9.4;expectedduration;duration4;table;-;Expected Duration of Restrictions;Wanneer, denkt u, zullen de beperkingen die er nu zijn niet meer van kracht zijn, en zullen…;alle economische activiteiten weer plaatsvinden zoals voorheen;tegen eind juni, tussen juli en, eind augustus ,tussen september ,en het eind van het jaar ,in 2021 ,in 2022 of later;When do you think the restrictions that are now in place will no longer apply, and ...;all economic activities take place as before;by the end of June, between July and the end of August, between September and the end of the year, in 2021, in 2022 or later;TRUE;Categorical;
;10.1;EmploymentStatus;;multi;-;Work Status;Welke van de volgende opties beschrijft uw situatie het best? Als er meer opties mogelijk zijn, kiest u dan de hoofdactiviteit of -baan.;Ik verricht betaald werk in loondienst, full-time of part-time;;Which of the following options best describes your situation? If multiple options apply, choose the main activity or job.;I am in paid employment, full-time or part-time;;;bool;
;10.2;EmploymentStatus;;multi;-;Work Status;Welke van de volgende opties beschrijft uw situatie het best? Als er meer opties mogelijk zijn, kiest u dan de hoofdactiviteit of -baan.;Ik ben zelfstandig ondernemer;;Which of the following options best describes your situation? If multiple options apply, choose the main activity or job.;I am self-employed;;;bool;
;10.3;EmploymentStatus;;multi;-;Work Status;Welke van de volgende opties beschrijft uw situatie het best? Als er meer opties mogelijk zijn, kiest u dan de hoofdactiviteit of -baan.;Ik ben werkloos en ben op zoek naar werk;;Which of the following options best describes your situation? If multiple options apply, choose the main activity or job.;I am unemployed and looking for work;;;bool;
;10.4;EmploymentStatus;;multi;-;Work Status;Welke van de volgende opties beschrijft uw situatie het best? Als er meer opties mogelijk zijn, kiest u dan de hoofdactiviteit of -baan.;Ik ben (vervroegd) gepensioneerd;;Which of the following options best describes your situation? If multiple options apply, choose the main activity or job.;I retired (early);;;bool;
;10.5;EmploymentStatus;;multi;-;Work Status;Welke van de volgende opties beschrijft uw situatie het best? Als er meer opties mogelijk zijn, kiest u dan de hoofdactiviteit of -baan.;Ik ontvang een arbeidsongeschiktheidsuitkering of sociale bijstand en ben niet op zoek naar werk;;Which of the following options best describes your situation? If multiple options apply, choose the main activity or job.;I receive disability benefit or social assistance and am not looking for work;;;bool;
;10.6;EmploymentStatus;;multi;-;Work Status;Welke van de volgende opties beschrijft uw situatie het best? Als er meer opties mogelijk zijn, kiest u dan de hoofdactiviteit of -baan.;Ik ben leerling / student / stagiair en krijg alleen een onkostenvergoeding;;Which of the following options best describes your situation? If multiple options apply, choose the main activity or job.;I am an apprentice / student / trainee and only receive an expense allowance;;;bool;
;10.7;EmploymentStatus;;multi;-;Work Status;Welke van de volgende opties beschrijft uw situatie het best? Als er meer opties mogelijk zijn, kiest u dan de hoofdactiviteit of -baan.;Ik doe het huishouden;;Which of the following options best describes your situation? If multiple options apply, choose the main activity or job.;I do the housework;;;bool;
;11.1;q14header;;grid;EmploymentStatus;Working Hours Extended;Hoeveel uur per week werkte u in de afgelopen zeven dagen op uw werkplek en vanuit huis? Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'.  Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.;De afgelopen zeven dagen - Op uw werkplek;;"How many hours per week in the past seven days did you work at your workplace and from home? If you always work from home, fill in all hours at 'from home'. 
Fill in zero (0) if you never work at your workplace or at home.";Past Seven Days - At Work;;;int;
;11.2;q14header;;grid;EmploymentStatus;Working Hours Extended;Hoeveel uur per week werkte u in de afgelopen zeven dagen op uw werkplek en vanuit huis? Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'.  Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.;De afgelopen zeven dagen - Vanuit huis ;;"How many hours per week in the past seven days did you work at your workplace and from home? If you always work from home, fill in all hours at 'from home'. 
Fill in zero (0) if you never work at your workplace or at home.";Past Seven Days – At Home;;;int;
;12.1;vacsick;vacsick1;grid;EmploymentStatus;Vacation & Sickness;In de afgelopen zeven dagen, hoeveel dagen hebt u… Rond af op hele dagen (bv. een halve dag = 1 dag). Vult u nul (0) in als u geen vrije dag hebt opgenomen.;een vrije dag opgenomen voor vrije tijd (ontspanning, vermaak);;In the past seven days, how many days have you… Round off to whole days (e.g. half a day = 1 day).  Fill in zero (0) if you haven't taken a day off.;taken a day off for leisure (relaxation, entertainment);;;int;
;12.2;vacsick;vacsick2;grid;EmploymentStatus;Vacation & Sickness;In de afgelopen zeven dagen, hoeveel dagen hebt u… Rond af op hele dagen (bv. een halve dag = 1 dag). Vult u nul (0) in als u geen vrije dag hebt opgenomen.;een vrije dag opgenomen om voor de kinderen te zorgen;;In the past seven days, how many days have you… Round off to whole days (e.g. half a day = 1 day).  Fill in zero (0) if you haven't taken a day off.;taken a day off to take care of the children;;;int;
;12.3;vacsick;vacsick3;grid;EmploymentStatus;Vacation & Sickness;In de afgelopen zeven dagen, hoeveel dagen hebt u… Rond af op hele dagen (bv. een halve dag = 1 dag). Vult u nul (0) in als u geen vrije dag hebt opgenomen.;een vrije dag opgenomen voor een andere reden;;In the past seven days, how many days have you… Round off to whole days (e.g. half a day = 1 day).  Fill in zero (0) if you haven't taken a day off.;taken a day off for another reason;;;int;
;12.4;vacsick;vacsick4;grid;EmploymentStatus;Vacation & Sickness;In de afgelopen zeven dagen, hoeveel dagen hebt u… Rond af op hele dagen (bv. een halve dag = 1 dag). Vult u nul (0) in als u geen vrije dag hebt opgenomen.;zich ziek gemeld;;In the past seven days, how many days have you… Round off to whole days (e.g. half a day = 1 day).  Fill in zero (0) if you haven't taken a day off.;reported sick;;;int;
;12.5;vacsick;vacsick5;grid;EmploymentStatus;Vacation & Sickness;In de afgelopen zeven dagen, hoeveel dagen hebt u… Rond af op hele dagen (bv. een halve dag = 1 dag). Vult u nul (0) in als u geen vrije dag hebt opgenomen.;niet gewerkt vanwege een officiële vrije dag;;In the past seven days, how many days have you… Round off to whole days (e.g. half a day = 1 day).  Fill in zero (0) if you haven't taken a day off.;not worked because of an official day off;;;int;
;13;work_perc;;open;EmploymentStatus;Working from Home Capacity;Hoeveel procent van uw normale werkzaamheden van voor de uitbraak van het coronavirus kunt u ook met thuiswerken doen?;;;What percentage of your normal work prior to the coronavirus outbreak can you do while working from home?;;;;int;
;14.1;q16a;;multi;EmploymentStatus;NOW;Voor zover bij u bekend, heeft uw werkgever een aanvraag ingediend voor een tegemoetkoming in de loonkosten (de tijdelijke Noodmaatregel Overbrugging Werkgelegenheid, afgekort de NOW)? De regeling is bedoeld voor werkgevers die als gevolg van het coronavirus kampen met een omzetverlies van ten minste 20%. Zij kunnen bij het UWV een aanvraag indienen voor een tegemoetkoming in de loonkosten.;Ja, de aanvraag is toegekend;;To the best of your knowledge, has your employer submitted an application for an allowance for labour costs (the temporary Emergency Measure Bridging Employment, abbreviated to NOW)? The scheme is intended for employers who suffer a loss of turnover of at least 20% as a result of the coronavirus. They can apply to the UWV for an allowance for labour costs.;Yes, the application has been granted;;;bool;
;14.2;q16a;;multi;EmploymentStatus;NOW;Voor zover bij u bekend, heeft uw werkgever een aanvraag ingediend voor een tegemoetkoming in de loonkosten (de tijdelijke Noodmaatregel Overbrugging Werkgelegenheid, afgekort de NOW)? De regeling is bedoeld voor werkgevers die als gevolg van het coronavirus kampen met een omzetverlies van ten minste 20%. Zij kunnen bij het UWV een aanvraag indienen voor een tegemoetkoming in de loonkosten.;Ja, maar de aanvraag is afgewezen;;To the best of your knowledge, has your employer submitted an application for an allowance for labour costs (the temporary Emergency Measure Bridging Employment, abbreviated to NOW)? The scheme is intended for employers who suffer a loss of turnover of at least 20% as a result of the coronavirus. They can apply to the UWV for an allowance for labour costs.;Yes, but the application was rejected;;;bool;
;14.3;q16a;;multi;EmploymentStatus;NOW;Voor zover bij u bekend, heeft uw werkgever een aanvraag ingediend voor een tegemoetkoming in de loonkosten (de tijdelijke Noodmaatregel Overbrugging Werkgelegenheid, afgekort de NOW)? De regeling is bedoeld voor werkgevers die als gevolg van het coronavirus kampen met een omzetverlies van ten minste 20%. Zij kunnen bij het UWV een aanvraag indienen voor een tegemoetkoming in de loonkosten.;Ja, maar ik weet nog niet of de aanvraag is toegekend;;To the best of your knowledge, has your employer submitted an application for an allowance for labour costs (the temporary Emergency Measure Bridging Employment, abbreviated to NOW)? The scheme is intended for employers who suffer a loss of turnover of at least 20% as a result of the coronavirus. They can apply to the UWV for an allowance for labour costs.;Yeah, but I don't know if the application's been granted yet.;;;bool;
;14.4;q16a;;multi;EmploymentStatus;NOW;Voor zover bij u bekend, heeft uw werkgever een aanvraag ingediend voor een tegemoetkoming in de loonkosten (de tijdelijke Noodmaatregel Overbrugging Werkgelegenheid, afgekort de NOW)? De regeling is bedoeld voor werkgevers die als gevolg van het coronavirus kampen met een omzetverlies van ten minste 20%. Zij kunnen bij het UWV een aanvraag indienen voor een tegemoetkoming in de loonkosten.;Nee, maar ik denk dat mijn werkgever dit wel gaat doen;;To the best of your knowledge, has your employer submitted an application for an allowance for labour costs (the temporary Emergency Measure Bridging Employment, abbreviated to NOW)? The scheme is intended for employers who suffer a loss of turnover of at least 20% as a result of the coronavirus. They can apply to the UWV for an allowance for labour costs.;No, but I think my employer is going to do this;;;bool;
;14.5;q16a;;multi;EmploymentStatus;NOW;Voor zover bij u bekend, heeft uw werkgever een aanvraag ingediend voor een tegemoetkoming in de loonkosten (de tijdelijke Noodmaatregel Overbrugging Werkgelegenheid, afgekort de NOW)? De regeling is bedoeld voor werkgevers die als gevolg van het coronavirus kampen met een omzetverlies van ten minste 20%. Zij kunnen bij het UWV een aanvraag indienen voor een tegemoetkoming in de loonkosten.;Nee, ik denk niet dat het nodig is;;To the best of your knowledge, has your employer submitted an application for an allowance for labour costs (the temporary Emergency Measure Bridging Employment, abbreviated to NOW)? The scheme is intended for employers who suffer a loss of turnover of at least 20% as a result of the coronavirus. They can apply to the UWV for an allowance for labour costs.;No, but I think my employer is going to do this;;;bool;
;14.6;q16a;;multi;EmploymentStatus;NOW;Voor zover bij u bekend, heeft uw werkgever een aanvraag ingediend voor een tegemoetkoming in de loonkosten (de tijdelijke Noodmaatregel Overbrugging Werkgelegenheid, afgekort de NOW)? De regeling is bedoeld voor werkgevers die als gevolg van het coronavirus kampen met een omzetverlies van ten minste 20%. Zij kunnen bij het UWV een aanvraag indienen voor een tegemoetkoming in de loonkosten.;Nee, ik denk niet dat het mogelijk is;;To the best of your knowledge, has your employer submitted an application for an allowance for labour costs (the temporary Emergency Measure Bridging Employment, abbreviated to NOW)? The scheme is intended for employers who suffer a loss of turnover of at least 20% as a result of the coronavirus. They can apply to the UWV for an allowance for labour costs.;No, I don't think it's possible;;;bool;
;14.7;q16a;;multi;EmploymentStatus;NOW;Voor zover bij u bekend, heeft uw werkgever een aanvraag ingediend voor een tegemoetkoming in de loonkosten (de tijdelijke Noodmaatregel Overbrugging Werkgelegenheid, afgekort de NOW)? De regeling is bedoeld voor werkgevers die als gevolg van het coronavirus kampen met een omzetverlies van ten minste 20%. Zij kunnen bij het UWV een aanvraag indienen voor een tegemoetkoming in de loonkosten.;Ik weet het niet;;To the best of your knowledge, has your employer submitted an application for an allowance for labour costs (the temporary Emergency Measure Bridging Employment, abbreviated to NOW)? The scheme is intended for employers who suffer a loss of turnover of at least 20% as a result of the coronavirus. They can apply to the UWV for an allowance for labour costs.;I don't know.;;;bool;
;15.1;q16b;;multi;EmploymentStatus;TOGS;Voor zover bij u bekend, heeft uw werkgever een aanvraag ingediend voor de Tegemoetkoming Ondernemers Getroffen Sectoren Covid-19 (TOGS)? De TOGS is een noodmaatregel om ondernemers te ondersteunen die directe schade ondervinden vanwege het coronavirus. Zij kunnen eenmalig 4000 euro krijgen om hun vaste lasten (bv. huur van een bedrijfspand) te betalen.;Ja, de aanvraag is toegekend;;To the best of your knowledge, has your employer submitted an application for the Covid-19 Entrepreneurs Affected Sectors Tegemoetkoming (TOGS)? The TOGS is an emergency measure to support entrepreneurs who are directly affected by the coronavirus. They can receive a one-off sum of 4000 euros to pay their fixed costs (e.g. rent of a business premises).;Yes, the application has been granted;;;bool;
;15.2;q16b;;multi;EmploymentStatus;TOGS;Voor zover bij u bekend, heeft uw werkgever een aanvraag ingediend voor de Tegemoetkoming Ondernemers Getroffen Sectoren Covid-19 (TOGS)? De TOGS is een noodmaatregel om ondernemers te ondersteunen die directe schade ondervinden vanwege het coronavirus. Zij kunnen eenmalig 4000 euro krijgen om hun vaste lasten (bv. huur van een bedrijfspand) te betalen.;Ja, maar de aanvraag is afgewezen;;To the best of your knowledge, has your employer submitted an application for the Covid-19 Entrepreneurs Affected Sectors Tegemoetkoming (TOGS)? The TOGS is an emergency measure to support entrepreneurs who are directly affected by the coronavirus. They can receive a one-off sum of 4000 euros to pay their fixed costs (e.g. rent of a business premises).;Yes, but the application was rejected;;;bool;
;15.3;q16b;;multi;EmploymentStatus;TOGS;Voor zover bij u bekend, heeft uw werkgever een aanvraag ingediend voor de Tegemoetkoming Ondernemers Getroffen Sectoren Covid-19 (TOGS)? De TOGS is een noodmaatregel om ondernemers te ondersteunen die directe schade ondervinden vanwege het coronavirus. Zij kunnen eenmalig 4000 euro krijgen om hun vaste lasten (bv. huur van een bedrijfspand) te betalen.;Ja, maar ik weet nog niet of de aanvraag is toegekend;;To the best of your knowledge, has your employer submitted an application for the Covid-19 Entrepreneurs Affected Sectors Tegemoetkoming (TOGS)? The TOGS is an emergency measure to support entrepreneurs who are directly affected by the coronavirus. They can receive a one-off sum of 4000 euros to pay their fixed costs (e.g. rent of a business premises).;Yeah, but I don't know if the application's been granted yet.;;;bool;
;15.4;q16b;;multi;EmploymentStatus;TOGS;Voor zover bij u bekend, heeft uw werkgever een aanvraag ingediend voor de Tegemoetkoming Ondernemers Getroffen Sectoren Covid-19 (TOGS)? De TOGS is een noodmaatregel om ondernemers te ondersteunen die directe schade ondervinden vanwege het coronavirus. Zij kunnen eenmalig 4000 euro krijgen om hun vaste lasten (bv. huur van een bedrijfspand) te betalen.;Nee, maar ik denk dat mijn werkgever dit wel gaat doen;;To the best of your knowledge, has your employer submitted an application for the Covid-19 Entrepreneurs Affected Sectors Tegemoetkoming (TOGS)? The TOGS is an emergency measure to support entrepreneurs who are directly affected by the coronavirus. They can receive a one-off sum of 4000 euros to pay their fixed costs (e.g. rent of a business premises).;No, but I think my employer is going to do this;;;bool;
;15.5;q16b;;multi;EmploymentStatus;TOGS;Voor zover bij u bekend, heeft uw werkgever een aanvraag ingediend voor de Tegemoetkoming Ondernemers Getroffen Sectoren Covid-19 (TOGS)? De TOGS is een noodmaatregel om ondernemers te ondersteunen die directe schade ondervinden vanwege het coronavirus. Zij kunnen eenmalig 4000 euro krijgen om hun vaste lasten (bv. huur van een bedrijfspand) te betalen.;Nee, ik denk niet dat het nodig is;;To the best of your knowledge, has your employer submitted an application for the Covid-19 Entrepreneurs Affected Sectors Tegemoetkoming (TOGS)? The TOGS is an emergency measure to support entrepreneurs who are directly affected by the coronavirus. They can receive a one-off sum of 4000 euros to pay their fixed costs (e.g. rent of a business premises).;No, I don't think it's necessary;;;bool;
;15.6;q16b;;multi;EmploymentStatus;TOGS;Voor zover bij u bekend, heeft uw werkgever een aanvraag ingediend voor de Tegemoetkoming Ondernemers Getroffen Sectoren Covid-19 (TOGS)? De TOGS is een noodmaatregel om ondernemers te ondersteunen die directe schade ondervinden vanwege het coronavirus. Zij kunnen eenmalig 4000 euro krijgen om hun vaste lasten (bv. huur van een bedrijfspand) te betalen.;Nee, ik denk niet dat het mogelijk is;;To the best of your knowledge, has your employer submitted an application for the Covid-19 Entrepreneurs Affected Sectors Tegemoetkoming (TOGS)? The TOGS is an emergency measure to support entrepreneurs who are directly affected by the coronavirus. They can receive a one-off sum of 4000 euros to pay their fixed costs (e.g. rent of a business premises).;No, I don't think it's possible;;;bool;
;15.7;q16b;;multi;EmploymentStatus;TOGS;Voor zover bij u bekend, heeft uw werkgever een aanvraag ingediend voor de Tegemoetkoming Ondernemers Getroffen Sectoren Covid-19 (TOGS)? De TOGS is een noodmaatregel om ondernemers te ondersteunen die directe schade ondervinden vanwege het coronavirus. Zij kunnen eenmalig 4000 euro krijgen om hun vaste lasten (bv. huur van een bedrijfspand) te betalen.;Ik weet het niet;;To the best of your knowledge, has your employer submitted an application for the Covid-19 Entrepreneurs Affected Sectors Tegemoetkoming (TOGS)? The TOGS is an emergency measure to support entrepreneurs who are directly affected by the coronavirus. They can receive a one-off sum of 4000 euros to pay their fixed costs (e.g. rent of a business premises).;I don't know.;;;bool;
;16.1;q16c;;multi;EmploymentStatus;Tax Deferral;Voor zover bij u bekend, heeft uw werkgever bijzondere uitstel van belasting aangevraagd? Wanneer een ondernemer betalingsproblemen heeft als gevolg van het coronavirus, dan kan het bedrijf bij de Belastingdienst bijzonder uitstel van betaling aanvragen voor alle aanslagen inkomstenbelasting, vennootschapsbelasting, omzetbelasting (BTW) en loonbelasting.;Ja, de aanvraag is toegekend;;To the best of your knowledge, has your employer applied for a special tax deferral? If an entrepreneur has payment problems as a result of the corona virus, the company can apply to the tax authorities for a special deferment of payment for all income tax, corporation tax, turnover tax (VAT) and wage tax assessments.;Yes, the application has been granted;;;bool;
