Variable,Links Wave 3,Type,Topic,Reference Period Other Than Survey Period
fifth_primary_birth,:ref:`🔗 <w3e-v1_bo>`,Int,Background, 
first_sec_gender,:ref:`🔗 <w3e-v1_vo>`,Categorical,Background, 
first_sec_birth,:ref:`🔗 <w3e-v1_vo>`,Int,Background, 
first_sec_level,:ref:`🔗 <w3e-v1_vo>`,Categorical,Background, 
first_sec_class,:ref:`🔗 <w3e-v1_vo>`,Categorical,Background, 
second_sec_gender,:ref:`🔗 <w3e-v1_vo>`,Categorical,Background, 
second_sec_birth,:ref:`🔗 <w3e-v1_vo>`,Int,Background, 
second_sec_level,:ref:`🔗 <w3e-v1_vo>`,Categorical,Background, 
second_sec_class,:ref:`🔗 <w3e-v1_vo>`,Categorical,Background, 
third_sec_gender,:ref:`🔗 <w3e-v1_vo>`,Categorical,Background, 
third_sec_birth,:ref:`🔗 <w3e-v1_vo>`,Int,Background, 
third_sec_level,:ref:`🔗 <w3e-v1_vo>`,Categorical,Background, 
third_sec_class,:ref:`🔗 <w3e-v1_vo>`,Categorical,Background, 
fourth_sec_gender,:ref:`🔗 <w3e-v1_vo>`,Categorical,Background, 
fourth_sec_birth,:ref:`🔗 <w3e-v1_vo>`,Int,Background, 
fourth_sec_level,:ref:`🔗 <w3e-v1_vo>`,Categorical,Background, 
fourth_sec_class,:ref:`🔗 <w3e-v1_vo>`,Categorical,Background, 
fifth_sec_gender,:ref:`🔗 <w3e-v1_vo>`,Categorical,Background, 
fifth_sec_birth,:ref:`🔗 <w3e-v1_vo>`,Int,Background, 
fifth_sec_level,:ref:`🔗 <w3e-v1_vo>`,Categorical,Background, 
fifth_sec_class,:ref:`🔗 <w3e-v1_vo>`,Categorical,Background, 
hrs_prim_child1_school,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child1_digitals,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child1_study_alone,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child1_study_adult,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child1_reading_alone,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child1_reading_adult,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child1_play,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child1_play_adult,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child1_chores,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child1_rest,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child1_other,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child1_school_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child1_digitals_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child1_study_alone_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child1_study_adult_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child1_reading_alone_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child1_reading_adult_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child1_play_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child1_play_adult_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child1_chores_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child1_rest_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child1_other_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child2_school,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child2_digitals,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child2_study_alone,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child2_study_adult,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child2_reading_alone,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child2_reading_adult,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child2_play,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child2_play_adult,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child2_chores,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child2_rest,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child2_other,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child2_school_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child2_digitals_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child2_study_alone_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child2_study_adult_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child2_reading_alone_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child2_reading_adult_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child2_play_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child2_play_adult_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child2_chores_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child2_rest_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child2_other_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child3_school,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child3_digitals,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child3_study_alone,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child3_study_adult,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child3_reading_alone,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child3_reading_adult,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child3_play,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child3_play_adult,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child3_chores,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child3_rest,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child3_other,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child3_school_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child3_digitals_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child3_study_alone_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child3_study_adult_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child3_reading_alone_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child3_reading_adult_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child3_play_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child3_play_adult_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child3_chores_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child3_rest_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child3_other_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child4_school,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child4_digitals,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child4_study_alone,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child4_study_adult,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child4_reading_alone,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child4_reading_adult,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child4_play,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child4_play_adult,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child4_chores,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child4_rest,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child4_other,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child4_school_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child4_digitals_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child4_study_alone_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child4_study_adult_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child4_reading_alone_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child4_reading_adult_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child4_play_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child4_play_adult_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child4_chores_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child4_rest_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child4_other_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child5_school,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child5_digitals,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child5_study_alone,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child5_study_adult,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child5_reading_alone,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child5_reading_adult,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child5_play,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child5_play_adult,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child5_chores,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child5_rest,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child5_other,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_prim_child5_school_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child5_digitals_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child5_study_alone_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child5_study_adult_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child5_reading_alone_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child5_reading_adult_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child5_play_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child5_play_adult_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child5_chores_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child5_rest_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_prim_child5_other_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child1_school,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child1_digitals,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child1_study_alone,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child1_study_adult,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child1_reading_alone,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child1_reading_adult,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child1_play,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child1_play_adult,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child1_chores,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child1_rest,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child1_other,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child1_school_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child1_digitals_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child1_study_alone_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child1_study_adult_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child1_reading_alone_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child1_reading_adult_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child1_play_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child1_play_adult_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child1_chores_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child1_rest_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child1_other_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child2_school,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child2_digitals,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child2_study_alone,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child2_study_adult,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child2_reading_alone,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child2_reading_adult,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child2_play,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child2_play_adult,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child2_chores,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child2_rest,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child2_other,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare, 
hrs_sec_child2_school_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child2_digitals_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
hrs_sec_child2_study_alone_202002,:ref:`🔗 <w3e-v2_bokind>`,Int,Childcare,202002
