new_name;reference period other than survey period;label_english;L_CoronavirusImpact_wave3_3p.dta;L_CoronavirusImpact_4.0p.dta;L_CoronavirusImpact_3p.dta;question_group;type;categories_english;ordered
cc_older_siblings;;The older siblings care for the younger children.;;q23__3;q23__3;q23;bool;;
cc_grand_parents;;The grandparents care for the children.;;q23__4;q23__4;q23;bool;;
cc_other_relatives;;Other relatives or friends care for the children.;;q23__5;q23__5;q23;bool;;
cc_share_neighbors;;I organize child care with friends / neighbors together.;;q23__6;q23__6;q23;bool;;
cc_state;;The state organizes child care for my profession.;;q23__7;q23__7;q23;bool;;
cc_ex_partner;;My ex-partner cares for the children.;;q23__8;q23__8;q23;bool;;
cc_home_alone;;The child(ren) stay(s) at home alone.;;q23__9;q23__9;q23;bool;;
cc_other;;Otherwise;;q23__10;q23__10;q23;bool;;
cc_other_str;;Otherwise, namely:;;q23and;q23and;q23;str;;
cc_emergency_helpful;;Are you well helped with this emergency (child) care?;;;q24;q24;Categorical;1 no not at all, 2, 3, 4, 5 yes very good;True
cc_emergency_comment;;If you want to say something about this emergency (child) care, maybe about what you think could be improved, you can put it here;;;q25a;q25;str;;
liked_survey;;How did you like this survey overall?;;;eva2h;eva2h;Categorical;not at all, not very much, average, good, very good;True
remarks;;Do you have any remarks or would like to add something to the special survey on the topic of coronavirus?;;;note;-;str;;
effect_mask;;In your opinion, how effective is wearing a mask when it comes to protecting yourself against the coronavirus?;;;q4a;q4;Categorical;not effective at all, hardly effective, somewhat effective, effective, very effective;True
effect_pray;;In your opinion, how effective is praying when it comes to protecting yourself against the coronavirus?;;;q4b;q4;Categorical;not effective at all, hardly effective, somewhat effective, effective, very effective;True
effect_wash_hands;;In your opinion, how effective is washing your hands or using desinfectant when it comes to protecting yourself against the coronavirus?;;;q4c;q4;Categorical;not effective at all, hardly effective, somewhat effective, effective, very effective;True
effect_doctor_ill;;In your opinion, how effective is calling a physician if you are ill when it comes to protecting yourself against the coronavirus?;;;q4d;q4;Categorical;not effective at all, hardly effective, somewhat effective, effective, very effective;True
effect_doctor_healthy;;In your opinion, how effective is calling a physician if you don't feel ill but are worried when it comes to protecting yourself against the coronavirus?;;;q4e;q4;Categorical;not effective at all, hardly effective, somewhat effective, effective, very effective;True
effect_avoid_public_places;;In your opinion, how effective is avoiding public places when it comes to protecting yourself against the coronavirus?;;;q4f;q4;Categorical;not effective at all, hardly effective, somewhat effective, effective, very effective;True
effect_avoid_high_risk;;In your opinion, how effective is avoiding vulnerable people when it comes to protecting yourself against the coronavirus?;;;q4g;q4;Categorical;not effective at all, hardly effective, somewhat effective, effective, very effective;True
effect_avoid_hospital;;In your opinion, how effective is avoiding visitng others in the hospital or retirement homes when it comes to protecting yourself against the coronavirus?;;;q4h;q4;Categorical;not effective at all, hardly effective, somewhat effective, effective, very effective;True
effect_avoid_gastro;;In your opinion, how effective is avoiding cafes and restaurants when it comes to protecting yourself against the coronavirus?;;;q4i;q4;Categorical;not effective at all, hardly effective, somewhat effective, effective, very effective;True
effect_avoid_public_transp;;In your opinion, how effective is avoiding public transport when it comes to protecting yourself against the coronavirus?;;;q4j;q4;Categorical;not effective at all, hardly effective, somewhat effective, effective, very effective;True
contact_older_people;;Have you had personal, social contact with older people in the past seven days?;;;q5;q5;Categorical;Not at all, hardly, some, a lot , a whole lot;True
supp_close_schools;;Under the current circumstances, do you disagree or agree with the following (possible) policies against spreading the coronavirus? All kindergardens and schools have ot stay closed;;;q8a;q8;Categorical;totally disagree, disagree, neither/nore, agree, totally agree;True
supp_close_cafes;;Under the current circumstances, do you disagree or agree with the following (possible) policies against spreading the coronavirus? All cafes and restaurants have to stay closed;;;q8b;q8;Categorical;totally disagree, disagree, neither/nore, agree, totally agree;True
supp_close_most_shops;;Under the current circumstances, do you disagree or agree with the following (possible) policies against spreading the coronavirus? All shops except for supermarkets and pharmacies have to stay closed;;;q8c;q8;Categorical;totally disagree, disagree, neither/nore, agree, totally agree;True
supp_no_visitors;;Under the current circumstances, do you disagree or agree with the following (possible) policies against spreading the coronavirus? No visitors in hospitals and elderly homes;;;q8d;q8;Categorical;totally disagree, disagree, neither/nore, agree, totally agree;True
supp_curfew_high_risk;;Under the current circumstances, do you disagree or agree with the following (possible) policies against spreading the coronavirus? People aged 70 and over or with a medical condition have to stay at home except to do basic shopping or because urgent medical attention is required;;;q8e;q8;Categorical;totally disagree, disagree, neither/nore, agree, totally agree;True
supp_curfew_non_crucial;;Under the current circumstances, do you disagree or agree with the following (possible) policies against spreading the coronavirus? Everyone who does not work in a crucial profession has to stay at home except to do basic shopping or because urgent medical care is required;;;q8f;q8;Categorical;totally disagree, disagree, neither/nore, agree, totally agree;True
duration_restrictions_general;;Until when dou you think that the limitations that exist now will remain in effect?;;q7;q7;q7;Categorical;until April 6, btw. April 6 and 2 months, btw. 2 and 4 months, btw. 4 and 8 months, btw. 8 and 12 months, for more than 1 year;True
comply_curfew_others;;If the government obliges everyone to stay home tomorrow (except to do basic groceries), how many out of 100 people who don't work in critical professions would do this, do you think?;;;q9;q9;Int;;
comply_bc_civic;;I would comply with a curfew because I see it as my civic duty.;;;q11__1;q11;bool;;
comply_bc_fear_punished;;I would comply with a curfew out of fear of being punished.;;;q11__2;q11;bool;;
comply_bc_protect_self;;I would comply with a curfew to protect myself from being infected.;;;q11__3;q11;bool;;
comply_bc_protect_close;;I would comply with a curfew to protect those close to me.;;;q11__4;q11;bool;;
comply_bc_protect_all;;I would comply with a curfew to protect others in general.;;;q11__5;q11;bool;;
comply_bc_high_risk;;I would comply with a curfew to protect vulnerable groups.;;;q11__6;q11;bool;;
comply_bc_other;;I would comply with a curfew for another reason.;;;q11__7;q11;bool;;
comply_bc_other_str;;I would comply with a curfew because of another resaon, namely:;;;q11and;q11;str;;
disobey_bc_freedom;;I would disobey a curfew because I don't accept such drastic infringements of my liberties;;;q12__1;q12;bool;;
disobey_bc_not_punish;;I would disobey a curfew because I don't believe that I would be punished.;;;q12__2;q12;bool;;
disobey_bc_unjustified;;I would disobey a curfew because I don't believe such drastic infringements are justified to stop the spread of coronavirus.;;;q12__3;q12;bool;;
disobey_bc_obligations;;I would disobey a curfew because I have obligations because of which I cannot follow the recommendaitons.;;;q12__4;q12;bool;;
disobey_bc_ineffective;;I would disobey a curfew because I don't believe that a curfew will slow the spread of coronavirus.;;;q12__5;q12;bool;;
disobey_bc_unaffected;;I would disobey a curfew because I don't believe I will be affected by the outbreak.;;;q12__6;q12;bool;;
disobey_bc_bored;;I would disobey a curfew because it would be too boring to stay home all the time.;;;q12__7;q12;bool;;
disobey_bc_other;;I would disobey a curfew because of another reason.;;;q12__8;q12;bool;;
disobey_bc_other_str;;I would disobey a curfew because of another reason, namely: ;;;q12and;q12;str;;
hours_workplace_202002;202002;On average, how many hours per week did you work at your workplace in early March?;;q14a_1_q14werk_1;q14a;q14;float;;
hours_home_202002;202002;On average, how many hours per week did you work at home in early March?;;q14a_1_q14thuis_1;q14c;q14;float;;
hours_workplace;;On average, how many hours per week did you work at your workplace in the past seven days?;q14b_q14werk;q14c_q14werk;q14b;q14;float;;
hours_home;;On average, how many hours per week did you work at home  in the past seven days?;q14b_q14thuis;q14c_q14thuis;q14d;q14;float;;
hours_workplace_merge;;;;q14b_1_q14werk_1;;q14;float;;
hours_home_merge;;;;q14b_1_q14thuis_1;;q14;float;;
empl_not_work_lessbusiness;;Less business activity in the company where I work;;q15__1;q15__1;q15;bool;;
empl_not_work_infection_gov;;;;q15__2;;q15;bool;;
empl_not_work_infection_empl;;Because of the risk of infection, my employer postponed work;;q15__3;q15__4;q15;bool;;
empl_not_work_care;;Must take care of people (children, parents) who depend on me;;q15__4;q15__2;q15;bool;;
empl_not_work_fear_infection;;I do not go to my workplace because I am afraid of being infected by the coronavirus and I cannot do the work I do at;;q15__5;q15__3;q15;bool;;
empl_not_work_sick;;;;q15__6;;q15;bool;;
empl_not_work_vacation;;;;q15__7;;q15;bool;;
empl_not_work_fired;;I got fired;;q15__8;q15__5;q15;bool;;
empl_not_work_other;;Otherwise;;q15__9;q15__6;q15;bool;;
empl_not_work_other_str;;Otherwise, namely:;;q15and;q15and;q15;str;;
empl_less_work_lessbusiness;;Less business activity in the company where I work;;q16__1;q16__1;q16;bool;;
empl_less_work_infection_gov;;;;q16__2;;q16;bool;;
empl_less_work_infection_empl;;Because of the risk of infection, my employer has decided that less work will be done;;q16__3;q16__4;q16;bool;;
empl_less_work_care;;Must take care of people (children, parents) who depend on me;;q16__4;q16__2;q16;bool;;
empl_less_work_fear_infection;;I go to my workplace less because of fear of being infected by the coronavirus and not able to work at home.;;q16__5;q16__3;q16;bool;;
empl_less_work_sick;;;;q16__6;;q16;bool;;
empl_less_work_vacation;;;;q16__7;;q16;bool;;
empl_less_work_unrel_corona;;;;q16__8;;q16;bool;;
empl_less_work_other;;Otherwise;;q16__9;q16__5;q16;bool;;
empl_less_work_other_str;;Otherwise, namely:;;q16and;q16and;q16;str;;
selfempl_less_business;;Less business activity in my company;;q17__1;q17__1;q17;bool;;
selfempl_less_infection_gov;;;;q17__2;;q17;bool;;
selfempl_less_infection_self;;;;q17__3;;q17;bool;;
selfempl_less_care;;Must take care of people (children, parents) who depend on me;;q17__4;q17__2;q17;bool;;
selfempl_less_closure;;The entire company is closed (for now) due to the risk of contamination;;;q17__3;q17;bool;;
selfempl_less_sick;;;;q17__5;;q17;bool;;
selfempl_less_vacation;;;;q17__6;;q17;bool;;
selfempl_less_unrel_corona;;;;q17__7;;q17;bool;;
selfempl_less_other;;Other reason;;q17__8;q17__4;q17;bool;;
selfempl_less_other_str;;Otherwise, namely:;;q17and;q17and;q17;str;;
contact_young_people;;How often do you have personal social contacts with people who now work or study?;;;q18;q18;Categorical;Never, once a week, several times a week, every day;
pensioner_useful_skill;;Do you have a background or skill that can be immediately used by hospitals or healthcare to fight the coronavirus?;;;q19;q19;Categorical;No unable, no lacking skills, medical training, social work training, organizational skills;
pensioner_prepared_to_help;;Suppose healthcare is overloaded by patients infected with the coronavirus. To what extent are you willing to volunteer in hospitals or retirement homes and care for people who are very ill from the coronavirus, even if that means that you are likely to contract the virus yourself?;;;q20;q20;Categorical;0 not prepared at all, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 definitely prepared;
intend_crisis_save_more;;Do you intend to do the following things in response to the spread of the coronavirus? Save more to have something to fall back on when things get worse;;;q21__1;q21;bool;;
intend_crisis_postpone_purchase;;Do you intend to do the following things in response to the spread of the coronavirus? Postpone purchases of durable goods, such as a car, technical appliances or furniture, for the foreseeable future;;;q21__2;q21;bool;;
intend_crisis_postpone_house;;Do you intend to do the following things in response to the spread of the coronavirus? Postpone the purchase of a house or apartment;;;q21__3;q21;bool;;
intend_crisis_reduce_housing;;Do you intend to do the following things in response to the spread of the coronavirus? Moving to a smaller house or apartment;;;q21__4;q21;bool;;
intend_crisis_sell_shares;;Do you intend to do the following things in response to the spread of the coronavirus? Selling shares;;;q21__5;q21;bool;;
intend_crisis_buy_shares;;Do you intend to do the following things in response to the spread of the coronavirus? Buying shares;;;q21__6;q21;bool;;
intend_crisis_no_action;;Do you intend to do the following things in response to the spread of the coronavirus? None of the above;;;q21__7;q21;bool;;
eur_1k_basic_needs;;If the Dutch government today announced you would receive 1000 euros next week, what would you use that money for? Basic needs (e.g. groceries);;;h1;q_heli;Int;;
eur_1k_expenses;;If the Dutch government today announced you would receive 1000 euros next week, what would you use that money for? Expenses (e.g. books);;;h2;q_heli;Int;;
eur_1k_durables;;If the Dutch government today announced you would receive 1000 euros next week, what would you use that money for? Durables;;;h3;q_heli;Int;;
eur_1k_savings;;If the Dutch government today announced you would receive 1000 euros next week, what would you use that money for? Savings;;;h4;q_heli;Int;;
eur_1k_support_others;;If the Dutch government today announced you would receive 1000 euros next week, what would you use that money for? Financially support others;;;h5;q_heli;Int;;
p_low_or_no_income;;What is the probability that the Coronavirus crisis will lead to a situation where you have no income or where your income is lower than what you need to cover basic needs and outstanding payment obligations?;q28;;q28;q28;Int;;
low_inc_cope_savings;;If the crisis leads to a situation where you have no income or where the income is lower than what you need to cover basic needs and outstanding payment obligations, how do you or your household deal with this? Use savings;q29__1;;q29__1;q29;bool;;
low_inc_cope_loan;;If the crisis leads to a situation where you have no income or where the income is lower than what you need to cover basic needs and outstanding payment obligations, how do you or your household deal with this? Have to take out a loan / increase the mortgage;q29__2;;q29__2;q29;bool;;
low_inc_cope_family;;If the crisis leads to a situation where you have no income or where the income is lower than what you need to cover basic needs and outstanding payment obligations, how do you or your household deal with this? Must rely on family;q29__3;;q29__3;q29;bool;;
low_inc_cope_unemp;;If the crisis leads to a situation where you have no income or where the income is lower than what you need to cover basic needs and outstanding payment obligations, how do you or your household deal with this? Must apply for unemployment / disability benefits;q29__4;;q29__4;q29;bool;;
low_inc_cope_retire;;If the crisis leads to a situation where you have no income or where the income is lower than what you need to cover basic needs and outstanding payment obligations, how do you or your household deal with this? Must retire (early);q29__5;;q29__5;q29;bool;;
low_inc_cope_soc_assist;;If the crisis leads to a situation where you have no income or where the income is lower than what you need to cover basic needs and outstanding payment obligations, how do you or your household deal with this? Must rely on social assistance;q29__6;;q29__6;q29;bool;;
low_inc_cope_other;;If the crisis leads to a situation where you have no income or where the income is lower than what you need to cover basic needs and outstanding payment obligations, how do you or your household deal with this? Must rely on social assistance;q29__999;;q29__999;q29;bool;;
low_inc_cope_other_str;;If the crisis leads to a situation where you have no income or where the income is lower than what you need to cover basic needs and outstanding payment obligations, how do you or your household deal with this? Other, namely:;q29and;;q29and;q29;str;;
nervous_7d;;The past seven days I was very nervous;q30a_wk_pre;;q30a;q30;Categorical;never, rarely, sometimes, often, mostly, constantly;True
depressed_7d;;The past seven days I was so down that nothing could cheer me up;q30b_wk_pre;;q30b;q30;Categorical;never, rarely, sometimes, often, mostly, constantly;True
calm_7d;;The past seven days I felt calm and peaceful;q30c_wk_pre;;q30c;q30;Categorical;never, rarely, sometimes, often, mostly, constantly;True
gloomy_7d;;The past seven days I felt dejected and gloomy;q30d_wk_pre;;q30d;q30;Categorical;never, rarely, sometimes, often, mostly, constantly;True
happy_7d;;The past seven daysI felt happy;q30e_wk_pre;;q30e;q30;Categorical;never, rarely, sometimes, often, mostly, constantly;True
concern_4w_bored;;That I get very bored;q31a;q31a;q31a;q31;Categorical;1 not concerned at all, 2, 3, 4, 5 very concerned;True
concern_4w_serious_ill;;That I become infected with the coronavirus and become very ill or die;q31b;q31b;q31b;q31;Categorical;2 not concerned at all, 2, 3, 4, 5 very concerned;True
concern_4w_infect_others;;That I get infected with the coronavirus and infect others;q31c;q31c;q31c;q31;Categorical;3 not concerned at all, 2, 3, 4, 5 very concerned;True
concern_4w_loved_ill;;That loved ones become infected with the coronavirus and become very ill or die;q31d;q31d;q31d;q31;Categorical;4 not concerned at all, 2, 3, 4, 5 very concerned;True
concern_4w_unemp;;That I will lose my job;q31e1;q31e1;q31e1;q31;Categorical;5 not concerned at all, 2, 3, 4, 5 very concerned;True
concern_4w_company;;That my company gets in financial difficulties.;q31e2;q31e2;q31e2;q31;Categorical;6 not concerned at all, 2, 3, 4, 5 very concerned;True
concern_4w_new_job;;That I won't be able to find a new job.;q31e3;q31e3;q31e3;q31;Categorical;7 not concerned at all, 2, 3, 4, 5 very concerned;True
concern_4w_food;;That I am unable to buy enough food;q31f;q31f;q31f;q31;Categorical;8 not concerned at all, 2, 3, 4, 5 very concerned;True
concern_4w_health_care;;That I will not get good health care;q31g;q31g;q31g;q31;Categorical;9 not concerned at all, 2, 3, 4, 5 very concerned;True
concern_4w_fav_shop_bancrupt;;That my favorite restaurant / cafe is going bankrupt;q31x;q31h;q31h;q31;Categorical;10 not concerned at all, 2, 3, 4, 5 very concerned;True
concern_4w_meet_loved;;That I can�t meet loved ones outside my household in person ;;;;q31;Categorical;1 not concerned at all, 2, 3, 4, 5 very concerned;True
duration_econ_crisis;;How long do you think the economic crisis will last?;;;v1;v1;Categorical;less than 1 month, 1 to 3 months, 3 to 6 months, 6 to 12 months, 1 to 2 years, 2 to 3 years, 3 years or more;True
l_12m_job_loss_employee;;How likely is it that the following economic effects of the coronavirus crisis will occur to you in the next 12 months? Job loss (employed);;;v2a;v2;Categorical;not applicable, very unlikely, unlikely, likely, very likely;True
l_12m_no_contracts_selfempl;;How likely is it that the following economic effects of the coronavirus crisis will occur to you in the next 12 months? No more contracts (self-employed);;;v2b;v2;Categorical;not applicable, very unlikely, unlikely, likely, very likely;True
l_12m_reduction_pension;;How likely is it that the following economic effects of the coronavirus crisis will occur to you in the next 12 months? Shortening my pension;;;v2c;v2;Categorical;not applicable, very unlikely, unlikely, likely, very likely;True
l_12m_drop_in_assets;;How likely is it that the following economic effects of the coronavirus crisis will occur to you in the next 12 months? Assets will drop in value;;;v2d;v2;Categorical;not applicable, very unlikely, unlikely, likely, very likely;True
l_12m_bank_bankrupt;;How likely is it that the following economic effects of the coronavirus crisis will occur to you in the next 12 months? My bank will go bankrupt;;;v2e;v2;Categorical;not applicable, very unlikely, unlikely, likely, very likely;True
l_12m_struggle_repay_debts;;How likely is it that the following economic effects of the coronavirus crisis will occur to you in the next 12 months? Struggle to repay debts;;;v2f;v2;Categorical;not applicable, very unlikely, unlikely, likely, very likely;True
e_12m_house_prices_direction;;At what level will house prices in 12 months be compared to house prices in February (ie before the coronavirus outbreak)?;;;v3;v3;Categorical;House prices will be lower, House prices will be the same, House prices will be higher;True
e_12m_house_prices_change;;How many percent ^ f_hogerlager ;;;v4;v4;Categorical;less than 2%, 2% to 5%, 5% to 10%, 10% to 20%, 30% or more;True
intend_12m_spend_less;;If you think about the coronavirus outbreak at this moment and then look ahead to the next 12 months, do you agree with the following statements? Spend less;;;v5a;v5;Categorical;0 totally disagree, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 totally agree;True
intend_12m_work_more;;If you think about the coronavirus outbreak at this moment and then look ahead to the next 12 months, do you agree with the following statements? Work more;;;v5c;v5;Categorical;1 totally disagree, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 totally agree;True
intend_12m_work_less;;If you think about the coronavirus outbreak at this moment and then look ahead to the next 12 months, do you agree with the following statements? Work less;;;v5d;v5;Categorical;2 totally disagree, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 totally agree;True
intend_12m_borrow;;If you think about the coronavirus outbreak at this moment and then look ahead to the next 12 months, do you agree with the following statements? Borrow extra;;;v5e;v5;Categorical;3 totally disagree, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 totally agree;True
intend_12m_postpone_house;;If you think about the coronavirus outbreak at this moment and then look ahead to the next 12 months, do you agree with the following statements? Postpone house purchase;;;v5f;v5;Categorical;4 totally disagree, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 totally agree;True
gov_action_approp;;I think the government's action is appropriate;;;v6a;v6;Categorical;totally disagree, disagree, neither/nore, agree, totally agree;True
gov_action_insuff;;I think the measures taken are insufficient;;;v6b;v6;Categorical;totally disagree, disagree, neither/nore, agree, totally agree;True
save_banks;;The government must be prepared to save banks;;;v6e;v6;Categorical;totally disagree, disagree, neither/nore, agree, totally agree;True
help_pension_funds;;Pension funds need to be helped.;;;v6f;v6;Categorical;totally disagree, disagree, neither/nore, agree, totally agree;True
personal_id;;personal identifier;nomem_encr;nomem_encr;nomem_encr;-;float;;
p_2m_employee_keep;;I will keep my job because my employer / company is not financially affected by the corona virus or is financially healthy enough to continue to pay wages;q26a;;q26a;q26;Int;;
p_2m_employee_keep_gov;;I will keep my job because the government provides help to my employer / company (eg by paying wages);q26b;;q26b;q26;Int;;
p_2m_employee_lost;;I will have lost my job or the number of hours will have been reduced to 0 indefinitely (e.g., forced unpaid leave, I am paid per hour in a restaurant ...);;;q26c;q26;Int;;
p_2m_employee_other;;Something else is happening;q26e;;q26d;q26;Int;;
p_2m_employee_new_job;;I have a new job with another employer;q26c;;;q26;Int;;
p_2m_employee_unemployed;;I am unemployed / no longer part of the labour force / retired / I have a disability pension;q26d;;;q26;Int;;
date_fieldwork;;year and month of the fieldwork period;maandnr;maandnr;maandnr;-;Int;;
no_emergency_cc_note_drop;;I have nothing to notice;;;q25b;q25;str;;
note_survey;;Would you like to comment on the coronavirus outbreak? For example about things that you find important and about which we have not asked questions, or about which you would like to provide more information?;;;q34a;q34;str;;
;;I have nothing to notice;;;q34b;q34;Categorical;;
questionnaire_difficult;;Was it difficult to answer the questions?;eva2t1;eva2t1;eva2t1;-;Categorical;1 = definitely not, 2, 3, 4, 5 = certainly yes;
questionnaire_clear;;Were the questions sufficiently clear?;eva2t2;eva2t2;eva2t2;-;Categorical;1 = definitely not, 2, 3, 4, 5 = certainly yes;
questionnaire_thinking;;Did the questionnaire get you thinking about things?;eva2t3;eva2t3;eva2t3;-;Categorical;1 = definitely not, 2, 3, 4, 5 = certainly yes;
questionnaire_interesting;;Was it an interesting subject?;eva2t4;eva2t4;eva2t4;-;Categorical;1 = definitely not, 2, 3, 4, 5 = certainly yes;
