,new_name,qid,id,filter,group,type
131,p_severe_financial_distress,q28,,-,Probability of Period With Low Income,int
132,cope_savings,q29,,-,Economic Coping Strategies,bool
133,cope_loan,q29,,-,Economic Coping Strategies,bool
134,cope_family,q29,,-,Economic Coping Strategies,bool
135,cope_unemp,q29,,-,Economic Coping Strategies,bool
136,cope_retire,q29,,-,Economic Coping Strategies,bool
137,cope_soc_assist,q29,,-,Economic Coping Strategies,bool
138,cope_other,q29,,-,Economic Coping Strategies,bool
140,nervous,q30,q30a,-,Mental Health in the Past Week,Categorical
141,depressed,q30,q30b,-,Mental Health in the Past Week,Categorical
142,calm,q30,q30c,-,Mental Health in the Past Week,Categorical
143,gloomy,q30,q30d,-,Mental Health in the Past Week,Categorical
144,happy,q30,q30e,-,Mental Health in the Past Week,Categorical
145,concern_bored,q31,q31a,-,Health Concerns,Categorical
146,concern_serious_ill,q31,q31b,-,Health Concerns,Categorical
147,concern_infect_others,q31,q31c,-,Health Concerns,Categorical
148,concern_loved_ill,q31,q31d,-,Health Concerns,Categorical
149,concern_unemp,q31,q31e1,-,Economic Concerns,Categorical
150,concern_company,q31,q31e2,-,Economic Concerns,Categorical
151,concern_new_job,q31,q31e3,-,Economic Concerns,Categorical
152,concern_food,q31,q31f,-,Economic Concerns,Categorical
153,concern_health_care,q31,q31g,-,Health Concerns,Categorical
154,concern_fav_shop_bancrupt,q31,q31h,-,Economic Concerns,Categorical
31,approp_gov_medical,q33,q33a,-,Appropriateness of Policy Response,Categorical
32,approp_gov_restrict_public_life,q33,q33b,-,Appropriateness of Policy Response,Categorical
33,approp_gov_econ_mitigation,q33,q33c,-,Appropriateness of Policy Response,Categorical
34,approp_gov_communication,q33,q33d,-,Appropriateness of Policy Response,Categorical
35,trust_gov,q32,,-,Trust in Government,Categorical
179,note_survey,q34,,-,Comment,str
155,duration_econ_crisis,v1,,-,Duration of the Economic Crisis,Categorical
156,p_job_loss_empl,v2,v2a,-,Probabilities of Economic Repercussions,Categorical
157,p_job_loss_selfempl,v2,v2b,-,Probabilities of Economic Repercussions,Categorical
158,p_shorten_pension,v2,v2c,-,Probabilities of Economic Repercussions,Categorical
159,p_drop_in_assets,v2,v2d,-,Probabilities of Economic Repercussions,Categorical
160,p_bank_bancrupt,v2,v2e,-,Probabilities of Economic Repercussions,Categorical
161,p_struggle_debts,v2,v2f,-,Probabilities of Economic Repercussions,Categorical
162,exp_house_prices_direction,v3,,-,House Prices,Categorical
163,exp_house_prices_percent,v4,,v3,House Prices,Categorical
164,exp_spend_less,v5,v5a,-,Consumption Plans Next 12 Months,Categorical
165,exp_work_more,v5,v5b,-,Consumption Plans Next 12 Months,Categorical
166,exp_work_less,v5,v5c,-,Consumption Plans Next 12 Months,Categorical
167,exp_borrow,v5,v5d,-,Consumption Plans Next 12 Months,Categorical
168,exp_postpone_house,v5,v5e,-,Consumption Plans Next 12 Months,Categorical
172,help_pension_funds,v6,v6f,-,Government Action,Categorical
170,gov_action_insuff,v6,v6b,-,Government Action,Categorical
169,gov_action_approp,v6,v6a,-,Government Action,Categorical
171,save_banks,v6,v6e,-,Government Action,Categorical
183,questionnaire_interesting,eva2,eva2t4,-,Questionnaire Feedback,Categorical
180,questionnaire_difficult,eva2,eva2t1,-,Questionnaire Feedback,Categorical
181,questionnaire_clear,eva2,eva2t2,-,Questionnaire Feedback,Categorical
182,questionnaire_thinking,eva2,eva2t3,-,Questionnaire Feedback,Categorical
184,questionnaire_enjoy,eva2,eva2t5,-,Questionnaire Feedback,Categorical
