page;id;qid;layout;filter;group;question_dutch;subquestion_dutch;question_english;subquestion_english;type;categories_dutch;categories_english;new_name
4.05;q30e_mnd;q30hd_maand;table;-;Mental Health in the Past Month;"De volgende vraag gaat over hoe u zich voelde in de afgelopen maand. Geeft u het antwoord dat het best uw gevoel weergeeft. 
De afgelopen maand..";voelde ik me gelukkig;"The next question is about how you felt in the past month. Give you the answer that best reflects your feelings. 
The past month…";I felt happy;Categorical;Nooit|Zelden|Soms|Vaak|Meestal|Voortdurend;never|rarely|sometimes|often|mostly|constantly;
5.01;support_a;support;table;-;Support Government Policy;Wat vindt u van de maatregelen op dit moment om de coronavirus-crisis te bestrijden als het gaat om de volgende gebieden?;Kinderdagopvang en buitenschoolse opvang zijn weer helemaal open;What do you think of the measures currently being taken to combat the coronavirus crisis in the following areas?;Child day care and extracurricular care are completely open again;Categorical;Te soepel|Eerder te soepel dan te streng|Precies voldoende|Eerder te streng dan te soepel|Te streng;too flexible|rather flexible|just enough|rather too strict|too strict ;
5.02;support_b;support;table;-;Support Government Policy;Wat vindt u van de maatregelen op dit moment om de coronavirus-crisis te bestrijden als het gaat om de volgende gebieden?;Basisscholen zijn weer helemaal open;What do you think of the measures currently being taken to combat the coronavirus crisis in the following areas?;Elementary school are completely open again;Categorical;Te soepel|Eerder te soepel dan te streng|Precies voldoende|Eerder te streng dan te soepel|Te streng;too flexible|rather flexible|just enough|rather too strict|too strict ;
5.03;support_c;support;table;-;Support Government Policy;Wat vindt u van de maatregelen op dit moment om de coronavirus-crisis te bestrijden als het gaat om de volgende gebieden?;Cafés en restaurants zijn open maar een reservering, een gezondheidscheck en een vaste zitplaats zijn verplicht;What do you think of the measures currently being taken to combat the coronavirus crisis in the following areas?;Cafés and restaurants are open but a reservation, a health check and a fixed seat are required.;Categorical;Te soepel|Eerder te soepel dan te streng|Precies voldoende|Eerder te streng dan te soepel|Te streng;too flexible|rather flexible|just enough|rather too strict|too strict ;
5.04;support_g;support;table;-;Support Government Policy;Wat vindt u van de maatregelen op dit moment om de coronavirus-crisis te bestrijden als het gaat om de volgende gebieden?;Nachtclubs en discotheken zijn gesloten;What do you think of the measures currently being taken to combat the coronavirus crisis in the following areas?;Nightclubs and discotheques are closed;;Te soepel|Eerder te soepel dan te streng|Precies voldoende|Eerder te streng dan te soepel|Te streng;too flexible|rather flexible|just enough|rather too strict|too strict ;
5.05;support_d;support;table;-;Support Government Policy;Wat vindt u van de maatregelen op dit moment om de coronavirus-crisis te bestrijden als het gaat om de volgende gebieden?;In het openbaar vervoer moeten reizigers een mondkapje dragen;What do you think of the measures currently being taken to combat the coronavirus crisis in the following areas?;In public transport, travelers must wear a mask.;Categorical;Te soepel|Eerder te soepel dan te streng|Precies voldoende|Eerder te streng dan te soepel|Te streng;too flexible|rather flexible|just enough|rather too strict|too strict ;
5.06;support_f;support;table;-;Support Government Policy;Wat vindt u van de maatregelen op dit moment om de coronavirus-crisis te bestrijden als het gaat om de volgende gebieden?;Werken op je werkplek mag alleen als er 1,5 meter afstand kan worden gehouden en als andere voorzieningen ter bescherming en hygiëne zijn getroffen, zoals bv. plexiglas afscheidingen;What do you think of the measures currently being taken to combat the coronavirus crisis in the following areas?;Work at your workplace is only allowed if it is possible to keep a distance of 1.5 meters and if other provisions for protection and hygiene have been made, such as plexiglass partitions.;Categorical;Te soepel|Eerder te soepel dan te streng|Precies voldoende|Eerder te streng dan te soepel|Te streng;too flexible|rather flexible|just enough|rather too strict|too strict ;
6.01;avoid_a;avoid;table;-;Avoid Activities;Vergeleken met de situatie vóór de uitbraak van het coronavirus:;gaat u met de maatregelen die nu van kracht zijn, naar een café of restaurant?;Compared to the situation before the coronavirus outbreak:;Are you going to a café or restaurant with the measures currently in force?;Categorical;voor de uitbraak niet en nu ook niet|voor de uitbraak wel, maar nu zeker niet|veel minder vaak dan voor de uitbraak|een beetje minder vaak dan voor de uitbraak|net zo vaak als voor de uitbraak|vaker dan voor de uitbraak;not before the outbreak and not now|much less often than before the outbreak|a little less often than before the outbreak|as often as before the outbreak|more often than before the outbreak|before the outbreak, but not now;
6.02;avoid_b;avoid;table;-;Avoid Activities;Vergeleken met de situatie vóór de uitbraak van het coronavirus:;gaat u met de maatregelen die nu van kracht zijn, sociale of culturele vrijetijdsactiviteiten ondernemen, zoals naar de bioscoop, het theater of een museum gaan?;Compared to the situation before the coronavirus outbreak:;With the measures currently in force, are you going to undertake social or cultural leisure activities, such as going to the cinema, the theater or a museum?;Categorical;voor de uitbraak niet en nu ook niet|voor de uitbraak wel, maar nu zeker niet|veel minder vaak dan voor de uitbraak|een beetje minder vaak dan voor de uitbraak|net zo vaak als voor de uitbraak|vaker dan voor de uitbraak;not before the outbreak and not now|much less often than before the outbreak|a little less often than before the outbreak|as often as before the outbreak|more often than before the outbreak|before the outbreak, but not now;
6.03;avoid_c;avoid;table;-;Avoid Activities;Vergeleken met de situatie vóór de uitbraak van het coronavirus:;gaat u met de maatregelen die nu van kracht zijn, het openbaar vervoer gebruiken?;Compared to the situation before the coronavirus outbreak:;Are you going to use public transport with the measures currently in force?;Categorical;voor de uitbraak niet en nu ook niet|voor de uitbraak wel, maar nu zeker niet|veel minder vaak dan voor de uitbraak|een beetje minder vaak dan voor de uitbraak|net zo vaak als voor de uitbraak|vaker dan voor de uitbraak;not before the outbreak and not now|much less often than before the outbreak|a little less often than before the outbreak|as often as before the outbreak|more often than before the outbreak|before the outbreak, but not now;
7.01;EmploymentStatus;EmploymentStatus;cat;-;Employment Status;"Welke van de volgende opties beschrijft uw situatie het best? 
Als er meer opties mogelijk zijn, kiest u dan de hoofdactiviteit of -baan";;"Which of the following options best describes your situation? 
If more options are possible, please choose the main activity or job";;Categorical;Ik verricht betaald werk in loondienst, full-time of part-time|Ik ben zelfstandig ondernemer|Ik ben werkloos en ben op zoek naar werk|Ik ben (vervroegd) gepensioneerd|Ik ontvang een arbeidsongeschiktheidsuitkering of sociale bijstand en ben niet op zoek naar werk|Ik ben leerling / student / stagiair en krijg alleen een onkostenvergoeding|Ik doe het huishouden;employed|self-employed|unemployed|retired|social assistance|student or trainee|homemaker;
8.01;q14b_q14werk;q14;grid;EmploymentStatus;Work Time Remote and Workplace;"Hoeveel uur per week werkte u in de afgelopen zeven dagen op uw werkplek en vanuit huis?

Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'.
Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.";Op uw werkplek;"How many hours per week have you worked in your workplace and from home in the past seven days? 

If you always work from home, fill in all hours at 'from home'.
Fill in zero (0) if you never work at your workplace or at home.";At your workplace;int;;;
8.02;q14b_q14thuis;q14;grid;EmploymentStatus;Work Time Remote and Workplace;"Hoeveel uur per week werkte u in de afgelopen zeven dagen op uw werkplek en vanuit huis?

Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'.
Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.";Vanuit huis ;"How many hours per week have you worked in your workplace and from home in the past seven days? 

If you always work from home, fill in all hours at 'from home'.
Fill in zero (0) if you never work at your workplace or at home.";From home;int;;;
9.01;vacsick1;vacsick;grid;EmploymentStatus;Vacation & Sickness;"In de afgelopen zeven dagen, hoeveel dagen hebt u...  

Rond af op hele dagen (bv. een halve dag = 1 dag).
Vult u nul (0) in als u geen vrije dag hebt opgenomen.";een vrije dag opgenomen voor vrije tijd (ontspanning, vermaak);"In the past seven days, how many days have you...  

Round off on whole days (e.g. half a day = 1 day).
Fill in zero (0) if you haven't taken a day off.";taken a day off for leisure (relaxation, entertainment);int;;;
9.02;vacsick2;vacsick;grid;EmploymentStatus;Vacation & Sickness;"In de afgelopen zeven dagen, hoeveel dagen hebt u...  

Rond af op hele dagen (bv. een halve dag = 1 dag).
Vult u nul (0) in als u geen vrije dag hebt opgenomen.";een vrije dag opgenomen om voor de kinderen te zorgen;"In the past seven days, how many days have you...  

Round off on whole days (e.g. half a day = 1 day).
Fill in zero (0) if you haven't taken a day off.";taken a day off to take care of the children;int;;;
9.03;vacsick3;vacsick;grid;EmploymentStatus;Vacation & Sickness;"In de afgelopen zeven dagen, hoeveel dagen hebt u...  

Rond af op hele dagen (bv. een halve dag = 1 dag).
Vult u nul (0) in als u geen vrije dag hebt opgenomen.";een vrije dag opgenomen voor een andere reden;"In the past seven days, how many days have you...  

Round off on whole days (e.g. half a day = 1 day).
Fill in zero (0) if you haven't taken a day off.";taken a day off for another reason;int;;;
9.04;vacsick4;vacsick;grid;EmploymentStatus;Vacation & Sickness;"In de afgelopen zeven dagen, hoeveel dagen hebt u...  

Rond af op hele dagen (bv. een halve dag = 1 dag).
Vult u nul (0) in als u geen vrije dag hebt opgenomen.";zich ziek gemeld;"In the past seven days, how many days have you...  

Round off on whole days (e.g. half a day = 1 day).
Fill in zero (0) if you haven't taken a day off.";reported sick;int;;;
10.01;q16a;q16a;cat;EmploymentStatus;NOW;Voor zover bij u bekend, heeft uw werkgever een aanvraag ingediend voor een tegemoetkoming in de loonkosten voor de periode juni-september (de tijdelijke Noodmaatregel Overbrugging Werkgelegenheid 2.0, afgekort de NOW 2.0)? De regeling is bedoeld voor werkgevers die als gevolg van het coronavirus kampen met een omzetverlies van ten minste 20%. Zij kunnen bij het UWV een aanvraag indienen voor een tegemoetkoming in de loonkosten.;;To the best of your knowledge, has your employer submitted an application for an allowance for labour costs for the period June-September (the temporary Emergency Measure Bridging Employment 2.0, abbreviated to NOW 2.0)? The scheme is intended for employers who suffer a loss of turnover of at least 20% due to the coronavirus. They can apply to the UWV for an allowance for labour costs.;;Categorical;Ja, de aanvraag is toegekend|Ja, maar de aanvraag is afgewezen|Ja, maar ik weet nog niet of de aanvraag is toegekend|Nee, maar ik denk dat mijn werkgever dit wel gaat doen|Nee, ik denk niet dat het nodig is|Nee, ik denk niet dat het mogelijk is|Ik weet het niet;yes, the application has been granted|yes, but the application was rejected|yes, but I don't yet know if the application has been granted|no, I don't think it's necessary|no, but I think my employer is gonna do this|no, I don't think it's possible|I don't know ;
11.01;q17a;q17a;cat;EmploymentStatus;NOW among Self-Employed;Hebt u een aanvraag ingediend voor een tegemoetkoming in de loonkosten voor de periode juni-september (de tijdelijke Noodmaatregel Overbrugging Werkgelegenheid 2.0, afgekort de NOW 2.0)? De regeling is bedoeld voor werkgevers die als gevolg van het coronavirus kampen met een omzetverlies van ten minste 20%. Zij kunnen bij het UWV een aanvraag indienen voor een tegemoetkoming in de loonkosten.;;Have you applied for an allowance for labour costs for the period June-September (the temporary Emergency Measure Bridging Employment 2.0, abbreviated to NOW 2.0)? The scheme is intended for employers who suffer a loss of turnover of at least 20% due to the coronavirus. They can apply to the UWV for an allowance for labour costs.;;Categorical;Ja, de aanvraag is toegekend|Ja, maar de aanvraag is afgewezen|Ja, maar ik weet nog niet of de aanvraag is toegekend|Nee, maar ik ga dit wel doen|Nee, ik denk niet dat mijn bedrijf hiervoor in aanmerking komt|Nee, ik heb geen werknemers in dienst/geen loonkosten|Nee, dit is te veel administratief gedoe|Nee, om een andere reden|Ik wist niet dat deze regeling er is;yes, the application has been granted|yes, but the application was rejected|yes, but I don't yet know if the application has been granted|no, but I'm gonna do this|no, I don't think my company qualifies|no, I have no employees/no payroll costs|no, this is too much paperwork|no, for another reason|I didn't know there was this arrangement;
12.01;q17d;q17d;cat;EmploymentStatus;Tozo among Self-Employed;Hebt u een aanvraag ingediend voor de inkomensondersteuning voor zelfstandigen voor de periode juni-september (de Tijdelijke overbruggingsregeling zelfstandig ondernemers 2.0, afgekort de Tozo 2.0)? De regeling voorziet in een aanvullende uitkering voor levensonderhoud als het inkomen door de coronacrisis tot onder het sociaal minimum daalt. En in een lening voor bedrijfskapitaal om liquiditeitsproblemen als gevolg van de coronacrisis op te vangen.;;Have you submitted an application for income support for self-employed persons for the period June-September (the Temporary bridging scheme for self-employed persons 2.0, abbreviated to Tozo 2.0)? The scheme provides a supplementary livelihood allowance if the income falls below the social minimum due to the corona crisis. And a loan for working capital to absorb liquidity problems as a result of the corona crisis.;;Categorical;Ja, de aanvraag is toegekend|Ja, maar de aanvraag is afgewezen|Ja, maar ik weet nog niet of de aanvraag is toegekend|Nee, maar ik ga dit wel doen|Nee, ik denk niet dat mijn bedrijf hiervoor in aanmerking komt|Nee, mijn partner heeft teveel inkomen|Nee, dit is te veel administratief gedoe|Nee, om een andere reden|Ik wist niet dat deze regeling er is;yes, the application has been granted|yes, but the application was rejected|yes, but I don't yet know if the application has been granted|no, but I'm gonna do this|no, I don't think my company qualifies|no, my partner has too much income|no, this is too much paperwork|no, for another reason|I didn't know there was this arrangement;
13.01;NOW_ES1;NOW_ES1;grid;EmploymentStatus;NOW 3.0 expectations;"Hoe groot denkt u dat de kans is dat uw werkgever gebruik gaat maken van de Noodmaatregel Overbrugging Werkgelegenheid (NOW) 3.0, die vanaf oktober geldt? 
U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.";;"How likely do you think that your employer will make use of the Emergency Measure Bridging Employment (NOW) 3.0, which applies from October?
You can answer this question on a scale from 0 to 100, where 0 means definitely not and 100 means definitely yes.";;int;;;
14.01;NOW_ES2;NOW_ES2;grid;EmploymentStatus;NOW 3.0 expectations among Self-Employed;;"Hoe groot denkt u dat de kans is dat u gebruik gaat maken van de Noodmaatregel Overbrugging Werkgelegenheid (NOW) 3.0, die vanaf oktober geldt?
U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.";;"How big do you think the chances are that you will make use of the Emergency Measure? Bridging Employment (NOW) 3.0, applicable from October?
You can answer this question on a scale from 0 to 100, where 0 says for sure not and 100 for sure yes.";int;;;
14.02;Tozo_ES2;NOW_ES2;grid;EmploymentStatus;Tozo 3.0 expectations among Self-Employed;;"Hoe groot denkt u dat de kans is dat u gebruik gaat maken van de Tijdelijke overbruggingsregeling zelfstandig ondernemers (Tozo) 3.0, die vanaf oktober geldt?
U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.";;"How big do you think the chances are that you will make use of the Temporary bridging scheme for independent entrepreneurs (Tozo) 3.0, which applies from October?
You can answer this question on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes.";int;;;
15.01;change_empl;change_empl;multi;EmploymentStatus;Income Situation (Employees);Als u uw situatie vergelijkt met die van voor de coronavirus crisis, welke situatie is dan nu op u van toepassing?;Ik heb een arbeidscontract met meer uren;If you compare your situation with that before the coronavirus crisis, which situation applies to you now?;I have an employment contract with more hours;Categorical;Ik heb een arbeidscontract met meer uren|Ik heb een arbeidscontract met hetzelfde aantal uren|Ik heb een arbeidscontract met minder uren|Mijn werkgever heeft me ontslagen, maar het ontslag is nog niet ingegaan|Anders, namelijk…;I have an employment contract with more hours|I have an employment contract with the same number of hours|I have an employment contract with fewer hours|my employer fired me, but the dismissal hasn't taken effect yet|other;
15.02;change_empl;change_empl;multi;EmploymentStatus;Income Situation (Employees);Als u uw situatie vergelijkt met die van voor de coronavirus crisis, welke situatie is dan nu op u van toepassing?;Ik heb een arbeidscontract met hetzelfde aantal uren;If you compare your situation with that before the coronavirus crisis, which situation applies to you now?;I have an employment contract with the same number of hour;;;;
15.03;change_empl;change_empl;multi;EmploymentStatus;Income Situation (Employees);Als u uw situatie vergelijkt met die van voor de coronavirus crisis, welke situatie is dan nu op u van toepassing?;Ik heb een arbeidscontract met minder uren;If you compare your situation with that before the coronavirus crisis, which situation applies to you now?;I have an employment contract with fewer hours;;;;
15.04;change_empl;change_empl;multi;EmploymentStatus;Income Situation (Employees);Als u uw situatie vergelijkt met die van voor de coronavirus crisis, welke situatie is dan nu op u van toepassing?;Mijn werkgever heeft me ontslagen, maar het ontslag is nog niet ingegaan;If you compare your situation with that before the coronavirus crisis, which situation applies to you now?;I have an employment contract with fewer hours;;;;
15.05;change_empl;change_empl;multi;EmploymentStatus;Income Situation (Employees);Als u uw situatie vergelijkt met die van voor de coronavirus crisis, welke situatie is dan nu op u van toepassing?;Anders, namelijk...;If you compare your situation with that before the coronavirus crisis, which situation applies to you now?;other;;;;
16.01;change_selfempl;change_selfempl;multi;EmploymentStatus;Income Situation (Self-Employed);Als u uw situatie vergelijkt met die van voor de coronavirus crisis, welke situatie is dan nu het meest op uw bedrijf van toepassing?;Mijn inkomen is hoger;If you compare your situation with that before the coronavirus crisis, which situation is most applicable to your company?;my income is higher;Categorical;Mijn inkomen is hoger|Mijn inkomen is hetzelfde|Mijn inkomen is lager|Ik heb faillissement aangevraagd|Anders, namelijk…;my income is higher|my income is the same|my income is lower|I have filed for bankruptcy|other;
16.02;change_selfempl;change_selfempl;multi;EmploymentStatus;Income Situation (Self-Employed);Als u uw situatie vergelijkt met die van voor de coronavirus crisis, welke situatie is dan nu het meest op uw bedrijf van toepassing?;Mijn inkomen is hetzelfde;If you compare your situation with that before the coronavirus crisis, which situation is most applicable to your company?;my income is the same;;;;
16.03;change_selfempl;change_selfempl;multi;EmploymentStatus;Income Situation (Self-Employed);Als u uw situatie vergelijkt met die van voor de coronavirus crisis, welke situatie is dan nu het meest op uw bedrijf van toepassing?;Mijn inkomen is lager;If you compare your situation with that before the coronavirus crisis, which situation is most applicable to your company?;my income is lower;;;;
16.04;change_selfempl;change_selfempl;multi;EmploymentStatus;Income Situation (Self-Employed);Als u uw situatie vergelijkt met die van voor de coronavirus crisis, welke situatie is dan nu het meest op uw bedrijf van toepassing?;Ik heb faillissement aangevraagd;If you compare your situation with that before the coronavirus crisis, which situation is most applicable to your company?;I have filed for bankruptcy;;;;
16.05;change_selfempl;change_selfempl;multi;EmploymentStatus;Income Situation (Self-Employed);Als u uw situatie vergelijkt met die van voor de coronavirus crisis, welke situatie is dan nu het meest op uw bedrijf van toepassing?;Anders, namelijk...;If you compare your situation with that before the coronavirus crisis, which situation is most applicable to your company?;other;;;;
17.01;change_unempl;change_unempl;multi;EmploymentStatus;Income Situation (Unemployed);Als u uw situatie vergelijkt met die van voor de coronavirus crisis, welke situatie is dan nu op u van toepassing?;Ik was al werkloos voordat de crisis begon;If you compare your situation with that before the coronavirus crisis, which situation applies to you now?;I was unemployed before the crisis started;Categorical;Ik was al werkloos voordat de crisis begon|Ik ben werkloos geworden door de crisis|Ik ben werkloos geworden, niet door de crisis, maar vanwege andere redenen|Anders, namelijk…;I was unemployed before the crisis started|I have become unemployed because of the crisis|I became unemployed, not because of the crisis, but because of other reasons|other;
17.02;change_unempl;change_unempl;multi;EmploymentStatus;Income Situation (Unemployed);Als u uw situatie vergelijkt met die van voor de coronavirus crisis, welke situatie is dan un op u van toepassing?;Ik ben werkloos geworden door de crisis;If you compare your situation with that before the coronavirus crisis, which situation applies to you now?;I have become unemployed because of the crisis;;;;
17.03;change_unempl;change_unempl;multi;EmploymentStatus;Income Situation (Unemployed);Als u uw situatie vergelijkt met die van voor de coronavirus crisis, welke situatie is dan un op u van toepassing?;Ik ben werkloos geworden, niet door de crisis, maar vanwege andere redenen;If you compare your situation with that before the coronavirus crisis, which situation applies to you now?;I became unemployed, not because of the crisis, but because of other reasons;;;;
17.04;change_unempl;change_unempl;multi;EmploymentStatus;Income Situation (Unemployed);Als u uw situatie vergelijkt met die van voor de coronavirus crisis, welke situatie is dan un op u van toepassing?;Anders, namelijk…;If you compare your situation with that before the coronavirus crisis, which situation applies to you now?;Otherwise, namely...;;;;
18.01;job_before;job_before;cat;EmploymentStatus and leeftijd;Unemployed - Job Before;Hebt u ooit een baan gehad?;;Have you ever had a job?;;bool;Ja|Nee;yes|no;
19.01;beliefs1a;beliefs1;grid;EmploymentStatus;Unemployed - Beliefs Job Seach: Similar Job As Before;Stel dat u een zelfde soort baan zoekt zoals u eerder had. Hoe groot is de kans dat u zo’n baan vindt in de komende twee maanden? En in de komende zes maanden?U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.;in de komende twee maanden:;Suppose you are looking for the same kind of job as you had before. How likely are you to find such a job in the next two months? And over the next six months, you can answer these questions on a scale from 0 to 100, with 0 representing certainly not and 100 representing certainly.;in the next two months:;int;;;
19.02;beliefs1b;beliefs1;grid;EmploymentStatus;Unemployed – Beliefs Job Seach: Similar Job As Before;Stel dat u een zelfde soort baan zoekt zoals u eerder had. Hoe groot is de kans dat u zo’n baan vindt in de komende twee maanden? En in de komende zes maanden?U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.;in de komende zes maanden:;Suppose you are looking for the same kind of job as you had before. How likely are you to find such a job in the next two months? And over the next six months, you can answer these questions on a scale from 0 to 100, with 0 representing certainly not and 100 representing certainly.;in the next six months:;int;;;
20.01;beliefs2a;beliefs2;grid;EmploymentStatus;Unemployed – Beliefs Job Seach: Any Job;Stel dat u een baan zoekt (welke baan dan ook). Hoe groot is de kans dat u een baan vindt in de komende twee maanden? En in de komende zes maanden?U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.;in de komende twee maanden:;Suppose you are looking for the same kind of job as you had before. How likely are you to find such a job in the next two months? And over the next six months, you can answer these questions on a scale from 0 to 100, with 0 representing certainly not and 100 representing certainly.;in the next two months:;int;;;
20.02;beliefs2b;beliefs2;grid;EmploymentStatus;Unemployed – Beliefs Job Seach: Any Job;Stel dat u een baan zoekt (welke baan dan ook). Hoe groot is de kans dat u een baan vindt in de komende twee maanden? En in de komende zes maanden?U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.;in de komende zes maanden:;Suppose you are looking for the same kind of job as you had before. How likely are you to find such a job in the next two months? And over the next six months, you can answer these questions on a scale from 0 to 100, with 0 representing certainly not and 100 representing certainly.;in the next six months:;int;;;
21.01;beliefs3;beliefs3;cat;EmploymentStatus and job_before;Unemployed – Beliefs Job Search Compared to Other Sectors;Hoe makkelijk is het, denkt u, om een zelfde soort baan te vinden zoals u eerder had in vergelijking met het vinden van een baan in andere economische sectoren?;;How easy do you think it is to find the same kind of job you had before compared to finding a job in other economic sectors?;;Categorical;veel makkelijker dan in andere soort banen|een beetje makkelijker dan in andere soort banen|niet makkelijker en niet moeilijker dan in andere banen|een beetje moeilijker dan in andere soort banen|veel moeilijker dan in andere soort banen;much easier than in other types of jobs|a little easier than in other types of jobs|no easier and no harder than in other jobs|a little more difficult than in other types of jobs|much more difficult than in other types of jobs;
