new_name;labels;L_consumption_w7_3.0p.dta;L_consumption_w6_5p.dta;page_w7;page_w6;qid;filter;layout;group;question_english;subquestion_english;categories_english;type;;;;;
hours_cc_young_careparents_202002;;q2a_8_pre;-;3.08;-;q2a_pre_post;q2a;grid;Time Use Youngest Pre-Schooll Child;"We would like to know who takes care of the youngest child not yet attending primary school, in a normal week in the period before and after the childcare or the host parents' office was closed on 16 March. 
- Please complete your answer in whole hours. 
- Do not count the hours of sleep during the night. 
- It is customary for your answer to be between 85 and 110 hours. 

Indicate the number of hours your child is/was cared for by these persons or institutions during the period:";host parent daycare;"Hours per week before the day care centre or
 the host parent office closed down, Hours per week after the childcare centre or
 the host parents' office has been closed";int;;;;;
hours_cc_young_kg_202002;;q2a_9_pre;-;3.09;-;q2a_pre_post;q2a;grid;Time Use Youngest Pre-Schooll Child;"We would like to know who takes care of the youngest child not yet attending primary school, in a normal week in the period before and after the childcare or the host parents' office was closed on 16 March. 
- Please complete your answer in whole hours. 
- Do not count the hours of sleep during the night. 
- It is customary for your answer to be between 85 and 110 hours. 

Indicate the number of hours your child is/was cared for by these persons or institutions during the period:";Kindergarten;"Hours per week before the day care centre or
 the host parent office closed down, Hours per week after the childcare centre or
 the host parents' office has been closed";int;;;;;
hours_cc_young_friends_202002;;q2a_10_pre;-;3.1;-;q2a_pre_post;q2a;grid;Time Use Youngest Pre-Schooll Child;"We would like to know who takes care of the youngest child not yet attending primary school, in a normal week in the period before and after the childcare or the host parents' office was closed on 16 March. 
- Please complete your answer in whole hours. 
- Do not count the hours of sleep during the night. 
- It is customary for your answer to be between 85 and 110 hours. 

Indicate the number of hours your child is/was cared for by these persons or institutions during the period:";friends, neighbors, other parents;"Hours per week before the day care centre or
 the host parent office closed down, Hours per week after the childcare centre or
 the host parents' office has been closed";int;;;;;
hours_cc_young_bs_202002;;q2a_11_pre;-;3.11;-;q2a_pre_post;q2a;grid;Time Use Youngest Pre-Schooll Child;"We would like to know who takes care of the youngest child not yet attending primary school, in a normal week in the period before and after the childcare or the host parents' office was closed on 16 March. 
- Please complete your answer in whole hours. 
- Do not count the hours of sleep during the night. 
- It is customary for your answer to be between 85 and 110 hours. 

Indicate the number of hours your child is/was cared for by these persons or institutions during the period:";babysitter,babysitter or au-pair;"Hours per week before the day care centre or
 the host parent office closed down, Hours per week after the childcare centre or
 the host parents' office has been closed";int;;;;;
hours_cc_young_other_202002;;q2a_12_pre;-;3.12;-;q2a_pre_post;q2a;grid;Time Use Youngest Pre-Schooll Child;"We would like to know who takes care of the youngest child not yet attending primary school, in a normal week in the period before and after the childcare or the host parents' office was closed on 16 March. 
- Please complete your answer in whole hours. 
- Do not count the hours of sleep during the night. 
- It is customary for your answer to be between 85 and 110 hours. 

Indicate the number of hours your child is/was cared for by these persons or institutions during the period:";others;"Hours per week before the day care centre or
 the host parent office closed down, Hours per week after the childcare centre or
 the host parents' office has been closed";int;;;;;
hours_cc_young_total_202002;;q2a_totaal_pre;-;3.13;-;q2a_pre_post;q2a;grid;Time Use Youngest Pre-Schooll Child;"We would like to know who takes care of the youngest child not yet attending primary school, in a normal week in the period before and after the childcare or the host parents' office was closed on 16 March. 
- Please complete your answer in whole hours. 
- Do not count the hours of sleep during the night. 
- It is customary for your answer to be between 85 and 110 hours. 

Indicate the number of hours your child is/was cared for by these persons or institutions during the period:";Total;"Hours per week before the day care centre or
 the host parent office closed down, Hours per week after the childcare centre or
 the host parents' office has been closed";int;;;;;
hours_cc_self_202002;;q2b_1_pre_b;-;4.01;-;q2b_pre_post;q2b;grid;Time Use Youngest School-Aged Child;"We would like to know who takes care of the youngest child not yet attending primary school, in a normal week in the period before and after the childcare or the host parents' office was closed on 16 March. 
- Please complete your answer in whole hours. 
- Do not count the hours of sleep during the night. 
- It is customary for your answer to be between 85 and 110 hours. 

Indicate the number of hours your child is/was cared for by these persons or institutions during the period:";myself;Hours per week before the schools closed, Hours per week after the schools closed;int;;;;;
hours_cc_partner_202002;;q2b_2_pre_b;-;4.02;-;q2b_pre_post;q2b;grid;Time Use Youngest School-Aged Child;"We would like to know who takes care of the youngest child not yet attending primary school, in a normal week in the period before and after the childcare or the host parents' office was closed on 16 March. 
- Please complete your answer in whole hours. 
- Do not count the hours of sleep during the night. 
- It is customary for your answer to be between 85 and 110 hours. 

Indicate the number of hours your child is/was cared for by these persons or institutions during the period:";partner/spouse;Hours per week before the schools closed, Hours per week after the schools closed;int;;;;;
hours_cc_expartner_202002;;q2b_3_pre_b;-;4.03;-;q2b_pre_post;q2b;grid;Time Use Youngest School-Aged Child;"We would like to know who takes care of the youngest child not yet attending primary school, in a normal week in the period before and after the childcare or the host parents' office was closed on 16 March. 
- Please complete your answer in whole hours. 
- Do not count the hours of sleep during the night. 
- It is customary for your answer to be between 85 and 110 hours. 

Indicate the number of hours your child is/was cared for by these persons or institutions during the period:";(ex-)partner (not belonging to your household);Hours per week before the schools closed, Hours per week after the schools closed;int;;;;;
hours_cc_gp_202002;;q2b_4_pre_b;-;4.04;-;q2b_pre_post;q2b;grid;Time Use Youngest School-Aged Child;"We would like to know who takes care of the youngest child not yet attending primary school, in a normal week in the period before and after the childcare or the host parents' office was closed on 16 March. 
- Please complete your answer in whole hours. 
- Do not count the hours of sleep during the night. 
- It is customary for your answer to be between 85 and 110 hours. 

Indicate the number of hours your child is/was cared for by these persons or institutions during the period:";grandparent(s) of the child;Hours per week before the schools closed, Hours per week after the schools closed;int;;;;;
hours_cc_siblings_202002;;q2b_5_pre_b;-;4.05;-;q2b_pre_post;q2b;grid;Time Use Youngest School-Aged Child;"We would like to know who takes care of the youngest child not yet attending primary school, in a normal week in the period before and after the childcare or the host parents' office was closed on 16 March. 
- Please complete your answer in whole hours. 
- Do not count the hours of sleep during the night. 
- It is customary for your answer to be between 85 and 110 hours. 

Indicate the number of hours your child is/was cared for by these persons or institutions during the period:";older brother(s) or sister(s) of the child;Hours per week before the schools closed, Hours per week after the schools closed;int;;;;;
hours_cc_otherfam_202002;;q2b_6_pre_b;-;4.06;-;q2b_pre_post;q2b;grid;Time Use Youngest School-Aged Child;"We would like to know who takes care of the youngest child not yet attending primary school, in a normal week in the period before and after the childcare or the host parents' office was closed on 16 March. 
- Please complete your answer in whole hours. 
- Do not count the hours of sleep during the night. 
- It is customary for your answer to be between 85 and 110 hours. 

Indicate the number of hours your child is/was cared for by these persons or institutions during the period:";another relative of the child;Hours per week before the schools closed, Hours per week after the schools closed;int;;;;;
hours_cc_school_202002;;q2b_7_pre_b;-;4.07;-;q2b_pre_post;q2b;grid;Time Use Youngest School-Aged Child;"We would like to know who takes care of the youngest child not yet attending primary school, in a normal week in the period before and after the childcare or the host parents' office was closed on 16 March. 
- Please complete your answer in whole hours. 
- Do not count the hours of sleep during the night. 
- It is customary for your answer to be between 85 and 110 hours. 

Indicate the number of hours your child is/was cared for by these persons or institutions during the period:";the school;Hours per week before the schools closed, Hours per week after the schools closed;int;;;;;
hours_cc_schoolcare_202002;;q2b_8_pre_b;-;4.08;-;q2b_pre_post;q2b;grid;Time Use Youngest School-Aged Child;"We would like to know who takes care of the youngest child not yet attending primary school, in a normal week in the period before and after the childcare or the host parents' office was closed on 16 March. 
- Please complete your answer in whole hours. 
- Do not count the hours of sleep during the night. 
- It is customary for your answer to be between 85 and 110 hours. 

Indicate the number of hours your child is/was cared for by these persons or institutions during the period:";pre-school and/or after-school care;Hours per week before the schools closed, Hours per week after the schools closed;int;;;;;
hours_cc_careparents_202002;;q2b_9_pre_b;-;4.09;-;q2b_pre_post;q2b;grid;Time Use Youngest School-Aged Child;"We would like to know who takes care of the youngest child not yet attending primary school, in a normal week in the period before and after the childcare or the host parents' office was closed on 16 March. 
- Please complete your answer in whole hours. 
- Do not count the hours of sleep during the night. 
- It is customary for your answer to be between 85 and 110 hours. 

Indicate the number of hours your child is/was cared for by these persons or institutions during the period:";host parent shelter;Hours per week before the schools closed, Hours per week after the schools closed;int;;;;;
hours_cc_daycare_202002;;q2b_10_pre_b;-;4.1;-;q2b_pre_post;q2b;grid;Time Use Youngest School-Aged Child;"We would like to know who takes care of the youngest child not yet attending primary school, in a normal week in the period before and after the childcare or the host parents' office was closed on 16 March. 
- Please complete your answer in whole hours. 
- Do not count the hours of sleep during the night. 
- It is customary for your answer to be between 85 and 110 hours. 

Indicate the number of hours your child is/was cared for by these persons or institutions during the period:";nursery;Hours per week before the schools closed, Hours per week after the schools closed;int;;;;;
hours_cc_friends_202002;;q2b_11_pre_b;-;4.11;-;q2b_pre_post;q2b;grid;Time Use Youngest School-Aged Child;"We would like to know who takes care of the youngest child not yet attending primary school, in a normal week in the period before and after the childcare or the host parents' office was closed on 16 March. 
- Please complete your answer in whole hours. 
- Do not count the hours of sleep during the night. 
- It is customary for your answer to be between 85 and 110 hours. 

Indicate the number of hours your child is/was cared for by these persons or institutions during the period:";friends, neighbors, other parents;Hours per week before the schools closed, Hours per week after the schools closed;int;;;;;
hours_cc_bs_202002;;q2b_12_pre_b;-;4.12;-;q2b_pre_post;q2b;grid;Time Use Youngest School-Aged Child;"We would like to know who takes care of the youngest child not yet attending primary school, in a normal week in the period before and after the childcare or the host parents' office was closed on 16 March. 
- Please complete your answer in whole hours. 
- Do not count the hours of sleep during the night. 
- It is customary for your answer to be between 85 and 110 hours. 

Indicate the number of hours your child is/was cared for by these persons or institutions during the period:";babysitter, babysitter or au-pair;Hours per week before the schools closed, Hours per week after the schools closed;int;;;;;
hours_cc_other_202002;;q2b_13_pre_b;-;4.13;-;q2b_pre_post;q2b;grid;Time Use Youngest School-Aged Child;"We would like to know who takes care of the youngest child not yet attending primary school, in a normal week in the period before and after the childcare or the host parents' office was closed on 16 March. 
- Please complete your answer in whole hours. 
- Do not count the hours of sleep during the night. 
- It is customary for your answer to be between 85 and 110 hours. 

Indicate the number of hours your child is/was cared for by these persons or institutions during the period:";others (e.g. sports club, music lesson);Hours per week before the schools closed, Hours per week after the schools closed;int;;;;;
hours_cc_nobody_202002;;q2b_14_pre_b;-;4.14;-;q2b_pre_post;q2b;grid;Time Use Youngest School-Aged Child;"We would like to know who takes care of the youngest child not yet attending primary school, in a normal week in the period before and after the childcare or the host parents' office was closed on 16 March. 
- Please complete your answer in whole hours. 
- Do not count the hours of sleep during the night. 
- It is customary for your answer to be between 85 and 110 hours. 

Indicate the number of hours your child is/was cared for by these persons or institutions during the period:";nobody;Hours per week before the schools closed, Hours per week after the schools closed;int;;;;;
hours_cc_total_202002;;q2b_totaal_pre_b;-;4.15;-;q2b_pre_post;q2b;grid;Time Use Youngest School-Aged Child;"We would like to know who takes care of the youngest child not yet attending primary school, in a normal week in the period before and after the childcare or the host parents' office was closed on 16 March. 
- Please complete your answer in whole hours. 
- Do not count the hours of sleep during the night. 
- It is customary for your answer to be between 85 and 110 hours. 

Indicate the number of hours your child is/was cared for by these persons or institutions during the period:";total;Hours per week before the schools closed, Hours per week after the schools closed;int;;;;;
days_vacation_leisure;;vacation1;-;5.1;-;vacation1-sick;-;grid;Vacation & Sick Days past Week;ast week, how many days do you have..; holidays taken for leisure (relaxation, entertainment, etc.);Days;int;;;;;
days_vacation_cc;;vacation2;-;5.2;-;vacation1-sick;-;grid;Vacation & Sick Days past Week;ast week, how many days do you have..;holidays taken to take care of the children;Days;int;;;;;
days_vacation_help;;vacation3;-;5.3;-;vacation1-sick;-;grid;Vacation & Sick Days past Week;ast week, how many days do you have..;holidays taken for another reason (e.g. chores, helping others etc.);Days;int;;;;;
days_reported_sick;;sick;-;5.4;-;vacation1-sick;-;grid;Vacation & Sick Days past Week;ast week, how many days do you have..; reported sick;Days;int;;;;;
;;intro2;;6;-;intro2;-;open;Intro 2: Time spent in the past week/week before Kings Day;"The next question is about your time spent in the seven days prior to today/Kings Day.
On the next screen you will see a number of activities, each with a few examples. For each activity, give you the best possible estimate of the time spent, even if you do not know the exact answer.";;;;;;;;
hours_workplace;;v1q1_v1col1;-;7.01;-;v1q1;-;grid;Time Spent Past 7 Days;"- If you haven't spent any time on a certain activity, enter a 0 under 'hours'. 
- Note: you can only fill in whole hours. 
If your activity lasted 1.5 hours, enter '1' under hours and '30' under minutes. 
A week consists of 168 hours. Would you like to divide the full 168 hours between the activities. At the bottom of the table you can see how many hours and minutes there are still to be divided.
How much time have you spent on:";"paid work at the usual place of work but not at home (employed or self-employed; do you NOT count travel time to and from work, do you count overtime)";Hours, Minutes;int;;;;;
hours_home_office_no_kids;;v1q1a_v1col1;-;7.02;-;v1q1;-;grid;Time Spent Past 7 Days;"- If you haven't spent any time on a certain activity, enter a 0 under 'hours'. 
- Note: you can only fill in whole hours. 
If your activity lasted 1.5 hours, enter '1' under hours and '30' under minutes. 
A week consists of 168 hours. Would you like to divide the full 168 hours between the activities. At the bottom of the table you can see how many hours and minutes there are still to be divided.
How much time have you spent on:";"paid work at home/home office (employed or self-employed; do you count overtime)";Hours, Minutes;int;;;;;
hours_home_office_kids_care;;v1q1b_v1col1;-;7.03;-;v1q1;-;grid;Time Spent Past 7 Days;"- If you haven't spent any time on a certain activity, enter a 0 under 'hours'. 
- Note: you can only fill in whole hours. 
If your activity lasted 1.5 hours, enter '1' under hours and '30' under minutes. 
A week consists of 168 hours. Would you like to divide the full 168 hours between the activities. At the bottom of the table you can see how many hours and minutes there are still to be divided.
How much time have you spent on:";"paid work at home (employed or self-employed; do you count overtime), while at the same time I am also responsible for the care of one or more children";Hours, Minutes;int;;;;;
hours_home_office_no_kids_merge;;v1q1c_v1col1;-;7.04;-;v1q1;-;grid;Time Spent Past 7 Days;"- If you haven't spent any time on a certain activity, enter a 0 under 'hours'. 
- Note: you can only fill in whole hours. 
If your activity lasted 1.5 hours, enter '1' under hours and '30' under minutes. 
A week consists of 168 hours. Would you like to divide the full 168 hours between the activities. At the bottom of the table you can see how many hours and minutes there are still to be divided.
How much time have you spent on:";"paid work at home (employed or self-employed; do you count overtime), while I am not also responsible for the care of one or more children";Hours, Minutes;int;;;;;
hours_commute;How much time did you spend in the last seven days on: time traveling to and fro;v1q2_v1col1;v1q2_v1col1;7.05;5.03;v1q1;-;grid;Time Spent Past 7 Days;"The first question is about your time in the seven days prior to today.  On the next screen you will see a number of activities, each with a few examples. For each activity, give you the best possible estimate of the time spent, even if you do not know the exact answer.  A week consists of 168 hours. Would you like to divide the full 168 hours between the activities. At the bottom of the table you can see how many hours and minutes there are still to be divided.

How much time have you spent in the last seven days:";commuting;Hours, Minutes;int;;;;;
hours_homeschooling;;v1q5a_v1col1;-;7.06;-;v1q1;-;grid;Time Spent Past 7 Days;"- If you haven't spent any time on a certain activity, enter a 0 under 'hours'. 
- Note: you can only fill in whole hours. 
If your activity lasted 1.5 hours, enter '1' under hours and '30' under minutes. 
A week consists of 168 hours. Would you like to divide the full 168 hours between the activities. At the bottom of the table you can see how many hours and minutes there are still to be divided.
How much time have you spent on:";home schooling with children in your household;Hours, Minutes;int;;;;;
hours_childcare;How much time did you spend in the last seven days on: activities with own child;v1q5_v1col1;v1q5_v1col1;7.07;5.07;v1q1;-;grid;Time Spent Past 7 Days;"The first question is about your time in the seven days prior to today.  On the next screen you will see a number of activities, each with a few examples. For each activity, give you the best possible estimate of the time spent, even if you do not know the exact answer.  A week consists of 168 hours. Would you like to divide the full 168 hours between the activities. At the bottom of the table you can see how many hours and minutes there are still to be divided.

How much time have you spent in the last seven days:";other activities with children in your household (such as washing, dressing and undressing, playing, reading aloud, going to the doctor with the child, babysitting, etc.);Hours, Minutes;int;;;;;
hours_help_parents;How much time did you spend in the last seven days on: helping parents: hours;v1q6_v1col1;v1q6_v1col1;7.08;5.09;v1q1;-;grid;Time Spent Past 7 Days;"The first question is about your time in the seven days prior to today.  On the next screen you will see a number of activities, each with a few examples. For each activity, give you the best possible estimate of the time spent, even if you do not know the exact answer.  A week consists of 168 hours. Would you like to divide the full 168 hours between the activities. At the bottom of the table you can see how many hours and minutes there are still to be divided.

How much time have you spent in the last seven days:";assistance to others (parents or in-laws, other family members or non-family members) (such as shopping, support with administrative tasks, washing, dressing, going to the doctor, babysitting or activities with grandchildren or babysitting, volunteering, association work, etc.).;Hours, Minutes;int;;;;;
hours_chores;How much time did you spend in the last seven days on: household chores: hours;v1q3_v1col1;v1q3_v1col1;7.09;5.05;v1q1;-;grid;Time Spent Past 7 Days;"The first question is about your time in the seven days prior to today.  On the next screen you will see a number of activities, each with a few examples. For each activity, give you the best possible estimate of the time spent, even if you do not know the exact answer.  A week consists of 168 hours. Would you like to divide the full 168 hours between the activities. At the bottom of the table you can see how many hours and minutes there are still to be divided.

How much time have you spent in the last seven days:";"housework (such as cleaning, doing the laundry, shopping, cooking, gardening, chores, car washing, etc.; but NOT personal care and care of e.g. children or parents)";Hours, Minutes;int;;;;;
hours_resting;How much time did you spend in the last seven days on: sleeping and resting: hou;v1q9_v1col1;v1q9_v1col1;7.1;5.17;v1q1;-;grid;Time Spent Past 7 Days;"The first question is about your time in the seven days prior to today.  On the next screen you will see a number of activities, each with a few examples. For each activity, give you the best possible estimate of the time spent, even if you do not know the exact answer.  A week consists of 168 hours. Would you like to divide the full 168 hours between the activities. At the bottom of the table you can see how many hours and minutes there are still to be divided.

How much time have you spent in the last seven days:";sleep and rest (sleeping, lazing, thinking, meditating, being sick, etc.).;Hours, Minutes;int;;;;;
hours_schooling;How much time did you spend in the last seven days on: (further) schooling: hour;v1q10_v1col1;v1q10_v1col1;7.11;5.15;v1q1;-;grid;Time Spent Past 7 Days;"The first question is about your time in the seven days prior to today.  On the next screen you will see a number of activities, each with a few examples. For each activity, give you the best possible estimate of the time spent, even if you do not know the exact answer.  A week consists of 168 hours. Would you like to divide the full 168 hours between the activities. At the bottom of the table you can see how many hours and minutes there are still to be divided.

How much time have you spent in the last seven days:";your own (additional) training (online) (day- or evening classes, vocational training, language course or other course, doing homework, etc.).;Hours, Minutes;int;;;;;
hours_leisure_alone;;v1q15_v1col1;-;7.13;-;v1q1;-;grid;Time Spent Past 7 Days;"- If you haven't spent any time on a certain activity, enter a 0 under 'hours'. 
- Note: you can only fill in whole hours. 
If your activity lasted 1.5 hours, enter '1' under hours and '30' under minutes. 
A week consists of 168 hours. Would you like to divide the full 168 hours between the activities. At the bottom of the table you can see how many hours and minutes there are still to be divided.
How much time have you spent on:";"leisure activities only (such as watching TV, reading, sports activities, hobbies, walking the dog, online browsing or watching online videos, walking, cycling, etc.)
";Hours, Minutes;int;;;;;
hours_leisure_friends;;v1q16_v1col1;-;7.14;-;v1q1;-;grid;Time Spent Past 7 Days;"- If you haven't spent any time on a certain activity, enter a 0 under 'hours'. 
- Note: you can only fill in whole hours. 
If your activity lasted 1.5 hours, enter '1' under hours and '30' under minutes. 
A week consists of 168 hours. Would you like to divide the full 168 hours between the activities. At the bottom of the table you can see how many hours and minutes there are still to be divided.
How much time have you spent on:";leisure activities online with others (such as chatting and meeting other people online, communicating with family or friends via Skype/Facetime/WhatsApp, etc.).;Hours, Minutes;int;;;;;
hours_leisure;How much time did you spend in the last seven days on: leisure time activities:;v1q12_v1col1;v1q12_v1col1;7.15;5.13;v1q1;-;grid;Time Spent Past 7 Days;"The first question is about your time in the seven days prior to today.  On the next screen you will see a number of activities, each with a few examples. For each activity, give you the best possible estimate of the time spent, even if you do not know the exact answer.  A week consists of 168 hours. Would you like to divide the full 168 hours between the activities. At the bottom of the table you can see how many hours and minutes there are still to be divided.

How much time have you spent in the last seven days:";leisure activities only (such as watching TV, reading, sports activities, hobbies, walking the dog, online browsing or watching online videos, walking, cycling, etc.);Hours, Minutes;int;;;;;
hours_other_activity;How much time did you spend in the last seven days on: other activities not name;v1q13_v1col1;v1q13_v1col1;7.16;5.19;v1q1;-;grid;Time Spent Past 7 Days;"The first question is about your time in the seven days prior to today.  On the next screen you will see a number of activities, each with a few examples. For each activity, give you the best possible estimate of the time spent, even if you do not know the exact answer.  A week consists of 168 hours. Would you like to divide the full 168 hours between the activities. At the bottom of the table you can see how many hours and minutes there are still to be divided.

How much time have you spent in the last seven days:";other activities not mentioned above;Hours, Minutes;int;;;;;
hours_remaining;;v1q_over_v1col1;-;7.17;-;v1q1;-;grid;Time Spent Past 7 Days;"- If you haven't spent any time on a certain activity, enter a 0 under 'hours'. 
- Note: you can only fill in whole hours. 
If your activity lasted 1.5 hours, enter '1' under hours and '30' under minutes. 
A week consists of 168 hours. Would you like to divide the full 168 hours between the activities. At the bottom of the table you can see how many hours and minutes there are still to be divided.
How much time have you spent on:";yet to be distributed: (was filled in automatically);Hours, Minutes;int;;;;;
cohabiting_partner;Do you currently have a steady partner with whom you also live together? (Partne;vpartner;vpartner;9;6;vpartner;-;cat;Partner in Household;Do you currently have a permanent partner with whom you live?;;Yes, No I do not live with my partner, No I do not have a steady partner;Categorical;;;;;
;;;intro3;10;-;intro3;Households bigger than 1;open;Intro 3: Household Expenses;"The following questions are about your household's expenses. Then you will be asked questions about your personal expenses.

Most people don't know the expenses exactly. If that's the case with you, would you still try to give the best possible estimate?";;;;;;;;
expendit_mortgage;How many euros does your household spend on average each month on: mortgage: int;v2ct1_v2ccol1;v2ct1_v2ccol1;11.01;7.01;v2ct;Single Households;grid;Household Expenditures;"For each type of expenditure, can you fill in how many euros your household spends on average per month?

- If your household has no expenditure in a certain category, please fill in a 0.
- Give you the best possible estimate, even if you do not know the exact answer.
- You can only enter amounts in whole euros here.

How many euros does your household spend on average per month?";mortgage: interest plus redemption (this is the gross amount, i.e. before tax deduction);Euros;float;;;;;
expendit_rent;How many euros does your household spend on average each month on: rent;v2ct2_v2ccol1;v2ct2_v2ccol1;11.02;7.02;v2ct;Single Households;grid;Household Expenditures;"For each type of expenditure, can you fill in how many euros your household spends on average per month?

- If your household has no expenditure in a certain category, please fill in a 0.
- Give you the best possible estimate, even if you do not know the exact answer.
- You can only enter amounts in whole euros here.

How many euros does your household spend on average per month?";"rent: (only for the dwelling, not for business premises, etc.; NOT spending on gas and electricity, etc.)";Euros;float;;;;;
expendit_utilities;How many euros does your household spend on average each month on: general utili;v2ct3_v2ccol1;v2ct3_v2ccol1;11.03;7.03;v2ct;Single Households;grid;Household Expenditures;"For each type of expenditure, can you fill in how many euros your household spends on average per month?

- If your household has no expenditure in a certain category, please fill in a 0.
- Give you the best possible estimate, even if you do not know the exact answer.
- You can only enter amounts in whole euros here.

How many euros does your household spend on average per month?";utilities: (heating, electricity, water, telephone, internet, etc., but NO insurance);Euros;float;;;;;
expendit_transport;How many euros does your household spend on average each month on: transport and;v2ct4_v2ccol1;v2ct4_v2ccol1;11.04;7.04;v2ct;Single Households;grid;Household Expenditures;"For each type of expenditure, can you fill in how many euros your household spends on average per month?

- If your household has no expenditure in a certain category, please fill in a 0.
- Give you the best possible estimate, even if you do not know the exact answer.
- You can only enter amounts in whole euros here.

How many euros does your household spend on average per month?";"transport and vehicles: (public transport; own car: petrol/diesel and maintenance, but NOT insurance or the purchase of e.g. a car or (motor) bicycle";Euros;float;;;;;
