,new_name,qid,id,filter,group_english,type
31,approp_gov_restrict_public_life,q33,q33b,-,Appropriateness of Policy Response,Categorical
30,approp_gov_medical,q33,q33a,-,Appropriateness of Policy Response,Categorical
33,approp_gov_communication,q33,q33d,-,Appropriateness of Policy Response,Categorical
32,approp_gov_econ_mitigation,q33,q33c,-,Appropriateness of Policy Response,Categorical
154,duration_econ_crisis,v1,,-,Duration of the Economic Crisis,Categorical
160,p_struggle_debts,v2,v2f,-,Probabilities of Economic Repercussions,Categorical
158,p_drop_in_assets,v2,v2d,-,Probabilities of Economic Repercussions,Categorical
155,p_job_loss_empl,v2,v2a,-,Probabilities of Economic Repercussions,Categorical
156,p_job_loss_selfempl,v2,v2b,-,Probabilities of Economic Repercussions,Categorical
159,p_bank_bancrupt,v2,v2e,-,Probabilities of Economic Repercussions,Categorical
157,p_shorten_pension,v2,v2c,-,Probabilities of Economic Repercussions,Categorical
161,exp_house_prices_direction,v3,,-,House Prices,Categorical
162,exp_house_prices_percent,v4,,v3,House Prices,Categorical
163,exp_spend_less,v5,v5a,-,Consumption Plans Next 12 Months,Categorical
164,exp_work_more,v5,v5b,-,Consumption Plans Next 12 Months,Categorical
165,exp_work_less,v5,v5c,-,Consumption Plans Next 12 Months,Categorical
166,exp_borrow,v5,v5d,-,Consumption Plans Next 12 Months,Categorical
167,exp_postpone_house,v5,v5e,-,Consumption Plans Next 12 Months,Categorical
170,save_banks,v6,v6e,-,Skip,Categorical
169,gov_action_insuff,v6,v6b,-,Skip,Categorical
168,gov_action_approp,v6,v6a,-,Skip,Categorical
171,help_pension_funds,v6,v6f,-,Skip,Categorical
182,questionnaire_interesting,eva2,eva2t4,-,questionnaire,float
179,questionnaire_difficult,eva2,eva2t1,-,questionnaire,float
180,questionnaire_clear,eva2,eva2t2,-,questionnaire,float
181,questionnaire_thinking,eva2,eva2t3,-,questionnaire,float
183,questionnaire_enjoy,eva2,eva2t5,-,questionnaire,float
