Variable,Links Wave 2,Type,Topic,Reference Period Other Than Survey Period,Question Id,Routing
strong_beer_glasses,:ref:`🔗 <w2e-he040b>`,float,Drugs, ,he040b_v1,if he040__2=1
strong_beer_hliter_glasses,:ref:`🔗 <w2e-he040b>`,float,Drugs, ,he040b_v2,if he040__2=1
strong_beer_hliter_bottles,:ref:`🔗 <w2e-he040b>`,float,Drugs, ,he040b_v3,if he040__2=1
strong_beer_bottles,:ref:`🔗 <w2e-he040b>`,float,Drugs, ,he040b_v4,if he040__2=1
liquor_sort,:ref:`🔗 <w2e-he040c>`,float,Drugs, ,he040c_v1,if he040__3=1|| if he040__4=1|| if he040__5=1 
sherry_sort,:ref:`🔗 <w2e-he040c>`,float,Drugs, ,he040c_v2,if he040__3=1|| if he040__4=1|| if he040__5=1 
wine_sort,:ref:`🔗 <w2e-he040c>`,float,Drugs, ,he040c_v3,if he040__3=1|| if he040__4=1|| if he040__5=1 
alcopops_bottles,:ref:`🔗 <w2e-he040d>`,float,Drugs, ,he040d,if he040__6=1 
other_sort1_amount,:ref:`🔗 <w2e-he040e>`,float,Drugs, ,he040e,if he040and1 is response
other_sort2_amount,:ref:`🔗 <w2e-he040f>`,float,Drugs, ,he040f,if he040and2 is response 
took_soothing,:ref:`🔗 <w2e-he041>`,Categorical,Drugs, ,he041v1, 
took_soft_drugs,:ref:`🔗 <w2e-he041>`,Categorical,Drugs, ,he041v2, 
took_xtc,:ref:`🔗 <w2e-he041>`,Categorical,Drugs, ,he041v3, 
took_psychodelic,:ref:`🔗 <w2e-he041>`,Categorical,Drugs, ,he041v4, 
took_hard_drugs,:ref:`🔗 <w2e-he041>`,Categorical,Drugs, ,he041v5, 
freq_soothing,:ref:`🔗 <w2e-he042>`,float,Drugs, ,he042_v1,if (he041v1 > 1 || he041v2 > 1 || he041v3 > 1 || he041v4 > 1 || he041v5 > 1) 
freq_soft_drugs,:ref:`🔗 <w2e-he042>`,float,Drugs, ,he042_v2,if (he041v1 > 1 || he041v2 > 1 || he041v3 > 1 || he041v4 > 1 || he041v5 > 1) 
freq_xtc,:ref:`🔗 <w2e-he042>`,float,Drugs, ,he042_v3,if (he041v1 > 1 || he041v2 > 1 || he041v3 > 1 || he041v4 > 1 || he041v5 > 1) 
freq_psychodelic,:ref:`🔗 <w2e-he042>`,float,Drugs, ,he042_v4,if (he041v1 > 1 || he041v2 > 1 || he041v3 > 1 || he041v4 > 1 || he041v5 > 1) 
freq_hard_drugs,:ref:`🔗 <w2e-he042>`,float,Drugs, ,he042_v5,if (he041v1 > 1 || he041v2 > 1 || he041v3 > 1 || he041v4 > 1 || he041v5 > 1) 
feeling_emptiness,:ref:`🔗 <w2e-loneliness>`,Categorical,Mental Health, ,cs12e284, 
enough_people_approach,:ref:`🔗 <w2e-loneliness>`,Categorical,Behavior, ,cs12e285, 
enough_people_trust,:ref:`🔗 <w2e-loneliness>`,Categorical,Behavior, ,cs12e286, 
enough_people_bond,:ref:`🔗 <w2e-loneliness>`,Categorical,Behavior, ,cs12e287, 
miss_people_around,:ref:`🔗 <w2e-loneliness>`,Categorical,Behavior, ,cs12e288, 
feel_let_down_often,:ref:`🔗 <w2e-loneliness>`,Categorical,Behavior, ,cs12e289, 
n_contacts_personal,:ref:`🔗 <w2e-soccont>`,float,Behavior, ,soccont1, 
n_contacts_distanced,:ref:`🔗 <w2e-soccont>`,float,Behavior, ,soccont2, 
change_contacts_personal,:ref:`🔗 <w2e-soccompt>`,Categorical,Behavior, ,soccomp1, 
change_contacts_distanced,:ref:`🔗 <w2e-soccompt>`,Categorical,Behavior, ,soccomp2, 
essential_worker,:ref:`🔗 <w2e-cruciaal>`,bool,Background, ,cruciaal,if (q13 = 1 || q13 = 2 || p_q13 = 1 || p_q13 = 2) 
hh_income_202001,:ref:`🔗 <w2e-income>`,float,Finances,202001,inc_jan, 
hh_income_202002,:ref:`🔗 <w2e-income>`,float,Finances,202002,inc_feb, 
hh_income_202003,:ref:`🔗 <w2e-income>`,float,Finances,202003,inc_mrt, 
e_2020_hh_income_202002,:ref:`🔗 <w2e-expectedincome>`,float,Finances,202002,expinc2020_col1, 
e_2021_hh_income_202002,:ref:`🔗 <w2e-expectedincome>`,float,Finances,202002,expinc2021_col1, 
e_2022_hh_income_202002,:ref:`🔗 <w2e-expectedincome>`,float,Finances,202002,expinc2022_col1, 
e_2020_hh_income,:ref:`🔗 <w2e-expectedincome>`,float,Finances, ,expinc2020_col2, 
e_2021_hh_income,:ref:`🔗 <w2e-expectedincome>`,float,Finances, ,expinc2021_col2, 
e_2022_hh_income,:ref:`🔗 <w2e-expectedincome>`,float,Finances, ,expinc2022_col2, 
e_2020_unemp_rate_202002,:ref:`🔗 <w2e-ExpUnempl_before>`,Categorical,Macro Expectations,202002,ExpUnempl_before2020, 
e_2021_unemp_rate_202002,:ref:`🔗 <w2e-ExpUnempl_before>`,Categorical,Macro Expectations,202002,ExpUnempl_before2021, 
e_2022_unemp_rate_202002,:ref:`🔗 <w2e-ExpUnempl_before>`,Categorical,Macro Expectations,202002,ExpUnempl_before2022, 
e_2020_unemp_rate,:ref:`🔗 <w2e-ExpUnempl_today>`,Categorical,Macro Expectations, ,ExpUnempl_today2020, 
e_2021_unemp_rate,:ref:`🔗 <w2e-ExpUnempl_today>`,Categorical,Macro Expectations, ,ExpUnempl_today2021, 
e_2022_unemp_rate,:ref:`🔗 <w2e-ExpUnempl_today>`,Categorical,Macro Expectations, ,ExpUnempl_today2022, 
e_2020_gdp_202002,:ref:`🔗 <w2e-ExpEcGrowth_before>`,Categorical,Macro Expectations,202002,ExpEcGr_before2020, 
e_2021_gdp_202002,:ref:`🔗 <w2e-ExpEcGrowth_before>`,Categorical,Macro Expectations,202002,ExpEcGr_before2021, 
e_2022_gdp_202002,:ref:`🔗 <w2e-ExpEcGrowth_before>`,Categorical,Macro Expectations,202002,ExpEcGr_before2022, 
e_2020_gdp,:ref:`🔗 <w2e-ExpEcGrowth_today>`,Categorical,Macro Expectations, ,ExpEcGr_today2020, 
e_2021_gdp,:ref:`🔗 <w2e-ExpEcGrowth_today>`,Categorical,Macro Expectations, ,ExpEcGr_today2021, 
e_2022_gdp,:ref:`🔗 <w2e-ExpEcGrowth_today>`,Categorical,Macro Expectations, ,ExpEcGr_today2022, 
e_2020_infl_202002,:ref:`🔗 <w2e-ExpInfl_before>`,Categorical,Macro Expectations,202002,ExpInfl_before2020, 
e_2021_infl_202002,:ref:`🔗 <w2e-ExpInfl_before>`,Categorical,Macro Expectations,202002,ExpInfl_before2021, 
e_2022_infl_202002,:ref:`🔗 <w2e-ExpInfl_before>`,Categorical,Macro Expectations,202002,ExpInfl_before2022, 
e_2020_infl,:ref:`🔗 <w2e-ExpInfl_today>`,Categorical,Macro Expectations, ,ExpInfl_today2020, 
e_2021_infl,:ref:`🔗 <w2e-ExpInfl_today>`,Categorical,Macro Expectations, ,ExpInfl_today2021, 
e_2022_infl,:ref:`🔗 <w2e-ExpInfl_today>`,Categorical,Macro Expectations, ,ExpInfl_today2022, 
bought_or_sold_stocks,:ref:`🔗 <w2e-StockTrading>`,Categorical,Macro Expectations, ,StockTrading, 
amount_stocks_bought,:ref:`🔗 <w2e-Stock3>`,Categorical,Macro Expectations, ,Stock3,if (StockTrading = 3)
amount_stocks_sold,:ref:`🔗 <w2e-Stock4>`,Categorical,Macro Expectations, ,Stock4,if (StockTrading = 4)
amount_stocks_bought_merge,:ref:`🔗 <w2e-Stock5>`,Categorical,Macro Expectations, ,Stock5,if (StockTrading = 5)
amount_stocks_sold_merge,:ref:`🔗 <w2e-Stock6>`,Categorical,Macro Expectations, ,Stock6,if (StockTrading = 5)
