new_name;page;qid;id;layout;filter;group;question_dutch;subquestion_dutch;categories_dutch;question_english;subquestion_english;categories_english;ordered;type;nice_name_english
;11;he036d;;open;he035;E-Cigarette Consumption;Hoeveel milliliter vloeistof u gemiddeld per dag bij gebruik van de e-sigaret?;;;How many milliliters of liquid do you use per day when using the e-cigarette?;;;;int;
;12;he038;;cat;-;Alcohol Consumption;Hebt u in de afgelopen zeven dagen (zonder vandaag) een drank met alcohol gedronken?;;Ja, Nee;Have you had a drink with alcohol in the past seven days (without today)?;;Yes, No ;1;Categorical;
;13;he039;;cat;he038;Days Alcohol Consumption;Op hoeveel dagen van de afgelopen zeven dagen hebt u een alcoholische drank gedronken?;;1,2,3,4,5,6,7;On how many of the past seven days did you have a drink containing alcohol?;;1,2,3,4,5,6,7;1;Categorical;
;14.1;he040;;multi;he038;Alcohol Type;Denkt u nu aan die dag in de afgelopen week waarop u de meeste dranken met alcohol hebt gedronken. (Als u op meerdere dagen precies evenveel hebt gedronken, antwoordt u dan over de dag die het kortst geleden is.) Wilt u hieronder aangeven welke soort alcoholische dranken u op die dag hebt gedronken? Niet-alcoholische of alcohol-arme dranken hier niet vermelden.;"bier van normale sterkte met minder dan 6% alcohol, zoals pils, wit bier, donker bier
(geen malt bier, Radler)";;Please think of the one day during the last week on which you drank the most amount of drinks containing alcohol. (If there are more days than one on which you drank exactly the same amount, answer the question with reference to the most recent day). Please indicate below what kind of alcoholic drink you drank that day. Do not mention any nonalcoholic or reduced alcoholic drinks).;"beer of regular strength with less than 6% alcohol, such as pilsner, white
beer, dark beer (no malt beer, Radler)";;;bool;
;14.2;he040;;multi;he038;Alcohol Type;Denkt u nu aan die dag in de afgelopen week waarop u de meeste dranken met alcohol hebt gedronken. (Als u op meerdere dagen precies evenveel hebt gedronken, antwoordt u dan over de dag die het kortst geleden is.) Wilt u hieronder aangeven welke soort alcoholische dranken u op die dag hebt gedronken? Niet-alcoholische of alcohol-arme dranken hier niet vermelden.;sterk bier met 6% alcohol of meer, zoals speciale bieren;;Please think of the one day during the last week on which you drank the most amount of drinks containing alcohol. (If there are more days than one on which you drank exactly the same amount, answer the question with reference to the most recent day). Please indicate below what kind of alcoholic drink you drank that day. Do not mention any nonalcoholic or reduced alcoholic drinks).;strong beer with 6% alcohol or more, such as special beers;;;bool;
;14.3;he040;;multi;he038;Alcohol Type;Denkt u nu aan die dag in de afgelopen week waarop u de meeste dranken met alcohol hebt gedronken. (Als u op meerdere dagen precies evenveel hebt gedronken, antwoordt u dan over de dag die het kortst geleden is.) Wilt u hieronder aangeven welke soort alcoholische dranken u op die dag hebt gedronken? Niet-alcoholische of alcohol-arme dranken hier niet vermelden.;sterke drank of likeur, zoals gin, whisky, rum, brandy, wodka of cocktails;;Please think of the one day during the last week on which you drank the most amount of drinks containing alcohol. (If there are more days than one on which you drank exactly the same amount, answer the question with reference to the most recent day). Please indicate below what kind of alcoholic drink you drank that day. Do not mention any nonalcoholic or reduced alcoholic drinks).;strong spirits or liquors, such as gin, whisky, rum, brandy, vodka or cocktails;;;bool;
;14.4;he040;;multi;he038;Alcohol Type;Denkt u nu aan die dag in de afgelopen week waarop u de meeste dranken met alcohol hebt gedronken. (Als u op meerdere dagen precies evenveel hebt gedronken, antwoordt u dan over de dag die het kortst geleden is.) Wilt u hieronder aangeven welke soort alcoholische dranken u op die dag hebt gedronken? Niet-alcoholische of alcohol-arme dranken hier niet vermelden.;sherry of martini (inclusief port, vermouth, cinzano, dubonet);;Please think of the one day during the last week on which you drank the most amount of drinks containing alcohol. (If there are more days than one on which you drank exactly the same amount, answer the question with reference to the most recent day). Please indicate below what kind of alcoholic drink you drank that day. Do not mention any nonalcoholic or reduced alcoholic drinks).;sherry or martini (including port, vermouth, Cinzano, Dubonnet);;;bool;
;14.5;he040;;multi;he038;Alcohol Type;Denkt u nu aan die dag in de afgelopen week waarop u de meeste dranken met alcohol hebt gedronken. (Als u op meerdere dagen precies evenveel hebt gedronken, antwoordt u dan over de dag die het kortst geleden is.) Wilt u hieronder aangeven welke soort alcoholische dranken u op die dag hebt gedronken? Niet-alcoholische of alcohol-arme dranken hier niet vermelden.;wijn (inclusief champagne);;Please think of the one day during the last week on which you drank the most amount of drinks containing alcohol. (If there are more days than one on which you drank exactly the same amount, answer the question with reference to the most recent day). Please indicate below what kind of alcoholic drink you drank that day. Do not mention any nonalcoholic or reduced alcoholic drinks).;wine (including champagne);;;bool;
;14.6;he040;;multi;he038;Alcohol Type;Denkt u nu aan die dag in de afgelopen week waarop u de meeste dranken met alcohol hebt gedronken. (Als u op meerdere dagen precies evenveel hebt gedronken, antwoordt u dan over de dag die het kortst geleden is.) Wilt u hieronder aangeven welke soort alcoholische dranken u op die dag hebt gedronken? Niet-alcoholische of alcohol-arme dranken hier niet vermelden.;premixen, alcoholpops, blasters en shooters, zoals Bacardi Breezer, Smirnoff Ice;;Please think of the one day during the last week on which you drank the most amount of drinks containing alcohol. (If there are more days than one on which you drank exactly the same amount, answer the question with reference to the most recent day). Please indicate below what kind of alcoholic drink you drank that day. Do not mention any nonalcoholic or reduced alcoholic drinks).;"premixes, alcohol pops, blasters and shooters, such as Bacardi Breezer,
Smirnoff Ice";;;bool;
;14.7;he040;;multi;he038;Alcohol Type;Denkt u nu aan die dag in de afgelopen week waarop u de meeste dranken met alcohol hebt gedronken. (Als u op meerdere dagen precies evenveel hebt gedronken, antwoordt u dan over de dag die het kortst geleden is.) Wilt u hieronder aangeven welke soort alcoholische dranken u op die dag hebt gedronken? Niet-alcoholische of alcohol-arme dranken hier niet vermelden.;andere soorten dranken met alcohol;;Please think of the one day during the last week on which you drank the most amount of drinks containing alcohol. (If there are more days than one on which you drank exactly the same amount, answer the question with reference to the most recent day). Please indicate below what kind of alcoholic drink you drank that day. Do not mention any nonalcoholic or reduced alcoholic drinks).;other types of drinks containing alcohol;;;bool;
;15;he040and;he040and_v1_f1;grid;he040;Alcohol Type;Welke andere soorten dranken met alcohol bedoelt u? U kunt er maximaal twee noemen.;ander soort alcoholische drank;;What other types of drinks containing alcohol do you mean? You can list a maximum of Two.;other type of alcoholic drink;;;string;
;15;he040and;he040and_v2_f1;grid;he040;Alcohol Type;Welke andere soorten dranken met alcohol bedoelt u? U kunt er maximaal twee noemen.;ander soort alcoholische drank;;What other types of drinks containing alcohol do you mean? You can list a maximum of Two.;other type of alcoholic drink;;;string;
;16;he040a;he040a_v1_f1;grid;he040;Beer Consumption;"Geeft u aan hoeveel bier (van normale sterkte, pils, wit bier, donker bier, met minder dan
6% alcohol) u op die dag hebt gedronken.";Aantal glazen (reken grote glazen voor 2);;"Can you indicate below how much beer (of normal strength, pilsner, white beer, dark
beer, containing less than 6% alcohol) you drank that day?";number of glasses (count large glasses as 2);;;int;
;16;he040a;he040a_v2_f1;grid;he040;Beer Consumption;"Geeft u aan hoeveel bier (van normale sterkte, pils, wit bier, donker bier, met minder dan
6% alcohol) u op die dag hebt gedronken.";Aantal glazen van een halve liter (pints);;"Can you indicate below how much beer (of normal strength, pilsner, white beer, dark
beer, containing less than 6% alcohol) you drank that day?";number of half liter glasses (pints);;;int;
;16;he040a;he040a_v3_f1;grid;he040;Beer Consumption;"Geeft u aan hoeveel bier (van normale sterkte, pils, wit bier, donker bier, met minder dan
6% alcohol) u op die dag hebt gedronken.";Aantal halve liter blikken of flesjes;;"Can you indicate below how much beer (of normal strength, pilsner, white beer, dark
beer, containing less than 6% alcohol) you drank that day?";number of half liter cans or bottles;;;int;
;16;he040a;he040a_v4_f1;grid;he040;Beer Consumption;"Geeft u aan hoeveel bier (van normale sterkte, pils, wit bier, donker bier, met minder dan
6% alcohol) u op die dag hebt gedronken.";Aantal kleine blikjes of flesjes;;"Can you indicate below how much beer (of normal strength, pilsner, white beer, dark
beer, containing less than 6% alcohol) you drank that day?";number of small cans or bottles;;;int;
;17;he040b;he040b_v1_f1;grid;he040;Strong Beer Consumption;Geeft u aan hoeveel sterk bier (speciale bieren met 6% alcohol of meer), u op die dag hebt gedronken.;Aantal glazen (reken grote glazen voor 2);;"Can you indicate below how much strong beer (special beers with 6% alcohol or more),
you drank that day";number of glasses (count large glasses as 2);;;int;
;17;he040b;he040b_v2_f1;grid;he040;Strong Beer Consumption;Geeft u aan hoeveel sterk bier (speciale bieren met 6% alcohol of meer), u op die dag hebt gedronken.;Aantal glazen van een halve liter (pints);;"Can you indicate below how much strong beer (special beers with 6% alcohol or more),
you drank that day";number of half liter glasses (pints);;;int;
;17;he040b;he040b_v3_f1;grid;he040;Strong Beer Consumption;Geeft u aan hoeveel sterk bier (speciale bieren met 6% alcohol of meer), u op die dag hebt gedronken.;Aantal halve liter blikken of flesjes;;"Can you indicate below how much strong beer (special beers with 6% alcohol or more),
you drank that day";number of half liter cans or bottles;;;int;
;17;he040b;he040b_v4_f1;grid;he040;Strong Beer Consumption;Geeft u aan hoeveel sterk bier (speciale bieren met 6% alcohol of meer), u op die dag hebt gedronken.;Aantal kleine blikjes of flesjes;;"Can you indicate below how much strong beer (special beers with 6% alcohol or more),
you drank that day";number of small cans or bottles;;;int;
;18;he040c;he040c_v1_f1;grid;he040;Strong Alcohol Consumption;Geeft u aan hoeveel van deze alcoholische drank u op die dag hebt gedronken. (Reken grote glazen voor 2.);sterke drank of likeur, zoals gin, whisky, rum, brandy, wodka of cocktails;;Can you indicate below how many of these alcoholic beverages you drank that day? ;strong spirits or liquor, such as gin, whisky, rum, brandy, vodka or cocktails;;;int;
;18;he040c;he040c_v2_f1;grid;he040;Strong Alcohol Consumption;Geeft u aan hoeveel van deze alcoholische drank u op die dag hebt gedronken. (Reken grote glazen voor 2.);sherry of martini (inclusief port, vermouth, cinzano, dubonet);;Can you indicate below how many of these alcoholic beverages you drank that day? ;sherry or martini (including port, vermouth, Cinzano, Dubonnet);;;int;
;18;he040c;he040c_v3_f1;grid;he040;Strong Alcohol Consumption;Geeft u aan hoeveel van deze alcoholische drank u op die dag hebt gedronken. (Reken grote glazen voor 2.);wijn (inclusief champagne);;Can you indicate below how many of these alcoholic beverages you drank that day? ;wine (including champagne);;;int;
;19;he040d;;open;he040;Mixed Alcohol Consumption;"Geeft u aan hoeveel kleine blikjes of flesjes aan premixen, alcoholpops, blasters en
shooters (zoals Bacardi Breezer, Smirnoff Ice) u op die dag hebt gedronken.";;;"Can you indicate below how many small cans or bottles of premixes, alcohol pops,
blasters and shooters (such as Bacardi Breezer, Smirnoff Ice) you drank that day";;;;int;
;20;he040e;;open;he040;Other Alcohol 1 Consumption;"Geeft u aan hoeveel hoeveel glazen deze alcoholische drank u op die dag hebt gedronken.
(Reken grote glazen voor 2.)";;;Can you indicate below how many glasses of that drink you drank that day? (Count large glasses as 2);;;;int;
;21;he040f;;open;he040;Other Alcohol 2 Consumption;"Geeft u aan hoeveel van deze alcoholische drank u op die dag hebt gedronken.
(Reken grote glazen voor 2.)";;;Can you indicate below how many glasses of that drink you drank that day? (Count large glasses as 2);;;;int;
;22.1;he041;he041v1;table;-;Drug Intake;"Hebt u gedurende de afgelopen maand wel eens één of meer van de volgende middelen
Gebruikt?";kalmerende middelen (zoals valium);nooit, soms, regelmatig;Did you use one or more of the following substances over the past month?;sedatives (such as valium);never, sometimes, regularly;;Categorical;
;22.2;he041;he041v2;table;-;Drug Intake;"Hebt u gedurende de afgelopen maand wel eens één of meer van de volgende middelen
Gebruikt?";soft drugs (zoals hasj, wiet en marihuana);nooit, soms, regelmatig;Did you use one or more of the following substances over the past month?;soft drugs (such as hashish, marijuana);never, sometimes, regularly;;Categorical;
;22.3;he041;he041v3;table;-;Drug Intake;"Hebt u gedurende de afgelopen maand wel eens één of meer van de volgende middelen
Gebruikt?";XTC;nooit, soms, regelmatig;Did you use one or more of the following substances over the past month?;XTC;never, sometimes, regularly;;Categorical;
;22.4;he041;he041v4;table;-;Drug Intake;"Hebt u gedurende de afgelopen maand wel eens één of meer van de volgende middelen
Gebruikt?";bewustzijnsverruimende middelen (zoals LSD en paddo ́s);nooit, soms, regelmatig;Did you use one or more of the following substances over the past month?;hallucinogens (such as LSD, magic mushrooms);never, sometimes, regularly;;Categorical;
;22.5;he041;he041v5;table;-;Drug Intake;"Hebt u gedurende de afgelopen maand wel eens één of meer van de volgende middelen
Gebruikt?";hard drugs (zoals pepmiddelen, cocaïne en heroïne);nooit, soms, regelmatig;Did you use one or more of the following substances over the past month?;hard drugs (such as stimulants, cocaine, heroin);never, sometimes, regularly;;Categorical;
;23.1;he042;he042_v1_f1;grid;he041;Drug Intake Last Month;Hoe vaak hebt u deze middelen in de afgelopen maand gebruikt?;kalmerende middelen (zoals valium);;How often did you use these substances over the past month?;sedatives (such as valium);;;int;
;23.2;he042;he042_v2_f1;grid;he041;Drug Intake Last Month;Hoe vaak hebt u deze middelen in de afgelopen maand gebruikt?;soft drugs (zoals hasj, wiet en marihuana);;How often did you use these substances over the past month?;soft drugs (such as hashish, marijuana);;;int;
;23.3;he042;he042_v2_f2;grid;he041;Drug Intake Last Month;Hoe vaak hebt u deze middelen in de afgelopen maand gebruikt?;XTC;;How often did you use these substances over the past month?;XTC;;;int;
;23.4;he042;he042_v2_f3;grid;he041;Drug Intake Last Month;Hoe vaak hebt u deze middelen in de afgelopen maand gebruikt?;bewustzijnsverruimende middelen (zoals LSD en paddo ́s);;How often did you use these substances over the past month?;hallucinogens (such as LSD, magic mushrooms);;;int;
;23.5;he042;he042_v2_f4;grid;he041;Drug Intake Last Month;Hoe vaak hebt u deze middelen in de afgelopen maand gebruikt?;hard drugs (zoals pepmiddelen, cocaïne en heroïne);;How often did you use these substances over the past month?;hard drugs (such as stimulants, cocaine, heroin);;;int;
;24.1;loneliness;cs12e284;table;-;Loneliness;Wilt u voor elke uitspraak aangeven in hoeverre die op u van toepassing is, op basis van hoe u zich nu voelt?;ik ervaar een leegte om me heen;ja, min of meer, nee;"For each statement, please indicate to what extent it applies to you, based on how you feel now?
";I experience a void around me;"yes, more or less, no
";;Categorical;
;24.2;loneliness;cs12e285;table;-;Loneliness;Wilt u voor elke uitspraak aangeven in hoeverre die op u van toepassing is, op basis van hoe u zich nu voelt?;er zijn genoeg mensen waarop ik in geval van narigheid kan terugvallen;ja, min of meer, nee;"For each statement, please indicate to what extent it applies to you, based on how you feel now?
";There are plenty of people I can fall back on in case of trouble;"yes, more or less, no
";;Categorical;
;24.3;loneliness;cs12e286;table;-;Loneliness;Wilt u voor elke uitspraak aangeven in hoeverre die op u van toepassing is, op basis van hoe u zich nu voelt?;ik ken veel mensen op wie ik volledig kan vertrouwen;ja, min of meer, nee;"For each statement, please indicate to what extent it applies to you, based on how you feel now?
";I know many people I can fully trust;"yes, more or less, no
";;Categorical;
;24.4;loneliness;cs12e287;table;-;Loneliness;Wilt u voor elke uitspraak aangeven in hoeverre die op u van toepassing is, op basis van hoe u zich nu voelt?;er zijn voldoende mensen met wie ik mij nauw verbonden voel;ja, min of meer, nee;"For each statement, please indicate to what extent it applies to you, based on how you feel now?
";There are enough people with whom I feel closely connected;"yes, more or less, no
";;Categorical;
;24.5;loneliness;cs12e288;table;-;Loneliness;Wilt u voor elke uitspraak aangeven in hoeverre die op u van toepassing is, op basis van hoe u zich nu voelt?;ik mis mensen om me heen;ja, min of meer, nee;"For each statement, please indicate to what extent it applies to you, based on how you feel now?
";I miss people around me;"yes, more or less, no
";;Categorical;
;24.6;loneliness;cs12e289;table;-;Loneliness;Wilt u voor elke uitspraak aangeven in hoeverre die op u van toepassing is, op basis van hoe u zich nu voelt?;vaak voel ik me in de steek gelaten;ja, min of meer, nee;"For each statement, please indicate to what extent it applies to you, based on how you feel now?
";I often feel let down;"yes, more or less, no
";;Categorical;
;25;soccont;soccont0;grid;-;Contacts past 7 Days;"We willen graag iets weten over de contacten die u de afgelopen zeven dagen hebt gehad,
persoonlijk of op afstand (online of telefonisch), en die ten minste vijf minuten duurden. Met hoeveel verschillende personen hebt u zo’n contact gehad in de afgelopen zeven dagen?";persoonlijk:;;We are interested in the in-person or remote (online, phone) interactions you had over the past seven days that lasted at least five minutes. With how many different people did you have such contacts over the past seven days?;In-person;;;int;
;25;soccont;soccont1;grid;-;Contacts past 7 Days;"We willen graag iets weten over de contacten die u de afgelopen zeven dagen hebt gehad,
persoonlijk of op afstand (online of telefonisch), en die ten minste vijf minuten duurden. Met hoeveel verschillende personen hebt u zo’n contact gehad in de afgelopen zeven dagen?";op afstand (telefonisch, online enz.):;;We are interested in the in-person or remote (online, phone) interactions you had over the past seven days that lasted at least five minutes. With how many different people did you have such contacts over the past seven days?;remote(phone,online,etc.);;;int;
;26;soccompt;soccomp0;table;-;Change Contacts;Als u dat vergelijkt met een normale week, dus vóór de uitbraak van het coronavirus, hebt u dan nu minder of meer persoonlijk contact of contact via de telefoon / online?;persoonlijk:;veel minder nu, minder nu, ongeveer hetzelfde, meer nu, veel meer nu;Compared to a usual week prior to the coronavirus pandemic, how have the number of people with whom you had in-person and remote interactions changed?;In-person;"much less now, less now, about the same, more now, much more now
";;Categorical;
;26;soccompt;soccomp1;table;-;Change Contacts;Als u dat vergelijkt met een normale week, dus vóór de uitbraak van het coronavirus, hebt u dan nu minder of meer persoonlijk contact of contact via de telefoon / online?;op afstand (telefonisch, online enz.):;veel minder nu, minder nu, ongeveer hetzelfde, meer nu, veel meer nu;Compared to a usual week prior to the coronavirus pandemic, how have the number of people with whom you had in-person and remote interactions changed?;remote(phone,online,etc.);"much less now, less now, about the same, more now, much more now
";;Categorical;
;27;q22;;open;-;Young Children in Household;Hoeveel kinderen jonger dan 12 jaar zijn er in uw huishouden?;;;How many children under 12 are in your household?;;;;int;
;28.01;q23;;multi;q22;Childcare Adjustments;Hoe gaat u om met sluiting van school en/of kinderopvang vanwege het Coronavirus?;Ik blijf thuis om voor deze kinderen , te zorgen;;How do you deal with closure of school and / or childcare because of the corona virus? Multiple answers possible;I stay at home.;;;bool;
;28.02;q23;;multi;q22;Childcare Adjustments;Hoe gaat u om met sluiting van school en/of kinderopvang vanwege het Coronavirus?;Mijn partner blijft thuis om voor deze kinderen, te zorgen;;How do you deal with closure of school and / or childcare because of the corona virus? Multiple answers possible;My partner stays at home.;;;bool;
;28.03;q23;;multi;q22;Childcare Adjustments;Hoe gaat u om met sluiting van school en/of kinderopvang vanwege het Coronavirus?;Oudere broer(s) of zus(sen) zorgen voor deze kinderen;;How do you deal with closure of school and / or childcare because of the corona virus? Multiple answers possible;The older siblings care for the younger children.;;;bool;
;28.04;q23;;multi;q22;Childcare Adjustments;Hoe gaat u om met sluiting van school en/of kinderopvang vanwege het Coronavirus?;De grootouders zorgen voor deze kinderen;;How do you deal with closure of school and / or childcare because of the corona virus? Multiple answers possible;The grandparents care for the children.;;;bool;
;28.05;q23;;multi;q22;Childcare Adjustments;Hoe gaat u om met sluiting van school en/of kinderopvang vanwege het Coronavirus?;Andere familieleden of vrienden zorgen voor deze kinderen;;How do you deal with closure of school and / or childcare because of the corona virus? Multiple answers possible;Other relatives or friends care for the children.;;;bool;
;28.06;q23;;multi;q22;Childcare Adjustments;Hoe gaat u om met sluiting van school en/of kinderopvang vanwege het Coronavirus?;"Ik regel de kinderopvang samen met vrienden/buren (afwisselend de kinderen
Opvangen)";;How do you deal with closure of school and / or childcare because of the corona virus? Multiple answers possible;I organize child care with friends / neighbors together.;;;bool;
;28.07;q23;;multi;q22;Childcare Adjustments;Hoe gaat u om met sluiting van school en/of kinderopvang vanwege het Coronavirus?;"Ikzelf en/of mijn partner horen tot de cruciale beroepsgroep en er is daarom
nood(kinder)opvang beschikbaar";;How do you deal with closure of school and / or childcare because of the corona virus? Multiple answers possible;The state organizes child care for my profession.;;;bool;
;28.08;q23;;multi;q22;Childcare Adjustments;Hoe gaat u om met sluiting van school en/of kinderopvang vanwege het Coronavirus?;Mijn ex-partner zorgt voor deze kinderen;;How do you deal with closure of school and / or childcare because of the corona virus? Multiple answers possible;My ex-partner cares for the children.;;;bool;
;28.09;q23;;multi;q22;Childcare Adjustments;Hoe gaat u om met sluiting van school en/of kinderopvang vanwege het Coronavirus?;Deze kinderen blijven alleen thuis;;How do you deal with closure of school and / or childcare because of the corona virus? Multiple answers possible;The child(ren) stay(s) at home alone.;;;bool;
;28.1;q23;;multi;q22;Childcare Adjustments;Hoe gaat u om met sluiting van school en/of kinderopvang vanwege het Coronavirus?;Anders, namelijk:;;How do you deal with closure of school and / or childcare because of the corona virus? Multiple answers possible;Otherwise, namely:;;;string;
;29;q13;;cat;-;Work Status Beginning of March;Welke van de volgende opties beschrijft voor begin maart (of voordat het coronavirus invloed had op uw werk) uw situatie het best? Als er meer opties mogelijk zijn, kiest u dan de hoofdactiviteit of -baan.;;k verrichtte betaald werk in loondienst ( full-time of part-time), Ik was zelfstandig ondernemer, Ik was werkloos en was op zoek naar werk, Ik was (vervroegd) gepensioneerd, Ik ontving een arbeidsongeschiktheidsuitkering of sociale bijstand en was niet op zoek naar werk, Ik was leerling / student / stagiair en kreeg alleen een onkostenvergoeding, Ik deed het huishouden;Which of the following options describes your work situation at the beginning of March 2020 best?;;employed, self-emplyed, unemployed, retired, social assistance, student or trainee, homemaker;;Categorical;
;30;q14;;grid;q13;Working Hours;Hoeveel uur per week werkte u begin maart (of voordat het coronavirus invloed had op uw werk) gemiddeld op uw werkplek en vanuit huis? En in de afgelopen zeven dagen?Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'. Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.;Werk vóór de pandemie;;On average, how many hours per week did you work at the workplace and from home in early March (or before the coronavirus affected your work)? And in the past seven days? If you always work from home, fill in all hours at 'from home'. Enter zero (0) if you never work at your workplace or at home.;Hours at workplace before the pandemic;;;int;
