Variable,Type,Topic,Reference Period Other Than Survey Period,Links Wave 1,Links Wave 2,Links Wave 3,Links Wave 4,Links Wave 5
selfempl_less_sick,bool,Finances, , ,:ref:`🔗 <w2e-q17>`, , , 
selfempl_less_vacation,bool,Finances, , ,:ref:`🔗 <w2e-q17>`, , , 
selfempl_less_unrel_corona,bool,Finances, , ,:ref:`🔗 <w2e-q17>`, , , 
selfempl_less_other,bool,Finances, ,:ref:`🔗 <w1e-q17>`,:ref:`🔗 <w2e-q17>`, , , 
selfempl_less_other_str,object,Finances, ,:ref:`🔗 <w1e-q17>`,:ref:`🔗 <w2e-q17>`, , , 
contact_young_people,Ordered Categorical,Behavior, ,:ref:`🔗 <w1e-q18>`, , , , 
pensioner_useful_skill,category,Health Beliefs, ,:ref:`🔗 <w1e-q19>`, , , , 
pensioner_prepared_to_help,Ordered Categorical,Behavior, ,:ref:`🔗 <w1e-q20>`, , , , 
intend_crisis_save_more,bool,Finances, ,:ref:`🔗 <w1e-q21>`, , , , 
intend_crisis_postpone_purchase,bool,Finances, ,:ref:`🔗 <w1e-q21>`, , , , 
intend_crisis_postpone_house,bool,Finances, ,:ref:`🔗 <w1e-q21>`, , , , 
intend_crisis_reduce_housing,bool,Finances, ,:ref:`🔗 <w1e-q21>`, , , , 
intend_crisis_sell_shares,bool,Finances, ,:ref:`🔗 <w1e-q21>`, , , , 
intend_crisis_buy_shares,bool,Finances, ,:ref:`🔗 <w1e-q21>`, , , , 
intend_crisis_no_action,bool,Finances, ,:ref:`🔗 <w1e-q21>`, , , , 
eur_1k_basic_needs,Int,Finances, ,:ref:`🔗 <w1e-q_heli>`, , , , 
eur_1k_expenses,Int,Finances, ,:ref:`🔗 <w1e-q_heli>`, , , , 
eur_1k_durables,Int,Finances, ,:ref:`🔗 <w1e-q_heli>`, , , , 
eur_1k_savings,Int,Finances, ,:ref:`🔗 <w1e-q_heli>`, , , , 
eur_1k_support_others,Int,Finances, ,:ref:`🔗 <w1e-q_heli>`, , , , 
p_low_or_no_income,Int,Finances, ,:ref:`🔗 <w1e-q28>`, ,:ref:`🔗 <w3e-q28>`, , 
low_inc_cope_savings,bool,Finances, ,:ref:`🔗 <w1e-q29>`, ,:ref:`🔗 <w3e-q29>`, , 
low_inc_cope_loan,bool,Finances, ,:ref:`🔗 <w1e-q29>`, ,:ref:`🔗 <w3e-q29>`, , 
low_inc_cope_family,bool,Finances, ,:ref:`🔗 <w1e-q29>`, ,:ref:`🔗 <w3e-q29>`, , 
low_inc_cope_unemp,bool,Finances, ,:ref:`🔗 <w1e-q29>`, ,:ref:`🔗 <w3e-q29>`, , 
low_inc_cope_retire,bool,Finances, ,:ref:`🔗 <w1e-q29>`, ,:ref:`🔗 <w3e-q29>`, , 
low_inc_cope_soc_assist,bool,Finances, ,:ref:`🔗 <w1e-q29>`, ,:ref:`🔗 <w3e-q29>`, , 
low_inc_cope_other,bool,Finances, ,:ref:`🔗 <w1e-q29>`, ,:ref:`🔗 <w3e-q29>`, , 
low_inc_cope_other_str,object,Finances, ,:ref:`🔗 <w1e-q29>`, ,:ref:`🔗 <w3e-q29>`, , 
nervous_7d,Ordered Categorical,Mental Health, ,:ref:`🔗 <w1e-q30>`, ,:ref:`🔗 <w3e-q30>`, , 
depressed_7d,Ordered Categorical,Mental Health, ,:ref:`🔗 <w1e-q30>`, ,:ref:`🔗 <w3e-q30>`, , 
calm_7d,Ordered Categorical,Mental Health, ,:ref:`🔗 <w1e-q30>`, ,:ref:`🔗 <w3e-q30>`, , 
gloomy_7d,Ordered Categorical,Mental Health, ,:ref:`🔗 <w1e-q30>`, ,:ref:`🔗 <w3e-q30>`, , 
happy_7d,Ordered Categorical,Mental Health, ,:ref:`🔗 <w1e-q30>`, ,:ref:`🔗 <w3e-q30>`, , 
concern_4w_bored,Ordered Categorical,Mental Health, ,:ref:`🔗 <w1e-q31>`,:ref:`🔗 <w2e-q31>`,:ref:`🔗 <w3e-q31>`, , 
concern_4w_serious_ill,Ordered Categorical,Mental Health, ,:ref:`🔗 <w1e-q31>`,:ref:`🔗 <w2e-q31>`,:ref:`🔗 <w3e-q31>`, , 
concern_4w_infect_others,Ordered Categorical,Mental Health, ,:ref:`🔗 <w1e-q31>`,:ref:`🔗 <w2e-q31>`,:ref:`🔗 <w3e-q31>`, , 
concern_4w_loved_ill,Ordered Categorical,Mental Health, ,:ref:`🔗 <w1e-q31>`,:ref:`🔗 <w2e-q31>`,:ref:`🔗 <w3e-q31>`, , 
concern_4w_unemp,Ordered Categorical,Mental Health, ,:ref:`🔗 <w1e-q31>`,:ref:`🔗 <w2e-q31>`,:ref:`🔗 <w3e-q31>`, , 
concern_4w_company,Ordered Categorical,Mental Health, ,:ref:`🔗 <w1e-q31>`,:ref:`🔗 <w2e-q31>`,:ref:`🔗 <w3e-q31>`, , 
concern_4w_new_job,Ordered Categorical,Mental Health, ,:ref:`🔗 <w1e-q31>`,:ref:`🔗 <w2e-q31>`,:ref:`🔗 <w3e-q31>`, , 
concern_4w_food,Ordered Categorical,Mental Health, ,:ref:`🔗 <w1e-q31>`,:ref:`🔗 <w2e-q31>`,:ref:`🔗 <w3e-q31>`, , 
concern_4w_health_care,Ordered Categorical,Mental Health, ,:ref:`🔗 <w1e-q31>`,:ref:`🔗 <w2e-q31>`,:ref:`🔗 <w3e-q31>`, , 
concern_4w_fav_shop_bancrupt,Ordered Categorical,Mental Health, ,:ref:`🔗 <w1e-q31>`,:ref:`🔗 <w2e-q31>`,:ref:`🔗 <w3e-q31>`, , 
concern_4w_meet_loved,Int,Mental Health, , , , , , 
duration_econ_crisis,Ordered Categorical,Finances, ,:ref:`🔗 <w1e-v1>`, , , , 
l_12m_job_loss_employee,Ordered Categorical,Finances, ,:ref:`🔗 <w1e-v2>`, , , , 
l_12m_no_contracts_selfempl,Ordered Categorical,Finances, ,:ref:`🔗 <w1e-v2>`, , , , 
l_12m_reduction_pension,Ordered Categorical,Finances, ,:ref:`🔗 <w1e-v2>`, , , , 
l_12m_drop_in_assets,Ordered Categorical,Finances, ,:ref:`🔗 <w1e-v2>`, , , , 
l_12m_bank_bankrupt,Ordered Categorical,Finances, ,:ref:`🔗 <w1e-v2>`, , , , 
l_12m_struggle_repay_debts,Ordered Categorical,Finances, ,:ref:`🔗 <w1e-v2>`, , , , 
e_12m_house_prices_direction,Ordered Categorical,Macro Expectations, ,:ref:`🔗 <w1e-v3>`, , , , 
e_12m_house_prices_change,Ordered Categorical,Macro Expectations, ,:ref:`🔗 <w1e-v4>`, , , , 
intend_12m_spend_less,Ordered Categorical,Finances, ,:ref:`🔗 <w1e-v5>`, , , , 
intend_12m_work_more,Ordered Categorical,Finances, ,:ref:`🔗 <w1e-v5>`, , , , 
intend_12m_work_less,Ordered Categorical,Finances, ,:ref:`🔗 <w1e-v5>`, , , , 
intend_12m_borrow,Ordered Categorical,Finances, ,:ref:`🔗 <w1e-v5>`, , , , 
intend_12m_postpone_house,Ordered Categorical,Finances, ,:ref:`🔗 <w1e-v5>`, , , , 
gov_action_approp,Ordered Categorical,Policies, ,:ref:`🔗 <w1e-v6>`, , , , 
gov_action_insuff,Ordered Categorical,Policies, ,:ref:`🔗 <w1e-v6>`, , , , 
save_banks,Ordered Categorical,Policies, ,:ref:`🔗 <w1e-v6>`, , , , 
help_pension_funds,Ordered Categorical,Policies, ,:ref:`🔗 <w1e-v6>`, , , , 
p_2m_employee_keep,int,Employment, ,:ref:`🔗 <w1e-q26>`, ,:ref:`🔗 <w3e-q26>`, ,:ref:`🔗 <w5e-q26>`
p_2m_employee_keep_gov,int,Employment, ,:ref:`🔗 <w1e-q26>`, ,:ref:`🔗 <w3e-q26>`, ,:ref:`🔗 <w5e-q26>`
p_2m_employee_lost,Int,Employment, ,:ref:`🔗 <w1e-q26>`, , , , 
p_2m_employee_other,int,Employment, ,:ref:`🔗 <w1e-q26>`, ,:ref:`🔗 <w3e-q26>`, ,:ref:`🔗 <w5e-q26>`
p_2m_employee_new_job,int,Employment, , , ,:ref:`🔗 <w3e-q26>`, ,:ref:`🔗 <w5e-q26>`
p_2m_employee_unemployed,int,Employment, , , ,:ref:`🔗 <w3e-q26>`, ,:ref:`🔗 <w5e-q26>`
no_emergency_cc_note_drop,bool,skip, ,:ref:`🔗 <w1e-q25>`, , , , 
note_survey,object,Questionnaire, ,:ref:`🔗 <w1e-q34>`, , , , 
infection_diagnosed,Ordered Categorical,Health Beliefs, , ,:ref:`🔗 <w2e-InfectionDiagnosed>`,:ref:`🔗 <w3e-InfectionDiagnosed>`, ,:ref:`🔗 <w5e-InfectionDiagnosed>`
infection_perceived,Ordered Categorical,Health Beliefs, , ,:ref:`🔗 <w2e-SelfPerceivedInfection>`,:ref:`🔗 <w3e-SelfPerceivedInfection>`, , 
is_smoking,category,Drugs, , ,:ref:`🔗 <w2e-rook>`, , , 
is_smoking_cigarettes,bool,Drugs, , ,:ref:`🔗 <w2e-he035>`, , , 
is_smoking_pipe,bool,Drugs, , ,:ref:`🔗 <w2e-he035>`, , , 
is_smoking_cigar,bool,Drugs, , ,:ref:`🔗 <w2e-he035>`, , , 
is_smoking_ecig,bool,Drugs, , ,:ref:`🔗 <w2e-he035>`, , , 
nr_cigarettes_day,int,Drugs, , ,:ref:`🔗 <w2e-he036a>`, , , 
nr_pipe_day,int,Drugs, , ,:ref:`🔗 <w2e-he036b>`, , , 
nr_cigar_day,int,Drugs, , ,:ref:`🔗 <w2e-he036c>`, , , 
nr_ecig_day,int,Drugs, , ,:ref:`🔗 <w2e-he036d>`, , , 
is_drinking_alcohol,bool,Drugs, , ,:ref:`🔗 <w2e-he038>`, , , 
alcohol_amount,Ordered Categorical,Drugs, , ,:ref:`🔗 <w2e-he039>`, , , 
alcohol_beer,bool,Drugs, , ,:ref:`🔗 <w2e-he040>`, , , 
alcohol_beer_strong,bool,Drugs, , ,:ref:`🔗 <w2e-he040>`, , , 
alcohol_liquor,bool,Drugs, , ,:ref:`🔗 <w2e-he040>`, , , 
alcohol_sherry,bool,Drugs, , ,:ref:`🔗 <w2e-he040>`, , , 
alcohol_wine,bool,Drugs, , ,:ref:`🔗 <w2e-he040>`, , , 
alcohol_alcopop,bool,Drugs, , ,:ref:`🔗 <w2e-he040>`, , , 
alcohol_other,bool,Drugs, , ,:ref:`🔗 <w2e-he040>`, , , 
alcohol_other_1,object,Drugs, , ,:ref:`🔗 <w2e-he040>`, , , 
alcohol_other_2,object,Drugs, , ,:ref:`🔗 <w2e-he040>`, , , 
beer_glasses,int,Drugs, , ,:ref:`🔗 <w2e-he040a>`, , , 
beer_hliter_glasses,int,Drugs, , ,:ref:`🔗 <w2e-he040a>`, , , 
beer_hliter_bottles,int,Drugs, , ,:ref:`🔗 <w2e-he040a>`, , , 
beer_bottles,int,Drugs, , ,:ref:`🔗 <w2e-he040a>`, , , 
strong_beer_glasses,int,Drugs, , ,:ref:`🔗 <w2e-he040b>`, , , 
strong_beer_hliter_glasses,int,Drugs, , ,:ref:`🔗 <w2e-he040b>`, , , 
strong_beer_hliter_bottles,int,Drugs, , ,:ref:`🔗 <w2e-he040b>`, , , 
strong_beer_bottles,int,Drugs, , ,:ref:`🔗 <w2e-he040b>`, , , 
liquor_sort,int,Drugs, , ,:ref:`🔗 <w2e-he040c>`, , , 
sherry_sort,int,Drugs, , ,:ref:`🔗 <w2e-he040c>`, , , 
wine_sort,int,Drugs, , ,:ref:`🔗 <w2e-he040c>`, , , 
alcopops_bottles,int,Drugs, , ,:ref:`🔗 <w2e-he040d>`, , , 
other_sort1_amount,int,Drugs, , ,:ref:`🔗 <w2e-he040e>`, , , 
other_sort2_amount,int,Drugs, , ,:ref:`🔗 <w2e-he040f>`, , , 
took_soothing,Ordered Categorical,Drugs, , ,:ref:`🔗 <w2e-he041>`, , , 
took_soft_drugs,Ordered Categorical,Drugs, , ,:ref:`🔗 <w2e-he041>`, , , 
took_xtc,Ordered Categorical,Drugs, , ,:ref:`🔗 <w2e-he041>`, , , 
took_psychodelic,Ordered Categorical,Drugs, , ,:ref:`🔗 <w2e-he041>`, , , 
took_hard_drugs,Ordered Categorical,Drugs, , ,:ref:`🔗 <w2e-he041>`, , , 
freq_soothing,int,Drugs, , ,:ref:`🔗 <w2e-he042>`, , , 
freq_soft_drugs,int,Drugs, , ,:ref:`🔗 <w2e-he042>`, , , 
freq_xtc,int,Drugs, , ,:ref:`🔗 <w2e-he042>`, , , 
freq_psychodelic,int,Drugs, , ,:ref:`🔗 <w2e-he042>`, , , 
freq_hard_drugs,int,Drugs, , ,:ref:`🔗 <w2e-he042>`, , , 
feeling_emptiness,Ordered Categorical,Mental Health, , ,:ref:`🔗 <w2e-loneliness>`, ,:ref:`🔗 <w4e-loneliness>`, 
enough_people_approach,Ordered Categorical,Behavior, , ,:ref:`🔗 <w2e-loneliness>`, ,:ref:`🔗 <w4e-loneliness>`, 
enough_people_trust,Ordered Categorical,Behavior, , ,:ref:`🔗 <w2e-loneliness>`, ,:ref:`🔗 <w4e-loneliness>`, 
enough_people_bond,Ordered Categorical,Behavior, , ,:ref:`🔗 <w2e-loneliness>`, ,:ref:`🔗 <w4e-loneliness>`, 
miss_people_around,Ordered Categorical,Behavior, , ,:ref:`🔗 <w2e-loneliness>`, ,:ref:`🔗 <w4e-loneliness>`, 
feel_let_down_often,Ordered Categorical,Behavior, , ,:ref:`🔗 <w2e-loneliness>`, ,:ref:`🔗 <w4e-loneliness>`, 
n_contacts_personal,int,Behavior, , ,:ref:`🔗 <w2e-soccont>`, ,:ref:`🔗 <w4e-soccont>`, 
n_contacts_distanced,int,Behavior, , ,:ref:`🔗 <w2e-soccont>`, ,:ref:`🔗 <w4e-soccont>`, 
change_contacts_personal,Ordered Categorical,Behavior, , ,:ref:`🔗 <w2e-soccompt>`, , , 
change_contacts_distanced,Ordered Categorical,Behavior, , ,:ref:`🔗 <w2e-soccompt>`, , , 
essential_worker,bool,Background, , ,:ref:`🔗 <w2e-cruciaal>`, , , 
hh_income_202001,int,Finances,202001.0, ,:ref:`🔗 <w2e-income>`, ,:ref:`🔗 <w4e-income>`, 
hh_income_202002,int,Finances,202002.0, ,:ref:`🔗 <w2e-income>`, ,:ref:`🔗 <w4e-income>`, 
