page;id;qid;layout;filter;group;question_dutch;subquestion_dutch;question_english;type;categories_dutch;categories_english;new_name;subquestion_english
6.01;covid_attitudes3;covid_attitudes;table;-;COVID Attitudes;Er zijn verschillende coronavaccins die mogelijk begin 2021 beschikbaar komen. Bent u het oneens of eens met de volgende uitspraken?;Covid-19 kan voor mij een ernstig gezondheidsrisico zijn.;There are several corona vaccines that may become available in early 2021. Do you disagree or agree with the following statements?;Ordered Categorical;Helemaal mee oneens,Oneens,Niet oneens en niet eens,Eens,Helemaal mee eens;Strongly disagree,Disagree,Neither disagree nor disagree,Agree,Strongly agree;covid_vaccine_safe;Covid-19 may be a serious health risk for me.
7.01;covid_test_prob1;covid_test_prob1;open;-;Test Probabilities – 1;"Stel dat de overheid iedereen vraagt om zichzelf thuis te testen op Covid-19 met een test waarbij je zachtjes met een wattenstaafje over de voorkant van je neus veegt. Stel dat de test alle besmette personen ontdekt. Maar, 1 op de 100 mensen die niet geïnfecteerd zijn test positief. Als je positief test, moet je vijf dagen in quarantaine blijven en moet je via de GGD een coronatest laten doen.

Hoe groot is de kans dat u zich laat testen?
U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.";;"Suppose the government asks everyone to test themselves at home for Covid-19 with a test in which you gently wipe the front of your nose with a cotton swab. Suppose the test detects all infected individuals. But, 1 in 100 people who are not infected tests positive. If you test positive, you have to stay in quarantine for five days and have to go through the GGD to have a coronavirus test done.

How likely are you to get tested?
You can answer this question on a scale of 0 to 100, where 0 stands for definitely not and 100 for definitely yes.";Integer;;;covid_test_comply;
8.01;covid_test_prob2;covid_test_prob2;open;-;Test Probabilities – 2;"Stel dat de overheid iedereen vraagt om zichzelf thuis te testen op Covid-19 met een test waarbij je zachtjes met een wattenstaafje over de voorkant van je neus veegt. Stel dat de test alle besmette personen ontdekt. Maar, 1 op de 100 mensen die niet geïnfecteerd zijn test positief. Als je positief test, moet je vijf dagen in quarantaine blijven en moet je via de GGD een coronatest laten doen.

Stel dat de overheid iedereen die zich aan dit verzoek houdt een belastingvrij bedrag betaalt. Welk bedrag zou de overheid dan moeten betalen om er zeker van te zijn dat u zich test en u zich aan de regels houdt (in quarantaine blijven en een coronatest laten doen via de GGD)?";;"Suppose the government asks everyone to test themselves at home for Covid-19 with a test in which you gently wipe the front of your nose with a cotton swab. Suppose the test detects all infected individuals. But, 1 in 100 people who are not infected tests positive. If you test positive, you have to stay in quarantine for five days and have to go through the GGD to have a coronavirus test done.

Suppose the government pays everyone who complies with this request a tax-free amount of money pay. What amount would the government then have to pay to make sure that you and you follow the rules (stay in quarantine and have a coronavirus done via the GGD)? done through the GGD)?";Integer;;;covid_test_comply_pay;
9.01;flushot2020;flushot;grid;-;Taken Influenza Vaccine;"Griepvaccins worden gebruikt om influenza-infecties te helpen voorkomen.

Bij volwassenen worden griepvaccins meestal toegediend via een injectie in de arm (griepprik).
Hebt u een griepprik gehad?";Dit najaar / winter (2020);"Flu vaccines are used to help prevent influenza infections.

In adults, flu vaccines are usually administered through an injection in the arm (flu shot).
Have you had a flu shot?";Boolean;;;flushot2020;This Fall/Winter (2020)
9.01;flushot2019;flushot;grid;-;Taken Influenza Vaccine;"Griepvaccins worden gebruikt om influenza-infecties te helpen voorkomen.

Bij volwassenen worden griepvaccins meestal toegediend via een injectie in de arm (griepprik).
Hebt u een griepprik gehad?";In het najaar / de winter van 2019;"Flu vaccines are used to help prevent influenza infections.

In adults, flu vaccines are usually administered through an injection in the arm (flu shot).
Have you had a flu shot?";Boolean;;;flushot2019;In the fall / winter of 2019
9.01;flushot_ever;flushot;grid;-;Taken Influenza Vaccine;"Griepvaccins worden gebruikt om influenza-infecties te helpen voorkomen.

Bij volwassenen worden griepvaccins meestal toegediend via een injectie in de arm (griepprik).
Hebt u een griepprik gehad?";Ooit;"Flu vaccines are used to help prevent influenza infections.

In adults, flu vaccines are usually administered through an injection in the arm (flu shot).
Have you had a flu shot?";Boolean;;;flushot_ever;Ever
10.01;influenza_vaccine_2020_yes_reaso;influenza_vaccine_2020_yes_reason;multi;flushot;Reason for Taking Influenza Vaccine;Wat is de belangrijkste reden dat u dit najaar/deze winter (2020) een griepprik hebt gehaald?;;What is the main reason you got a flu shot this fall/winter (2020)?;Category;Om het risico op griep te verkleinen,Om te voorkomen dat ik de griep en corona op hetzelfde moment krijg,Om mensen waarmee ik regelmatig contact heb te beschermen tegen de griep,Anders namelijk...;To reduce the risk of getting the flu,To prevent me from getting the flu and corona at the same time,To protect people with whom I have regular contact from the flu,Otherwise namely...;inflvacc2020_reason_yes;
10.01;inflvacc2020_oth;influenza_vaccine_2020_yes_reason;multi;flushot;Reason for Taking Influenza Vaccine;Wat is de belangrijkste reden dat u dit najaar/deze winter (2020) een griepprik hebt gehaald?;;What is the main reason you got a flu shot this fall/winter (2020)?;Object;Om het risico op griep te verkleinen,Om te voorkomen dat ik de griep en corona op hetzelfde moment krijg,Om mensen waarmee ik regelmatig contact heb te beschermen tegen de griep,Anders namelijk...;To reduce the risk of getting the flu,To prevent me from getting the flu and corona at the same time,To protect people with whom I have regular contact from the flu,Otherwise namely...;inflvacc2020_other_yes;
11.01;influenza_vaccine_2020_no_reason;influenza_vaccine_2020_no_reason;multi;flushot;Reason for Not Taking Influenza Vaccine;Wat is de belangrijkste reden dat u dit najaar/deze winter (2020) tot nu toe nog geen griepprik hebt gehaald?;;;Category;Heb het niet nodig,Het voelde niet veilig om naar de dokter te gaan vanwege het risico op Covid-19-infectie,Anderen hebben het meer nodig dan ik,Ik ben er niet aan toe gekomen,Geloof niet in griepvaccins,Kan ziek worden van het vaccin,Je kunt bijwerkingen krijgen,Houd niet van naalden,Een dokter vertelde me niet dat ik het nodig had,Griepvaccins kosten te veel,Er was geen vaccin beschikbaar,Voldoende andere mensen krijgen het vaccin dus het is niet nodig,Anders namelijk…;Don't need it ,Didn't feel safe going to the doctor because of the risk of Covid-19 infection ,Others need it more than I do ,I didn't get around to it ,Don't believe in flu vaccines ,May get sick from the vaccine ,You may get side effects ,Don't like needles ,A doctor didn't tell me I needed it ,Flu vaccines cost too much ,No vaccine was available ,Plenty of other people get the vaccine so it's not necessary ,Otherwise namely…;inflvacc2020_reason_no;
11.01;inflvacc2020_other_no;influenza_vaccine_2020_no_reason;multi;flushot;Reason for Not Taking Influenza Vaccine;Wat is de belangrijkste reden dat u dit najaar/deze winter (2020) tot nu toe nog geen griepprik hebt gehaald?;;;Object;Heb het niet nodig,Het voelde niet veilig om naar de dokter te gaan vanwege het risico op Covid-19-infectie,Anderen hebben het meer nodig dan ik,Ik ben er niet aan toe gekomen,Geloof niet in griepvaccins,Kan ziek worden van het vaccin,Je kunt bijwerkingen krijgen,Houd niet van naalden,Een dokter vertelde me niet dat ik het nodig had,Griepvaccins kosten te veel,Er was geen vaccin beschikbaar,Voldoende andere mensen krijgen het vaccin dus het is niet nodig,Anders namelijk…;Don't need it ,Didn't feel safe going to the doctor because of the risk of Covid-19 infection ,Others need it more than I do ,I didn't get around to it ,Don't believe in flu vaccines ,May get sick from the vaccine ,You may get side effects ,Don't like needles ,A doctor didn't tell me I needed it ,Flu vaccines cost too much ,No vaccine was available ,Plenty of other people get the vaccine so it's not necessary ,Otherwise namely…;;
12.01;influenza_vaccine_2020_prob;influenza_vaccine_2020_prob;open;-;Influenza Vaccine Probabilities;"Hoe groot is de kans dat u alsnog deze winter (2020) een griepprik haalt?
U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.";;"How likely is it that you will still get your flu shot this winter (2020)?
You can answer this question on a scale of 0 to 100, where 0 means definitely not and 100 means definitely.";Integer;;;inflvacc2020_prob;
13.01;invite2020;invite;grid;-;Invite to Take Influenza Vaccine;"Griepvaccins worden gebruikt om influenza-infecties te helpen voorkomen.

Kreeg u een uitnodiging om de griepprik te halen?";Dit najaar / winter 2020;"Flu vaccines are used to help prevent influenza infections.

Did you receive an invitation to get the flu shot?";Boolean;;;invite2020;This Fall / Winter 2020
13.02;invite2019;invite;grid;-;Invite to Take Influenza Vaccine;"Griepvaccins worden gebruikt om influenza-infecties te helpen voorkomen.

Kreeg u een uitnodiging om de griepprik te halen?";In het najaar / de winter van 2019;"Flu vaccines are used to help prevent influenza infections.

Did you receive an invitation to get the flu shot?";Boolean;;;invite2019;In the fall / winter of 2019
13.03;invite_ever;invite;grid;-;Invite to Take Influenza Vaccine;"Griepvaccins worden gebruikt om influenza-infecties te helpen voorkomen.

Kreeg u een uitnodiging om de griepprik te halen?";Ooit;"Flu vaccines are used to help prevent influenza infections.

Did you receive an invitation to get the flu shot?";Boolean;;;invite_ever;Ever
14.01;invite_means;invite_means;multi;invite;Mean for Invite to Take Influenza Vaccine;Denk nu aan de laatste uitnodiging die u ontvangen hebt. Wat is van toepassing?;;Now think about the last invitation you received. What is applicable?;Category;U kreeg een schriftelijke uitnodiging van de huisarts ,U kreeg een mondelinge oproep van de huisarts ,U kreeg een oproep van de specialist ,U kreeg een oproep van de GGD ,U kreeg een oproep van uw werkgever;You received a written invitation from the family doctor ,You received a verbal call from the family physician ,You received a call from the specialist ,You received a call from the GGD ,You received a call from your employer;invite_means;
15.01;flushot_past10y;flushot_past10y;open;-;Influenza Vaccine – 10 years;Hoe vaak hebt u in de afgelopen 10 jaar een griepprik gehad?;;How often have you had a flu shot in the past 10 years?;Integer;;;flushot_past10y;
16.01;flu_attitudes1;flu_attitudes;grid;-;Influenza Attitudes;Bent u het oneens of eens met de volgende uitspraken?;Het lijkt me goed om me tegen de griep te laten vaccineren.;Do you disagree or agree with the following statements?;Category;Helemaal mee oneens,Oneens,Niet oneens en niet eens,Eens,Helemaal mee eens;Strongly disagree,Disagree,Neither disagree nor disagree,Agree,Strongly agree;flu_health_concern;I think it would be good for me to get vaccinated against the flu.
16.02;flu_attitudes2;flu_attitudes;grid;-;Influenza Attitudes;Bent u het oneens of eens met de volgende uitspraken?;Ik denk dat het veilig is voor mij om een griepprik te nemen.;Do you disagree or agree with the following statements?;Category;Helemaal mee oneens,Oneens,Niet oneens en niet eens,Eens,Helemaal mee eens;Strongly disagree,Disagree,Neither disagree nor disagree,Agree,Strongly agree;flu_vaccine_effective;I think it is safe for me to get a flu shot.
16.03;flu_attitudes3;flu_attitudes;grid;-;Influenza Attitudes;Bent u het oneens of eens met de volgende uitspraken?;De griep kan voor mij een ernstig gezondheidsrisico zijn.;Do you disagree or agree with the following statements?;Category;Helemaal mee oneens,Oneens,Niet oneens en niet eens,Eens,Helemaal mee eens;Strongly disagree,Disagree,Neither disagree nor disagree,Agree,Strongly agree;flu_vaccine_safe;The flu can be a serious health risk for me.
17.01;q30a_mnd;q30hd_maand;table;-;Mental Health in the Past Month;"De volgende vraag gaat over hoe u zich voelde in de afgelopen maand. Geeft u het antwoord dat het best uw gevoel weergeeft.

De afgelopen maand…";;"The next question is about how you felt in the past month. Please give the answer that best represents your feelings.

Last month…";;Nooit ,Zelden ,Soms ,Vaak ,Meestal ,Voortdurend;Never ,Rarely ,Sometimes ,Often ,Mostly ,Constantly;nervous_month;
17.02;q30b_mdn;q30hd_maand;table;-;Mental Health in the Past Month;"De volgende vraag gaat over hoe u zich voelde in de afgelopen maand. Geeft u het antwoord dat het best uw gevoel weergeeft.

De afgelopen maand…";;"The next question is about how you felt in the past month. Please give the answer that best represents your feelings.

Last month…";;Nooit ,Zelden ,Soms ,Vaak ,Meestal ,Voortdurend;Never ,Rarely ,Sometimes ,Often ,Mostly ,Constantly;depressed_month;
17.03;q30c_mnd;q30hd_maand;table;-;Mental Health in the Past Month;"De volgende vraag gaat over hoe u zich voelde in de afgelopen maand. Geeft u het antwoord dat het best uw gevoel weergeeft.

De afgelopen maand…";;"The next question is about how you felt in the past month. Please give the answer that best represents your feelings.

Last month…";;Nooit ,Zelden ,Soms ,Vaak ,Meestal ,Voortdurend;Never ,Rarely ,Sometimes ,Often ,Mostly ,Constantly;calm_month;
17.04;q30d_mnd;q30hd_maand;table;-;Mental Health in the Past Month;"De volgende vraag gaat over hoe u zich voelde in de afgelopen maand. Geeft u het antwoord dat het best uw gevoel weergeeft.

De afgelopen maand…";;"The next question is about how you felt in the past month. Please give the answer that best represents your feelings.

Last month…";;Nooit ,Zelden ,Soms ,Vaak ,Meestal ,Voortdurend;Never ,Rarely ,Sometimes ,Often ,Mostly ,Constantly;gloomy_month;
17.05;q30e_mnd;q30hd_maand;table;-;Mental Health in the Past Month;"De volgende vraag gaat over hoe u zich voelde in de afgelopen maand. Geeft u het antwoord dat het best uw gevoel weergeeft.

De afgelopen maand…";;"The next question is about how you felt in the past month. Please give the answer that best represents your feelings.

Last month…";;Nooit ,Zelden ,Soms ,Vaak ,Meestal ,Voortdurend;Never ,Rarely ,Sometimes ,Often ,Mostly ,Constantly;happy_month;
18.01;support_a;support;table;-;Thoughts on Government Policy;Wat vindt u van de maatregelen op dit moment om de coronavirus-crisis te bestrijden als het gaat om de volgende gebieden?;Kinderdagopvang, buitenschoolse opvang en basisscholen zijn open;What do you think of the measures currently in place to combat the coronavirus crisis as it relates to the following areas?;Ordered Categorical;Te soepel ,Eerder te soepel dan te streng ,Precies voldoende ,Eerder te streng dan te soepel ,Te streng;Too flexible ,Rather too flexible than too strict ,Just enough ,Rather too strict than too flexible ,Too strict;support_childcare_open;Daycare centers, after-school programs and elementary schools are open
18.02;support_c;support;table;-;Thoughts on Government Policy;Wat vindt u van de maatregelen op dit moment om de coronavirus-crisis te bestrijden als het gaat om de volgende gebieden?;Cafés en restaurants zijn dicht;What do you think of the measures currently in place to combat the coronavirus crisis as it relates to the following areas?;Ordered Categorical;Te soepel ,Eerder te soepel dan te streng ,Precies voldoende ,Eerder te streng dan te soepel ,Te streng;Too flexible ,Rather too flexible than too strict ,Just enough ,Rather too strict than too flexible ,Too strict;support_cafe_open;Pubs and restaurants are closed
18.03;support_d;support;table;-;Thoughts on Government Policy;Wat vindt u van de maatregelen op dit moment om de coronavirus-crisis te bestrijden als het gaat om de volgende gebieden?;Verplicht een mondkapje dragen in het openbaar vervoer en in openbare ruimtes zoals winkels, gemeentehuis, parkeergarages enz.;What do you think of the measures currently in place to combat the coronavirus crisis as it relates to the following areas?;Ordered Categorical;Te soepel ,Eerder te soepel dan te streng ,Precies voldoende ,Eerder te streng dan te soepel ,Te streng;Too flexible ,Rather too flexible than too strict ,Just enough ,Rather too strict than too flexible ,Too strict;support_transport_rules;Mandatory wearing of a mouth mask on public transport and in public places such as stores, city hall, parking garages, etc.
19.01;q8d;q8;table;-;Support Government Policy;Onder de omstandigheden op dit moment, bent u het oneens of eens met de volgende (mogelijke) beleidsmaatregelen tegen het verspreiden van het coronavirus?;Er mogen geen bezoekers komen in verpleeghuizen en bejaardentehuizen;Under the circumstances at this time, do you disagree or agree with the following (possible) policies against the spread of coronavirus?;Ordered Categorical;Helemaal mee oneens,Oneens,Niet oneens en niet eens,Eens,Helemaal mee eens;Strongly disagree,Disagree,Neither disagree nor disagree,Agree,Strongly agree;support_no_visitors;No visitors allowed in nursing homes and old people's homes
19.02;q8e;q8;table;-;Support Government Policy;Onder de omstandigheden op dit moment, bent u het oneens of eens met de volgende (mogelijke) beleidsmaatregelen tegen het verspreiden van het coronavirus?;Iedereen van 70 jaar en ouder of met een medische aandoening moet thuis blijven, behalve om basisboodschappen te doen of omdat er dringende medische zorg nodig is;Under the circumstances at this time, do you disagree or agree with the following (possible) policies against the spread of coronavirus?;Ordered Categorical;Helemaal mee oneens,Oneens,Niet oneens en niet eens,Eens,Helemaal mee eens;Strongly disagree,Disagree,Neither disagree nor disagree,Agree,Strongly agree;support_curfew_high_risk;Anyone age 70 and older or with a medical condition must stay at home, except to do basic shopping or because urgent medical care is needed
19.03;q8f;q8;table;-;Support Government Policy;Onder de omstandigheden op dit moment, bent u het oneens of eens met de volgende (mogelijke) beleidsmaatregelen tegen het verspreiden van het coronavirus?;Iedereen die niet werkt in een cruciale beroepsgroep (dat zijn bijvoorbeeld mensen die werken in de zorg, het openbaar vervoer, de voedselketen) moet thuis blijven, behalve om boodschappen te doen of omdat er dringende medische zorg nodig is;Under the circumstances at this time, do you disagree or agree with the following (possible) policies against the spread of coronavirus?;Ordered Categorical;Helemaal mee oneens,Oneens,Niet oneens en niet eens,Eens,Helemaal mee eens;Strongly disagree,Disagree,Neither disagree nor disagree,Agree,Strongly agree;support_curfew_non_crucial;Anyone who does not work in a crucial occupation (that is, for example, people who work in health care, public transportation, the food chain) must stay at home except to run errands or because urgent medical care is needed
19.04;q8h;q8;table;-;Support Government Policy;Onder de omstandigheden op dit moment, bent u het oneens of eens met de volgende (mogelijke) beleidsmaatregelen tegen het verspreiden van het coronavirus?;Er moet een avondklok worden ingesteld;Under the circumstances at this time, do you disagree or agree with the following (possible) policies against the spread of coronavirus?;Ordered Categorical;Helemaal mee oneens,Oneens,Niet oneens en niet eens,Eens,Helemaal mee eens;Strongly disagree,Disagree,Neither disagree nor disagree,Agree,Strongly agree;support_curfew;A curfew must be imposed
19.05;q8i;q8;table;-;Support Government Policy;Onder de omstandigheden op dit moment, bent u het oneens of eens met de volgende (mogelijke) beleidsmaatregelen tegen het verspreiden van het coronavirus?;De middelbare scholen en het voorgezet onderwijs (o.a. MBO, HBO en universiteiten) moeten dicht;Under the circumstances at this time, do you disagree or agree with the following (possible) policies against the spread of coronavirus?;Ordered Categorical;Helemaal mee oneens,Oneens,Niet oneens en niet eens,Eens,Helemaal mee eens;Strongly disagree,Disagree,Neither disagree nor disagree,Agree,Strongly agree;support_close_cc_some_schools;Secondary schools and secondary education (including MBO, HBO and universities) must be closed
19.06;q8j;q8;table;-;Support Government Policy;Onder de omstandigheden op dit moment, bent u het oneens of eens met de volgende (mogelijke) beleidsmaatregelen tegen het verspreiden van het coronavirus?;De kinderopvang, buitenschoolse opvang, en alle scholen en universiteiten moeten dicht;Under the circumstances at this time, do you disagree or agree with the following (possible) policies against the spread of coronavirus?;Ordered Categorical;Helemaal mee oneens,Oneens,Niet oneens en niet eens,Eens,Helemaal mee eens;Strongly disagree,Disagree,Neither disagree nor disagree,Agree,Strongly agree;support_close_cc_all_schools;Day care centers, after school programs, and all schools and universities must be closed. closed
20.01;EmploymentStatus;EmploymentStatus;cat;-;Employment Status;"Welke van de volgende opties beschrijft uw situatie het best?

Als er meer opties mogelijk zijn, kiest u dan de hoofdactiviteit of -baan.";;"Which of the following options best describes your situation?

If more options are possible, please choose the main activity or job.";Category;Ik verricht betaald werk in loondienst full-time of part-time ,Ik ben zelfstandig ondernemer ,Ik ben werkloos en ben op zoek naar werk ,Ik ben (vervroegd) gepensioneerd ,Ik ontvang een arbeidsongeschiktheidsuitkering of sociale bijstand en ben niet op zoek naar werk ,Ik ben leerling / student / stagiair en krijg alleen een onkostenvergoeding ,Ik doe het huishouden;I perform gainful employment full-time or part-time ,I am self-employed ,I am unemployed and looking for work ,I am retired (early) ,I receive disability benefits or social assistance and am not looking for work ,I am an apprentice / student / trainee and only receive a reimbursement of expenses ,I do the household;work_status;
21.01;q14b_q14werk;q14;grid;EmploymentStatus;Work Time Remote and Workplace;"Hoeveel uur per week werkte u in de [if _current_date<2020-12-21: afgelopen zeven dagen / if _current_date>=2020-12-21: week van 14-20 december] op uw werkplek en vanuit huis?

Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'.
Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.";De [if _current_date<2020-12-21: afgelopen zeven dagen/ if _current_date>=2020-12-21: week van 14-20 december], Op uw werkplek;"During the [if _current_date<2020-12-21: past seven days / if _current_date>=2020-12-21: week of December 14-20], how many hours per week did you work at your workplace and from home?

If you always work at home, enter all hours under 'from home'.
Enter zero (0) if you never work at your workplace or at home.";Integer;;;hours_workplace;The [if _current_date<2020-12-21: past seven days/ if _current_date>=2020-12-21: week of December 14-20], At your workplace
21.02;q14b_q14thuis;q14;grid;EmploymentStatus;Work Time Remote and Workplace;"Hoeveel uur per week werkte u in de [if _current_date<2020-12-21: afgelopen zeven dagen / if _current_date>=2020-12-21: week van 14-20 december] op uw werkplek en vanuit huis?

Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'.
Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.";De [if _current_date<2020-12-21: afgelopen zeven dagen/ if _current_date>=2020-12-21: week van 14-20 december], Vanuit huis;"During the [if _current_date<2020-12-21: past seven days / if _current_date>=2020-12-21: week of December 14-20], how many hours per week did you work at your workplace and from home?

If you always work at home, enter all hours under 'from home'.
Enter zero (0) if you never work at your workplace or at home.";Integer;;;hours_home;The [if _current_date<2020-12-21: past seven days/ if _current_date>=2020-12-21: week of December 14-20], From home
22.01;vacsick1;vacsick;grid;EmploymentStatus;Vacation & Sickness;"In de [if _current_date<2020-12-21: afgelopen zeven dagen/ if _current_date>=2020-12-21: week van 14-20 december], hoeveel dagen hebt u...

Rond af op hele dagen (bv. een halve dag = 1 dag).
Vult u nul (0) in als u geen vrije dag hebt opgenomen.";een vrije dag opgenomen voor vrije tijd (ontspanning, vermaak);"In the [if _current_date<2020-12-21: past seven days/ if _current_date>=2020-12-21: week of December 14-20], how many days have you...

Round to whole days (e.g., half a day = 1 day).
Enter zero (0) if you did not take a day off.";Integer;;;day_off_leisure;taken a day off for leisure (relaxation, entertainment)
