Variable,Type,Topic,Reference Period Other Than Survey Period,Links Wave 6,Question Id,Routing
hours_workplace_september,Integer,Employment,,:ref:`🔗 <w6e-lockdown>`,lockdown,if (EmploymentStatus = 1 or EmploymentStatus = 2 or worked_past_3m = 1)
hours_workplace_october,Integer,Employment,,:ref:`🔗 <w6e-lockdown>`,lockdown,if (EmploymentStatus = 1 or EmploymentStatus = 2 or worked_past_3m = 1)
hours_workplace_november,Integer,Employment,,:ref:`🔗 <w6e-lockdown>`,lockdown,if (EmploymentStatus = 1 or EmploymentStatus = 2 or worked_past_3m = 1)
hours_home_september,Integer,Employment,,:ref:`🔗 <w6e-lockdown>`,lockdown,if (EmploymentStatus = 1 or EmploymentStatus = 2 or worked_past_3m = 1)
hours_home_october,Integer,Employment,,:ref:`🔗 <w6e-lockdown>`,lockdown,if (EmploymentStatus = 1 or EmploymentStatus = 2 or worked_past_3m = 1)
hours_home_november,Integer,Employment,,:ref:`🔗 <w6e-lockdown>`,lockdown,if (EmploymentStatus = 1 or EmploymentStatus = 2 or worked_past_3m = 1)
work_perc_home,Integer,Employment,,:ref:`🔗 <w6e-work_perc>`,work_perc,if (EmploymentStatus = 1 or EmploymentStatus = 2 or worked_past_3m = 1)
hours_workplace_pre_corona,Integer,Employment,,:ref:`🔗 <w6e-uren_corona>`,uren_corona,if (EmploymentStatus = 1 or EmploymentStatus = 2 or worked_past_3m = 1)
hours_workplace_expected_post,Integer,Employment,,:ref:`🔗 <w6e-uren_corona>`,uren_corona,if (EmploymentStatus = 1 or EmploymentStatus = 2 or worked_past_3m = 1)
hours_workplace_preferred_post,Integer,Employment,,:ref:`🔗 <w6e-uren_corona>`,uren_corona,if (EmploymentStatus = 1 or EmploymentStatus = 2 or worked_past_3m = 1)
hours_home_pre_corona,Integer,Employment,,:ref:`🔗 <w6e-uren_corona>`,uren_corona,if (EmploymentStatus = 1 or EmploymentStatus = 2 or worked_past_3m = 1)
hours_home_expected_post,Integer,Employment,,:ref:`🔗 <w6e-uren_corona>`,uren_corona,if (EmploymentStatus = 1 or EmploymentStatus = 2 or worked_past_3m = 1)
hours_home_preferred_post,Integer,Employment,,:ref:`🔗 <w6e-uren_corona>`,uren_corona,if (EmploymentStatus = 1 or EmploymentStatus = 2 or worked_past_3m = 1)
seeking_job,Boolean,Employment,,:ref:`🔗 <w6e-JobSearch>`,JobSearch,if (EmploymentStatus != 5 and leeftijd <= 67)
p_2m_employee_keep,Integer,Employment,,:ref:`🔗 <w6e-q26>`,q26,if (EmploymentStatus = 1)
p_2m_employee_keep_gov,Integer,Employment,,:ref:`🔗 <w6e-q26>`,q26,if (EmploymentStatus = 1)
p_2m_employee_new_job,Integer,Employment,,:ref:`🔗 <w6e-q26>`,q26,if (EmploymentStatus = 1)
p_2m_employee_unemployed,Integer,Employment,,:ref:`🔗 <w6e-q26>`,q26,if (EmploymentStatus = 1)
p_2m_employee_other,Integer,Employment,,:ref:`🔗 <w6e-q26>`,q26,if (EmploymentStatus = 1)
p_year_employee_keep,Integer,Employment,,:ref:`🔗 <w6e-q26_1>`,q26_1,if (EmploymentStatus = 1)
p_year_employee_keep_gov,Integer,Employment,,:ref:`🔗 <w6e-q26_1>`,q26_1,if (EmploymentStatus = 1)
p_year_employee_new_job,Integer,Employment,,:ref:`🔗 <w6e-q26_1>`,q26_1,if (EmploymentStatus = 1)
p_year_employee_unemployed,Integer,Employment,,:ref:`🔗 <w6e-q26_1>`,q26_1,if (EmploymentStatus = 1)
p_year_employee_other,Integer,Employment,,:ref:`🔗 <w6e-q26_1>`,q26_1,if (EmploymentStatus = 1)
p_3m_selfempl_normal,Integer,Employment,,:ref:`🔗 <w6e-q27>`,q27,if (EmploymentStatus = 2)
p_3m_selfempl_normal,Integer,Employment,,:ref:`🔗 <w6e-q27>`,q27,if (EmploymentStatus = 2)
p_3m_selfempl_helped_by_gov,Integer,Employment,,:ref:`🔗 <w6e-q27>`,q27,if (EmploymentStatus = 2)
p_3m_selfempl_shutdown,Integer,Employment,,:ref:`🔗 <w6e-q27>`,q27,if (EmploymentStatus = 2)
p_3m_selfempl_other,Integer,Employment,,:ref:`🔗 <w6e-q27>`,q27,if (EmploymentStatus = 2)
p_year_selfempl_normal,Integer,Employment,,:ref:`🔗 <w6e-q27_1>`,q27_1,if (EmploymentStatus = 2)
p_year_selfempl_fewer,Integer,Employment,,:ref:`🔗 <w6e-q27_1>`,q27_1,if (EmploymentStatus = 2)
p_year_selfempl_helped_by_gov,Integer,Employment,,:ref:`🔗 <w6e-q27_1>`,q27_1,if (EmploymentStatus = 2)
p_year_selfempl_shutdown,Integer,Employment,,:ref:`🔗 <w6e-q27_1>`,q27_1,if (EmploymentStatus = 2)
p_year_selfempl_other,Integer,Employment,,:ref:`🔗 <w6e-q27_1>`,q27_1,if (EmploymentStatus = 2)
p_3m_unemployed_job,Integer,Employment,,:ref:`🔗 <w6e-q27_ex>`,q27_ex,if (EmploymentStatus = 3 or (EmploymentStatus > 3 and JobSearch = 1))
p_3m_unemployed_educ,Integer,Employment,,:ref:`🔗 <w6e-q27_ex>`,q27_ex,if (EmploymentStatus = 3 or (EmploymentStatus > 3 and JobSearch = 1))
p_3m_unemployed_looking,Integer,Employment,,:ref:`🔗 <w6e-q27_ex>`,q27_ex,if (EmploymentStatus = 3 or (EmploymentStatus > 3 and JobSearch = 1))
p_3m_unemployed_not_looking,Integer,Employment,,:ref:`🔗 <w6e-q27_ex>`,q27_ex,if (EmploymentStatus = 3 or (EmploymentStatus > 3 and JobSearch = 1))
p_3m_unemployed_other,Integer,Employment,,:ref:`🔗 <w6e-q27_ex>`,q27_ex,if (EmploymentStatus = 3 or (EmploymentStatus > 3 and JobSearch = 1))
p_year_unemployed_job,Integer,Employment,,:ref:`🔗 <w6e-q27_ex_1>`,q27_ex_1,if (EmploymentStatus = 3 or (EmploymentStatus > 3 and JobSearch = 1))
p_year_unemployed_educ,Integer,Employment,,:ref:`🔗 <w6e-q27_ex_1>`,q27_ex_1,if (EmploymentStatus = 3 or (EmploymentStatus > 3 and JobSearch = 1))
p_year_unemployed_looking,Integer,Employment,,:ref:`🔗 <w6e-q27_ex_1>`,q27_ex_1,if (EmploymentStatus = 3 or (EmploymentStatus > 3 and JobSearch = 1))
p_year_unemployed_not_looking,Integer,Employment,,:ref:`🔗 <w6e-q27_ex_1>`,q27_ex_1,if (EmploymentStatus = 3 or (EmploymentStatus > 3 and JobSearch = 1))
p_year_unemployed_other,Integer,Employment,,:ref:`🔗 <w6e-q27_ex_1>`,q27_ex_1,if (EmploymentStatus = 3 or (EmploymentStatus > 3 and JobSearch = 1))
hh_income_202008,Integer,Finances,,:ref:`🔗 <w6e-inc>`,inc,
hh_income_202009,Integer,Finances,,:ref:`🔗 <w6e-inc>`,inc,
hh_income_202010,Integer,Finances,,:ref:`🔗 <w6e-inc>`,inc,
hh_income_202011,Integer,Finances,,:ref:`🔗 <w6e-inc>`,inc,
e_2020_hh_income,Integer,Finances,,:ref:`🔗 <w6e-expinc2020>`,expinc2020,
e_2021_hh_income,Integer,Finances,,:ref:`🔗 <w6e-expinc2020>`,expinc2020,
e_2022_hh_income,Integer,Finances,,:ref:`🔗 <w6e-expinc2020>`,expinc2020,
e_2020_unemp_rate,Ordered Categorical,Macro Expectations,,:ref:`🔗 <w6e-ExpUnempl_today>`,ExpUnempl_today,
e_2021_unemp_rate,Ordered Categorical,Macro Expectations,,:ref:`🔗 <w6e-ExpUnempl_today>`,ExpUnempl_today,
e_2022_unemp_rate,Ordered Categorical,Macro Expectations,,:ref:`🔗 <w6e-ExpUnempl_today>`,ExpUnempl_today,
e_2020_gdp,Ordered Categorical,Macro Expectations,,:ref:`🔗 <w6e-ExpEcGrowth_today>`,ExpEcGrowth_today,
e_2021_gdp,Ordered Categorical,Macro Expectations,,:ref:`🔗 <w6e-ExpEcGrowth_today>`,ExpEcGrowth_today,
e_2022_gdp,Ordered Categorical,Macro Expectations,,:ref:`🔗 <w6e-ExpEcGrowth_today>`,ExpEcGrowth_today,
e_2020_infl,Ordered Categorical,Macro Expectations,,:ref:`🔗 <w6e-ExpInfl_today>`,ExpInfl_today,
e_2021_infl,Ordered Categorical,Macro Expectations,,:ref:`🔗 <w6e-ExpInfl_today>`,ExpInfl_today,
e_2022_infl,Ordered Categorical,Macro Expectations,,:ref:`🔗 <w6e-ExpInfl_today>`,ExpInfl_today,
questionnaire_difficult,Ordered Categorical,Questionnaire,,:ref:`🔗 <w6e-eva2t>`,eva2t,
questionnaire_clear,Ordered Categorical,Questionnaire,,:ref:`🔗 <w6e-eva2t>`,eva2t,
questionnaire_thinking,Ordered Categorical,Questionnaire,,:ref:`🔗 <w6e-eva2t>`,eva2t,
questionnaire_interesting,Ordered Categorical,Questionnaire,,:ref:`🔗 <w6e-eva2t>`,eva2t,
questionnaire_enjoy,Ordered Categorical,Questionnaire,,:ref:`🔗 <w6e-eva2t>`,eva2t,
