page;id;qid;layout;filter;group;question_dutch;subquestion_dutch;question_english;subquestion_english;type;categories_dutch;categories_english
4.01;cs12e284;loneliness;table;-;Loneliness;Wilt u voor elke uitspraak aangeven in hoeverre die op u van toepassing is, op basis van hoe u zich nu voelt?;ik ervaar een leegte om me heen;For each statement, please indicate to what extent it applies to you, based on how you feel now?;I feel an emptiness around me;Categorical;ja, min of meer, nee;yes, more or less, no
4.02;cs12e285;loneliness;table;-;Loneliness;Wilt u voor elke uitspraak aangeven in hoeverre die op u van toepassing is, op basis van hoe u zich nu voelt?;er zijn genoeg mensen waarop ik in geval van narigheid kan terugvallen;For each statement, please indicate to what extent it applies to you, based on how you feel now?;There are plenty of people that I can fall back in case of trouble;Categorical;ja, min of meer, nee;yes, more or less, no
4.03;cs12e286;loneliness;table;-;Loneliness;Wilt u voor elke uitspraak aangeven in hoeverre die op u van toepassing is, op basis van hoe u zich nu voelt?;ik ken veel mensen op wie ik volledig kan vertrouwen;For each statement, please indicate to what extent it applies to you, based on how you feel now?;I know many people I can trust completely;Categorical;ja, min of meer, nee;yes, more or less, no
4.04;cs12e287;loneliness;table;-;Loneliness;Wilt u voor elke uitspraak aangeven in hoeverre die op u van toepassing is, op basis van hoe u zich nu voelt?;er zijn voldoende mensen met wie ik mij nauw verbonden voel;For each statement, please indicate to what extent it applies to you, based on how you feel now?;There are enough people I feel closely connected to me;Categorical;ja, min of meer, nee;yes, more or less, no
4.05;cs12e288;loneliness;table;-;Loneliness;Wilt u voor elke uitspraak aangeven in hoeverre die op u van toepassing is, op basis van hoe u zich nu voelt?;ik mis mensen om me heen;For each statement, please indicate to what extent it applies to you, based on how you feel now?;I miss people around me;Categorical;ja, min of meer, nee;yes, more or less, no
4.06;cs12e289;loneliness;table;-;Loneliness;Wilt u voor elke uitspraak aangeven in hoeverre die op u van toepassing is, op basis van hoe u zich nu voelt?;vaak voel ik me in de steek gelaten;For each statement, please indicate to what extent it applies to you, based on how you feel now?;I often feel let me down;Categorical;ja, min of meer, nee;yes, more or less, no
5.01;soccont1;soccont;grid;-;Social Contacts;We willen graag iets weten over de contacten die u de afgelopen zeven dagen hebt gehad, persoonlijk of op afstand (online of telefonisch), en die ten minste vijf minuten duurden.Met hoeveel verschillende personen hebt u zo’n contact gehad in de afgelopen zeven dagen?;persoonlijk;We would like to know about the contacts you have had in the past seven days, in person or remotely (online or by phone), which lasted at least five minutes. How many different people have you had such contact in the past seven days?;personally;float;;
5.02;soccont2;soccont;grid;-;Social Contacts;We willen graag iets weten over de contacten die u de afgelopen zeven dagen hebt gehad, persoonlijk of op afstand (online of telefonisch), en die ten minste vijf minuten duurden.Met hoeveel verschillende personen hebt u zo’n contact gehad in de afgelopen zeven dagen?;op afstand (telefonisch, online enz.);We would like to know about the contacts you have had in the past seven days, in person or remotely (online or by phone), which lasted at least five minutes. How many different people have you had such contact in the past seven days?;at a distance (telephone, online etc.);float;;
6.01;support_a;support;table;-;Support Government Policy;Wat vindt u van de versoepelingen die de overheid nu heeft doorgevoerd op de eerder genomen maatregelen om de coronavirus-crisis te bestrijden als het gaat om de volgende gebieden?;Kinderdagopvang en buitenschoolse opvang zijn weer helemaal open (vanaf 8 juni);What do you think of the easing that the government has now made to the measures previously taken to combat the coronavirus crisis in the following areas?;Childcare and out-of-school care are fully open again (from 8 June);Categorical;Te soepel, Eerder te soepel dan te streng, Precies voldoende, Eerder te streng dan te soepel, Te streng;Too flexible, Rather too flexible than too strict, Just enough, Rather too strict than too flexible, Too strict
6.02;support_b;support;table;-;Support Government Policy;Wat vindt u van de versoepelingen die de overheid nu heeft doorgevoerd op de eerder genomen maatregelen om de coronavirus-crisis te bestrijden als het gaat om de volgende gebieden?;Basisscholen zijn weer helemaal open (vanaf 8 juni);What do you think of the easing that the government has now made to the measures previously taken to combat the coronavirus crisis in the following areas?;Primary schools are fully open again (from June 8);Categorical;Te soepel, Eerder te soepel dan te streng, Precies voldoende, Eerder te streng dan te soepel, Te streng;Too flexible, Rather too flexible than too strict, Just enough, Rather too strict than too flexible, Too strict
6.03;support_c;support;table;-;Support Government Policy;Wat vindt u van de versoepelingen die de overheid nu heeft doorgevoerd op de eerder genomen maatregelen om de coronavirus-crisis te bestrijden als het gaat om de volgende gebieden?;Cafés en restaurants zijn weer open met een maximum van 30 gasten;What do you think of the easing that the government has now made to the measures previously taken to combat the coronavirus crisis in the following areas?;Cafés and restaurants are open again with a maximum of 30 guests;Categorical;Te soepel, Eerder te soepel dan te streng, Precies voldoende, Eerder te streng dan te soepel, Te streng;Too flexible, Rather too flexible than too strict, Just enough, Rather too strict than too flexible, Too strict
6.04;support_d;support;table;-;Support Government Policy;Wat vindt u van de versoepelingen die de overheid nu heeft doorgevoerd op de eerder genomen maatregelen om de coronavirus-crisis te bestrijden als het gaat om de volgende gebieden?;In het openbaar vervoer moeten reizigers een mondkapje dragen;What do you think of the easing that the government has now made to the measures previously taken to combat the coronavirus crisis in the following areas?;In public transport, travelers must wear a mask;Categorical;Te soepel, Eerder te soepel dan te streng, Precies voldoende, Eerder te streng dan te soepel, Te streng;Too flexible, Rather too flexible than too strict, Just enough, Rather too strict than too flexible, Too strict
6.05;support_e;support;table;-;Support Government Policy;Wat vindt u van de versoepelingen die de overheid nu heeft doorgevoerd op de eerder genomen maatregelen om de coronavirus-crisis te bestrijden als het gaat om de volgende gebieden?;Sporten mag alleen buiten op 1,5 meter afstand;What do you think of the easing that the government has now made to the measures previously taken to combat the coronavirus crisis in the following areas?;Sports are only allowed outside at a distance of 1.5 meters;Categorical;Te soepel, Eerder te soepel dan te streng, Precies voldoende, Eerder te streng dan te soepel, Te streng;Too flexible, Rather too flexible than too strict, Just enough, Rather too strict than too flexible, Too strict
6.06;support_f;support;table;-;Support Government Policy;Wat vindt u van de versoepelingen die de overheid nu heeft doorgevoerd op de eerder genomen maatregelen om de coronavirus-crisis te bestrijden als het gaat om de volgende gebieden?;Werken op je werkplek mag alleen als er 1,5 meter afstand kan worden gehouden en als andere voorzieningen ter bescherming en hygiëne zijn getroffen, zoals bv. plexiglas afscheidingen;What do you think of the easing that the government has now made to the measures previously taken to combat the coronavirus crisis in the following areas?;You may only work at your workplace if it can be kept at a distance of 1.5 meters and if other provisions for protection and hygiene have been made, such as plexiglass partitions;Categorical;Te soepel, Eerder te soepel dan te streng, Precies voldoende, Eerder te streng dan te soepel, Te streng;Too flexible, Rather too flexible than too strict, Just enough, Rather too strict than too flexible, Too strict
7.01;avoid_a;avoid;table;-;Avoid Activities;"1 = Ik deed dit niet voor de uitbraak en zal dat nu ook niet doen
2 = Ik deed dit eerder wel, maar zal dat nu zeker niet doen
3 = Ik doe het, maar veel minder vaak dan voor de uitbraak
4 = Ik doe het, maar een beetje minder vaak dan voor de uitbraak
5 = Ik doe het net zo vaak als voor de uitbraak
6 = Ik doe het vaker dan voor de uitbraak";… Gaat u met de versoepeling die nu van kracht is, naar een café of restaurant?;"1 = I did not do this before the outbreak and will not do it now
2 = I did this before, but will certainly not do it now
3 = I do it, but much less often than before the outbreak
4 = I do it, but a little less often than before the outbreak
5 = I do it as often as before the outbreak
6 = I do it more often than before the outbreak";… Are you going to a café or restaurant with the current relaxation?;Categorical;1,2,3,4,5,6;1,2,3,4,5,6
7.02;avoid_b;avoid;table;-;Avoid Activities;"1 = Ik deed dit niet voor de uitbraak en zal dat nu ook niet doen
2 = Ik deed dit eerder wel, maar zal dat nu zeker niet doen
3 = Ik doe het, maar veel minder vaak dan voor de uitbraak
4 = Ik doe het, maar een beetje minder vaak dan voor de uitbraak
5 = Ik doe het net zo vaak als voor de uitbraak
6 = Ik doe het vaker dan voor de uitbraak";… Gaat u met de versoepeling die nu van kracht is, sociale of culturele vrijetijdsactiviteiten ondernemen, zoals naar de bioscoop, het theater of een museum gaan?;"1 = I did not do this before the outbreak and will not do it now
2 = I did this before, but will certainly not do it now
3 = I do it, but much less often than before the outbreak
4 = I do it, but a little less often than before the outbreak
5 = I do it as often as before the outbreak
6 = I do it more often than before the outbreak";… With the relaxation now in force, are you going to undertake social or cultural leisure activities, such as going to the cinema, the theater or a museum?;Categorical;1,2,3,4,5,6;1,2,3,4,5,6
7.03;avoid_c;avoid;table;-;Avoid Activities;"1 = Ik deed dit niet voor de uitbraak en zal dat nu ook niet doen
2 = Ik deed dit eerder wel, maar zal dat nu zeker niet doen
3 = Ik doe het, maar veel minder vaak dan voor de uitbraak
4 = Ik doe het, maar een beetje minder vaak dan voor de uitbraak
5 = Ik doe het net zo vaak als voor de uitbraak
6 = Ik doe het vaker dan voor de uitbraak";… Gaat u met de versoepeling die nu van kracht is, het openbaar vervoer gebruiken?;"1 = I did not do this before the outbreak and will not do it now
2 = I did this before, but will certainly not do it now
3 = I do it, but much less often than before the outbreak
4 = I do it, but a little less often than before the outbreak
5 = I do it as often as before the outbreak
6 = I do it more often than before the outbreak";… With the relaxation now in force, are you going to use public transport?;Categorical;1,2,3,4,5,6;1,2,3,4,5,6
7.04;avoid_d;avoid;table;-;Avoid Activities;"1 = Ik deed dit niet voor de uitbraak en zal dat nu ook niet doen
2 = Ik deed dit eerder wel, maar zal dat nu zeker niet doen
3 = Ik doe het, maar veel minder vaak dan voor de uitbraak
4 = Ik doe het, maar een beetje minder vaak dan voor de uitbraak
5 = Ik doe het net zo vaak als voor de uitbraak
6 = Ik doe het vaker dan voor de uitbraak";… Zou u, als de coronamaatregelen dit niet onmogelijk maakten, naar de sportschool gaan of binnen sporten?;"1 = I did not do this before the outbreak and will not do it now
2 = I did this before, but will certainly not do it now
3 = I do it, but much less often than before the outbreak
4 = I do it, but a little less often than before the outbreak
5 = I do it as often as before the outbreak
6 = I do it more often than before the outbreak";… If the corona measures did not make this impossible, would you go to the gym or exercise indoors?;Categorical;1,2,3,4,5,6;1,2,3,4,5,6
8.01;duration_a;duration;table;-;Expected Duration Restrictions;Wanneer, denkt u, zullen de beperkingen die er nu zijn niet meer van kracht zijn, en zullen…;alle scholen gewoon weer open zijn (dus niet meer zoals eerder om de dag of halve dagen zoals voor de basisscholen eerder gold);When do you think, the restrictions that are in place now will no longer be in force, and …;all schools are just open again (so no longer as before every other day or half days as before primary schools used to);Categorical;vanaf 1 juli, tussen juli en eind augustus, tussen september en het eind van het , jaar, in 2021 ,in 2022 of later;from July 1, between July and late August, between September and the end of the year, in 2021, in 2022 or later
8.02;duration_b;duration;table;-;Expected Duration Restrictions;Wanneer, denkt u, zullen de beperkingen die er nu zijn niet meer van kracht zijn, en zullen…;cafés en restaurants weer open zijn zonder voorwaarden;When do you think, the restrictions that are in place now will no longer be in force, and …;cafes and restaurants are open again unconditionally;Categorical;vanaf 1 juli, tussen juli en eind augustus, tussen september en het eind van het , jaar, in 2021 ,in 2022 of later;from July 1, between July and late August, between September and the end of the year, in 2021, in 2022 or later
8.03;duration_c;duration;table;-;Expected Duration Restrictions;Wanneer, denkt u, zullen de beperkingen die er nu zijn niet meer van kracht zijn, en zullen…;geen mondkapjes meer hoeven te worden gedragen in het openbaar vervoer;When do you think, the restrictions that are in place now will no longer be in force, and …;No more masks need to be worn in public transport;Categorical;vanaf 1 juli, tussen juli en eind augustus, tussen september en het eind van het , jaar, in 2021 ,in 2022 of later;from July 1, between July and late August, between September and the end of the year, in 2021, in 2022 or later
8.04;duration_d;duration;table;-;Expected Duration Restrictions;Wanneer, denkt u, zullen de beperkingen die er nu zijn niet meer van kracht zijn, en zullen…;we weer alle sporten (binnen en buiten) kunnen beoefenen;When do you think, the restrictions that are in place now will no longer be in force, and …;We can practice all sports again (indoor and outdoor);Categorical;vanaf 1 juli, tussen juli en eind augustus, tussen september en het eind van het , jaar, in 2021 ,in 2022 of later;from July 1, between July and late August, between September and the end of the year, in 2021, in 2022 or later
8.06;duration_e;duration;table;-;Expected Duration Restrictions;Wanneer, denkt u, zullen de beperkingen die er nu zijn niet meer van kracht zijn, en zullen…;er geen veiligheidsmaatregelen op de werkplek zijn die de economische activiteiten hinderen;When do you think, the restrictions that are in place now will no longer be in force, and …;Which of the following best describes your situation? If more options are available, choose the main activity or job.;Categorical;vanaf 1 juli, tussen juli en eind augustus, tussen september en het eind van het , jaar, in 2021 ,in 2022 of later;from July 1, between July and late August, between September and the end of the year, in 2021, in 2022 or later
9.1;EmploymentStatus;EmploymentStatus;cat;-;Employment Status;Welke van de volgende opties beschrijft uw situatie het best? Als er meer opties mogelijk zijn, kiest u dan de hoofdactiviteit of -baan.;;Which of the following best describes your situation? If multiple options are apply, choose the main activity or path.;;Categorical;Ik verricht betaald werk in loondienst( full-time of part-time), Ik ben zelfstandig ondernemer, Ik ben werkloos en ben op zoek naar werk, Ik ben (vervroegd) gepensioneerd, Ik ontvang een arbeidsongeschiktheidsuitkering of sociale bijstand en ben niet op zoek naar werk,  Ik ben leerling / student / stagiair en krijg alleen een onkostenvergoeding, Ik doe het huishouden;I do paid work (full-time or part-time), I am self-employed, I am unemployed and looking for work, I am retired (early), I receive disability benefits or social assistance and I am not looking to work, I am an apprentice / student / trainee and only receive an expense allowance, I do the housework
10.1;q14b_q14werk;q14;grid;EmploymentStatus;Work Time Remote and Workplace;Hoeveel uur per week werkte u in de afgelopen zeven dagen op uw werkplek en vanuit huis? Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'. Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.;Op uw werkplek;How many hours per week have you worked in the past seven days, at your workplace and from home? If you always work at home, fill all the hours in the 'from home'. Fill in zero (0) if you are not working at your workplace or home.;At your workplace;float;De afgelopen zeven dagen;The past seven days
10.2;q14b_q14thuis;q14;grid;EmploymentStatus;Work Time Remote and Workplace;Hoeveel uur per week werkte u in de afgelopen zeven dagen op uw werkplek en vanuit huis? Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'. Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.;Vanuit huis ;How many hours per week have you worked in the past seven days, at your workplace and from home? If you always work at home, fill all the hours in the 'from home'. Fill in zero (0) if you are not working at your workplace or home.;From home;float;De afgelopen zeven dagen;The past seven days
11.1;change_empl;change_empl;multi;-;Income Situation (Employees);Als u uw situatie vergelijkt met die van voor de coronavirus crisis, welke situatie is dan nu op u van toepassing?;Ik doe het huishouden;If you compare your situation with that before the coronavirus crisis, which situation applies to you now?;I do the housework;Categorical;Ik heb een arbeidscontract met meer uren,Ik heb een arbeidscontract met hetzelfde aantal uren,Ik heb een arbeidscontract met minder uren,Mijn werkgever heeft me ontslagen, maar het ontslag is nog niet ingegaan, Anders, namelijk…;I have a contract with more hours, I have a contract with the same number of hours , I have a contract of employment with fewer hours , My boss fired me, but the resignation has not yet begun, Otherwise ...
11.2;change_empl;change_empl;multi;-;Income Situation (Employees);Als u uw situatie vergelijkt met die van voor de coronavirus crisis, welke situatie is dan nu op u van toepassing?;Ik heb een arbeidscontract met hetzelfde aantal uren;If you compare your situation with that before the coronavirus crisis, which situation applies to you now?;I have a contract with the same number of hours;;;
11.3;change_empl;change_empl;multi;-;Income Situation (Employees);Als u uw situatie vergelijkt met die van voor de coronavirus crisis, welke situatie is dan nu op u van toepassing?;Ik heb een arbeidscontract met minder uren;If you compare your situation with that before the coronavirus crisis, which situation applies to you now?;I have an employment contract with fewer hours;;;
11.4;change_empl;change_empl;multi;-;Income Situation (Employees);Als u uw situatie vergelijkt met die van voor de coronavirus crisis, welke situatie is dan nu op u van toepassing?;Mijn werkgever heeft me ontslagen, maar het ontslag is nog niet ingegaan;If you compare your situation with that before the coronavirus crisis, which situation applies to you now?;My employer fired me, but the dismissal has not yet started;;;
11.5;change_empl;change_empl;multi;-;Income Situation (Employees);Als u uw situatie vergelijkt met die van voor de coronavirus crisis, welke situatie is dan nu op u van toepassing?;Anders, namelijk...;If you compare your situation with that before the coronavirus crisis, which situation applies to you now?;Otherwise, namely...;;;
12.1;change_selfempl;change_selfempl;multi;-;Income Situation (Self-Employed);Als u uw situatie vergelijkt met die van voor de coronavirus crisis, welke situatie is dan nu op u van toepassing?;Mijn inkomen is hoger;If you compare your situation with that before the coronavirus crisis, which situation applies to you now?;My income is higher;Categorical;;
12.2;change_selfempl;change_selfempl;multi;-;Income Situation (Self-Employed);Als u uw situatie vergelijkt met die van voor de coronavirus crisis, welke situatie is dan nu op u van toepassing?;Mijn inkomen is hetzelfde;If you compare your situation with that before the coronavirus crisis, which situation applies to you now?;My income is the same;;;
12.3;change_selfempl;change_selfempl;multi;-;Income Situation (Self-Employed);Als u uw situatie vergelijkt met die van voor de coronavirus crisis, welke situatie is dan nu op u van toepassing?;Mijn inkomen is lager;If you compare your situation with that before the coronavirus crisis, which situation applies to you now?;My income is lower;;;
12.4;change_selfempl;change_selfempl;multi;-;Income Situation (Self-Employed);Als u uw situatie vergelijkt met die van voor de coronavirus crisis, welke situatie is dan nu op u van toepassing?;Ik heb faillissement aangevraagd;If you compare your situation with that before the coronavirus crisis, which situation applies to you now?;I filed for bankruptcy;;;
12.5;change_selfempl;change_selfempl;multi;-;Income Situation (Self-Employed);Als u uw situatie vergelijkt met die van voor de coronavirus crisis, welke situatie is dan nu op u van toepassing?;Anders, namelijk...;If you compare your situation with that before the coronavirus crisis, which situation applies to you now?;Otherwise, namely...;;;
13;q2;q2;cat;EmploymentStatus;Change Employment Situation;Is uw arbeidssituatie door de uitbraak van het coronavirus veranderd?;;Has your coronavirus outbreak changed your work situation?;;bool;Ja, Nee;Yes, No
14.1;q4_maand;q4_header;grid;-;Last Job End;In welke maand en in welk jaar eindigde uw laatste baan?;;In which month and in which year did your last job end?;;Categorical;jaar, maand;year, month
15.01;beliefs1a;beliefs1;grid;EmploymentStatus;Unemployed - Beliefs Job Seach: Similar Job As Before;Stel dat u een zelfde soort baan zoekt zoals u eerder had. Hoe groot is de kans dat u zo’n baan vindt in de komende twee maanden? En in de komende zes maanden?U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.;in de komende twee maanden:;Suppose you are looking for the same kind of job as you had before. How likely are you to find such a job in the next two months? And over the next six months, you can answer these questions on a scale from 0 to 100, with 0 representing certainly not and 100 representing certainly.;in the next two months:;Int;;
15.02;beliefs1b;beliefs1;grid;EmploymentStatus;Unemployed – Beliefs Job Seach: Similar Job As Before;Stel dat u een zelfde soort baan zoekt zoals u eerder had. Hoe groot is de kans dat u zo’n baan vindt in de komende twee maanden? En in de komende zes maanden?U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.;in de komende zes maanden:;Suppose you are looking for the same kind of job as you had before. How likely are you to find such a job in the next two months? And over the next six months, you can answer these questions on a scale from 0 to 100, with 0 representing certainly not and 100 representing certainly.;in the next six months:;Int;;
16.1;beliefs2a;beliefs2;grid;EmploymentStatus;Unemployed – Beliefs Job Seach: Any Job;Stel dat u een baan zoekt (welke baan dan ook). Hoe groot is de kans dat u een baan vindt in de komende twee maanden? En in de komende zes maanden?U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.;in de komende twee maanden:;Suppose you are looking for the same kind of job as you had before. How likely are you to find such a job in the next two months? And over the next six months, you can answer these questions on a scale from 0 to 100, with 0 representing certainly not and 100 representing certainly.;in the next two months:;Int;;
16.2;beliefs2b;beliefs2;grid;EmploymentStatus;Unemployed – Beliefs Job Seach: Any Job;Stel dat u een baan zoekt (welke baan dan ook). Hoe groot is de kans dat u een baan vindt in de komende twee maanden? En in de komende zes maanden?U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.;in de komende zes maanden:;Suppose you are looking for the same kind of job as you had before. How likely are you to find such a job in the next two months? And over the next six months, you can answer these questions on a scale from 0 to 100, with 0 representing certainly not and 100 representing certainly.;in the next six months:;Int;;
17;beliefs3;beliefs3;cat;EmploymentStatus;Unemployed – Beliefs Job Search Compared to Other Sectors;Hoe makkelijk is het, denkt u, om een zelfde soort baan te vinden zoals u eerder had in vergelijking met het vinden van een baan in andere economische sectoren?;;How easy do you think it is to find the same kind of job you had before compared to finding a job in other economic sectors?;;Categorical;veel makkelijker dan in andere soort banen, een beetje makkelijker dan in andere soort banen, niet makkelijker en niet moeilijker dan in andere banen, een beetje moeilijker dan in andere soort banen, veel moeilijker dan in andere soort banen;much easier than in other types of jobs, a little easier than other jobs, not easier and not more difficult than in other jobs, a little harder than in other jobs, much more difficult than in other jobs
18;beliefs4;beliefs4;cat;EmploymentStatus;Unemployed – Beliefs Influence of CoViD-19 on Job Search;Heeft de uitbraak van het corona virus volgens u gevolgen voor het vinden van een zelfde soort baan als dat u eerder had?;;Do you think the corona virus outbreak has implications for finding the same kind of job you had before?;;Categorical;het is veel makkelijker om een baan te vinden, het is een beetje makkelijker om een baan te vinden,het is niet makkelijker en niet moeilijker,het is een beetje moeilijker om een baan te vinden, Het is veel moeilijker om een baan te vinden;it is much easier to find a job, it's a little easier to find a job, it's not easier, not harder, it's a little harder to find a job, it is much harder to find a job
19;beliefs5;beliefs5;cat;EmploymentStatus;Unemployed – Beliefs Pay in Future Job;Als u in de komende twee maanden een zelfde baan met hetzelfde aantal uren vindt zoals u die eerder hebt gehad, denkt u dat u dan hetzelfde, of juist minder of meer salaris zou krijgen dan in uw vorige baan?;;If you find the same job with the same number of hours in the next two months as you have had before, do you think you would receive the same or less or more salary than in your previous job?;;Categorical;hetzelfde salaris, minder salaris, meer salaris, ik weet het niet;same salary, less salary, more salary, I do not know
20.1;beliefs6a;beliefs6;grid;EmploymentStatus;Employed - Beliefs Job Seach: Similar Job As Before;Stel dat u morgen werkloos wordt en een zelfde soort baan zoekt als dat u nu hebt. Hoe groot is de kans dat u zo’n baan vindt in de komende twee maanden? En in de komende zes maanden?U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.;in de komende twee maanden:;Suppose you become unemployed tomorrow and are looking for the same kind of job that you have now. How likely are you to find such a job in the next two months? And over the next six months, you can answer these questions on a scale from 0 to 100, with 0 representing certainly not and 100 representing certainly.;in the next two months:;Int;;
20.2;beliefs6b;beliefs6;grid;EmploymentStatus;Employed – Beliefs Job Seach: Similar Job As Before;Stel dat u morgen werkloos wordt en een zelfde soort baan zoekt als dat u nu hebt. Hoe groot is de kans dat u zo’n baan vindt in de komende twee maanden? En in de komende zes maanden?U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.;in de komende zes maanden:;Suppose you become unemployed tomorrow and are looking for the same kind of job that you have now. How likely are you to find such a job in the next two months? And over the next six months, you can answer these questions on a scale from 0 to 100, with 0 representing certainly not and 100 representing certainly.;in the next six months:;Int;;
